file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
93012	93012	KAITAIA OBSERVATORY	-35.132777777777775	173.26388888888889	85.0	35 07 58S	173 15 50E	3.6	[-35.1, -35.1]	[173.267, 173.267]	OSCAR	0-20000-0-93012		0-20000-0-93012	1973	1996	999.0	999.0	False	0-20000-0-93012	whangarei	['85', '38', '106', '107']
93012	93014	KAITAIA AIRPORT AWS	-35.06777777777778	173.2863888888889		35 04 04S	173 17 11E	4.0	[-35.1, -35.1]	[173.267, 173.267]	OSCAR	0-554-0-93014		0-554-0-93014	1973	1996	999.0	999.0	False	0-20000-0-93012	whangarei	['85', '38', '106', '107']
93012	93008	KAITAIA CTBTO	-35.06777777777778	173.2875	86.0	35 04 04S	173 17 15E	4.0	[-35.1, -35.1]	[173.267, 173.267]	OSCAR	0-20000-0-93008		0-20000-0-93008	1973	1996	999.0	999.0	False	0-20000-0-93012	whangarei	['85', '38', '106', '107']
93012	93012	KAITAIA	-35.1	173.267	54.0			0.0	[-35.1, -35.1]	[173.267, 173.267]	IGRA2			0-20300-0-93012	1973	1996	1973.0	1996.0	True	0-20000-0-93012	whangarei	['85', '38', '106', '107']
93012									[-35.1, -35.1]	[173.267, 173.267]	WBAN			0-20500-0-nan	1973	1996				0-20000-0-93012	whangarei	['85', '38', '106', '107']
93012									[-35.1, -35.1]	[173.267, 173.267]	CHUAN			0-20400-0-nan	1973	1996				0-20000-0-93012	whangarei	['85', '38', '106', '107']
93012	93011	NZKT Awanui - Kaitaia AP, New Zealand	-35.07	173.28	-999.0			3.5	[-35.1, -35.1]	[173.267, 173.267]	SCHROEDER		93011	0-20600-0-93011	1973	1996				0-20000-0-93012	whangarei	['85', '38', '106', '107']
93012	93012	Kaitaia, New Zealand	-35.133	173.262	-999.0			3.7	[-35.1, -35.1]	[173.267, 173.267]	SCHROEDER		93012	0-20600-0-93012	1973	1996				0-20000-0-93012	whangarei	['85', '38', '106', '107']
93012	93012	KAITAIA OBSERVATORY      	-35.13333333333333	173.25	54.0			4.0	[-35.1, -35.1]	[173.267, 173.267]	WMO		93012	0-20700-0-93012	1973	1996				0-20000-0-93012	whangarei	['85', '38', '106', '107']
93012	93011	KAITAIA AIRPORT          	-35.06666666666667	173.28333333333333	-999.0			4.0	[-35.1, -35.1]	[173.267, 173.267]	WMO		93011	0-20700-0-93011	1973	1996				0-20000-0-93012	whangarei	['85', '38', '106', '107']
