level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-41640	LAHORE CITY	31.55	74.33333333333333	215.0	Climatological station, Upper-air / Radiosonde station, Surface land meteorological station (SYNOP), RBCN, GOS, CLIMAT(C), RBSN(T), GSN	31 33 00N	074 20 00E	41640	999	999	True	0.0		OSCAR	0-20000-0-41640	lahore	1.0	31.549722	74.343611						[31.55, 31.55]	[74.3333, 74.3333]	PKM00041640	igra2	1960	2021	41640	0-20000-0-41640	['85', '38', '106', '107']
1	2	0-20000-0-41641	LAHORE AIRPORT	31.516666666666666	74.4	217.0	Surface land meteorological station (SYNOP), RBSN(S), GOS, CLIMAT(C)	31 31 00N	074 24 00E	41641	999	999	False	7.3		OSCAR	0-20000-0-41641	lahore	1.0	31.549722	74.343611						[31.55, 31.55]	[74.3333, 74.3333]	PKM00041640	igra2	1960	2021	41640	0-20000-0-41640	['85', '38', '106', '107']
0	0		LAHORE CITY	31.55	74.3333	214.0				41640	1960	2021	True	0.0		IGRA2	0-20300-0-41640	lahore	1.0	31.549722	74.343611	PKM00041640					[31.55, 31.55]	[74.3333, 74.3333]	PKM00041640	igra2	1960	2021	41640	0-20000-0-41640	['85', '38', '106', '107']
1	2		LAHORE	31.62	74.4	217.0				05548	1926	1956	True	10.0		IGRA2	0-20300-0-05548	lahore	1.0	31.549722	74.343611	PKXUAE05548					[31.55, 31.55]	[74.3333, 74.3333]	PKM00041640	igra2	1960	2021	41640	0-20000-0-41640	['85', '38', '106', '107']
0	0															WBAN	0-20500-0-nan	lahore	1.0	31.549722	74.343611						[31.55, 31.55]	[74.3333, 74.3333]	PKM00041640	igra2	1960	2021	41640	0-20000-0-41640	['85', '38', '106', '107']
0	0		Lahore	31.57	74.35	210				5200	-999-999	-999-999		2.7		CHUAN	0-20400-0-5200	lahore	1.0	31.549722	74.343611		-999				[31.55, 31.55]	[74.3333, 74.3333]	PKM00041640	igra2	1960	2021	41640	0-20000-0-41640	['85', '38', '106', '107']
1	2		Lahore	31.52	74.4	170				4867	-999-999	-999-999		7.2		CHUAN	0-20400-0-4867	lahore	1.0	31.549722	74.343611		-999				[31.55, 31.55]	[74.3333, 74.3333]	PKM00041640	igra2	1960	2021	41640	0-20000-0-41640	['85', '38', '106', '107']
2	3		Lahore	31.52	74.4	170				5810	-999-999	-999-999		7.2		CHUAN	0-20400-0-5810	lahore	1.0	31.549722	74.343611		-999				[31.55, 31.55]	[74.3333, 74.3333]	PKM00041640	igra2	1960	2021	41640	0-20000-0-41640	['85', '38', '106', '107']
3	4		Lahore	31.62	74.4	217				5453	-999-999	-999-999		10.0		CHUAN	0-20400-0-5453	lahore	1.0	31.549722	74.343611		-999				[31.55, 31.55]	[74.3333, 74.3333]	PKM00041640	igra2	1960	2021	41640	0-20000-0-41640	['85', '38', '106', '107']
4	5		Lahore	31.62	74.4	217				5548	-999-999	-999-999		10.0		CHUAN	0-20400-0-5548	lahore	1.0	31.549722	74.343611		-999				[31.55, 31.55]	[74.3333, 74.3333]	PKM00041640	igra2	1960	2021	41640	0-20000-0-41640	['85', '38', '106', '107']
0	0		Lahore, Pakistan	31.55	74.33	-999				41640				0.3		SCHROEDER	0-20600-0-41640	lahore	1.0	31.549722	74.343611		41640	1028.0	1991-07-24 00:00:00	1999-05-10 00:00:00	[31.55, 31.55]	[74.3333, 74.3333]	PKM00041640	igra2	1960	2021	41640	0-20000-0-41640	['85', '38', '106', '107']
0	0		LAHORE CITY              	31.55	74.33333333333333	214.0				41640				0.0		WMO	0-20700-0-41640	lahore	1.0	31.549722	74.343611		41640	651.0			[31.55, 31.55]	[74.3333, 74.3333]	PKM00041640	igra2	1960	2021	41640	0-20000-0-41640	['85', '38', '106', '107']
