file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
13275	13275	BEOGRAD/KOSUTNJAK	44.766666666666666	20.416666666666668	203.0	44 46 00N	020 25 00E	0.0	[44.7667, 44.7667]	[20.4167, 20.4167]	OSCAR	0-20000-0-13275		0-20000-0-13275	1971	2021	999	999	True	0-20000-0-13275	belgrade	['85', '38', '106', '107']
13275	13274	BEOGRAD	44.8	20.466666666666665	132.0	44 48 00N	020 28 00E	5.4	[44.7667, 44.7667]	[20.4167, 20.4167]	OSCAR	0-20000-0-13274		0-20000-0-13274	1971	2021	999	999	False	0-20000-0-13275	belgrade	['85', '38', '106', '107']
13275	13272	BEOGRAD/SURCIN	44.81666666666667	20.283333333333335	99.0	44 49 00N	020 17 00E	11.9	[44.7667, 44.7667]	[20.4167, 20.4167]	OSCAR	0-20000-0-13272		0-20000-0-13272	1971	2021	999	999	False	0-20000-0-13275	belgrade	['85', '38', '106', '107']
13275	13275	BEOGRAD/KOSUTNJAK	44.7667	20.4167	203.0			0.0	[44.7667, 44.7667]	[20.4167, 20.4167]	IGRA2			0-20300-0-13275	1971	2021	1971	2021	True	0-20000-0-13275	belgrade	['85', '38', '106', '107']
13275	13276	BEOGRAD/SELENO BRD	44.7833	20.5333	243.0			9.4	[44.7667, 44.7667]	[20.4167, 20.4167]	IGRA2			0-20300-0-13276	1971	2021	1955	1971	True	0-20000-0-13275	belgrade	['85', '38', '106', '107']
13275	34202	BELGRADE	44.82	20.42	78.0288			5.9	[44.7667, 44.7667]	[20.4167, 20.4167]	WBAN			0-20500-0-34202	1971	2021	19450401	19451130		0-20000-0-13275	belgrade	['85', '38', '106', '107']
13275	5060	Beograd	44.8	20.45	131			4.5	[44.7667, 44.7667]	[20.4167, 20.4167]	CHUAN		-999	0-20400-0-5060	1971	2021	-999-999	-999-999		0-20000-0-13275	belgrade	['85', '38', '106', '107']
13275	5404	Zemun	44.88	20.63	73			21.1	[44.7667, 44.7667]	[20.4167, 20.4167]	CHUAN		-999	0-20400-0-5404	1971	2021	-999-999	-999-999		0-20000-0-13275	belgrade	['85', '38', '106', '107']
13275	13275	"Beograd / Belgrade - Zeleno Brdo [""Green Hill""], Yugoslavia"	44.78	20.53	-999			9.1	[44.7667, 44.7667]	[20.4167, 20.4167]	SCHROEDER		13275	0-20600-0-13275	1971	2021				0-20000-0-13275	belgrade	['85', '38', '106', '107']
13275	13276	"Beograd / Belgrade - Zeleno Brdo [""Green Hill""], Yugoslavia"	44.78	20.53	-999			9.1	[44.7667, 44.7667]	[20.4167, 20.4167]	SCHROEDER		13276	0-20600-0-13276	1971	2021				0-20000-0-13275	belgrade	['85', '38', '106', '107']
13275	13275	BEOGRAD                  	44.8	20.466666666666665	-999.0			5.4	[44.7667, 44.7667]	[20.4167, 20.4167]	WMO		13275	0-20700-0-13275	1971	2021				0-20000-0-13275	belgrade	['85', '38', '106', '107']
13275	13274	BEOGRAD                  	44.8	20.466666666666665	132.0			5.4	[44.7667, 44.7667]	[20.4167, 20.4167]	WMO		13274	0-20700-0-13274	1971	2021				0-20000-0-13275	belgrade	['85', '38', '106', '107']
13275	13272	BEOGRAD/SURCIN           	44.81666666666667	20.28333333333333	-999.0			11.9	[44.7667, 44.7667]	[20.4167, 20.4167]	WMO		13272	0-20700-0-13272	1971	2021				0-20000-0-13275	belgrade	['85', '38', '106', '107']
