level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-29572	EMEL' YANOVO	56.18055555555555	92.60555555555555		Upper-air / Radiosonde station, Surface land meteorological station (SYNOP), RBSN(T), GOS	56 10 50N	092 36 20E	29572	999.0	999.0	True	0.0		OSCAR	0-20000-0-29572	yemelyanovo	4.6	56.16805600000001	92.676667						[56.1806, 56.1806]	[92.6056, 92.6056]	RSM00029572	igra2	1995	2021	29572	0-20000-0-29572	['85', '38', '106', '107']
1	2	0-20000-0-29571	MININO	56.06666666666667	92.73333333333333	234.62	Climatological station, Surface land meteorological station (SYNOP), GOS, RBSN(S), RBCN, GSN, CLIMAT(C)	56 04 00N	092 44 00E	29571	999.0	999.0	False	15.0		OSCAR	0-20000-0-29571	yemelyanovo	4.6	56.16805600000001	92.676667						[56.1806, 56.1806]	[92.6056, 92.6056]	RSM00029572	igra2	1995	2021	29572	0-20000-0-29572	['85', '38', '106', '107']
2	3	0-20000-0-29563	KACHA	56.11666666666667	92.2	478.56	Surface land meteorological station (SYNOP), RBSN(S), GOS	56 07 00N	092 12 00E	29563	999.0	999.0	False	26.2		OSCAR	0-20000-0-29563	yemelyanovo	4.6	56.16805600000001	92.676667						[56.1806, 56.1806]	[92.6056, 92.6056]	RSM00029572	igra2	1995	2021	29572	0-20000-0-29572	['85', '38', '106', '107']
0	0		EMEL' YANOVO	56.1806	92.6056	204.6				29572	1995.0	2021.0	True	0.0		IGRA2	0-20300-0-29572	yemelyanovo	4.6	56.16805600000001	92.676667	RSM00029572					[56.1806, 56.1806]	[92.6056, 92.6056]	RSM00029572	igra2	1995	2021	29572	0-20000-0-29572	['85', '38', '106', '107']
1	2		KRASNOYARSK	56.0	92.883	215.0				29574	1953.0	1994.0	True	26.5		IGRA2	0-20300-0-29574	yemelyanovo	4.6	56.16805600000001	92.676667	RSM00029574					[56.1806, 56.1806]	[92.6056, 92.6056]	RSM00029572	igra2	1995	2021	29572	0-20000-0-29572	['85', '38', '106', '107']
0	0															WBAN	0-20500-0-nan	yemelyanovo	4.6	56.16805600000001	92.676667						[56.1806, 56.1806]	[92.6056, 92.6056]	RSM00029572	igra2	1995	2021	29572	0-20000-0-29572	['85', '38', '106', '107']
0	0															CHUAN	0-20400-0-nan	yemelyanovo	4.6	56.16805600000001	92.676667						[56.1806, 56.1806]	[92.6056, 92.6056]	RSM00029572	igra2	1995	2021	29572	0-20000-0-29572	['85', '38', '106', '107']
0	0		UNKL Krasnoyarsk - Emel'janovo AP, Russia	56.1827	92.6047	-999.0				29572				0.2		SCHROEDER	0-20600-0-29572	yemelyanovo	4.6	56.16805600000001	92.676667		29572	769.0	1994-08-01 00:00:00	2007-01-22 00:00:00	[56.1806, 56.1806]	[92.6056, 92.6056]	RSM00029572	igra2	1995	2021	29572	0-20000-0-29572	['85', '38', '106', '107']
1	1		Krasnoyarsk, Russia	56.0	92.88	-999.0				29574				26.4		SCHROEDER	0-20600-0-29574	yemelyanovo	4.6	56.16805600000001	92.676667		29574	770.0	1961-03-01 00:00:00	1990-07-10 00:00:00	[56.1806, 56.1806]	[92.6056, 92.6056]	RSM00029572	igra2	1995	2021	29572	0-20000-0-29572	['85', '38', '106', '107']
0	0		KRASNOJARSK              	56.0	92.88333333333334	-999.0				29574				26.5		WMO	0-20700-0-29574	yemelyanovo	4.6	56.16805600000001	92.676667		29574	742.0			[56.1806, 56.1806]	[92.6056, 92.6056]	RSM00029572	igra2	1995	2021	29572	0-20000-0-29572	['85', '38', '106', '107']
