level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-40416	DHAHRAN	26.266666666666666	50.166666666666664	17.0	Climatological station, Surface land meteorological station (SYNOP), RBSN(S), GOS, CLIMAT(C), RBCN	26 16 00N	050 10 00E	40416	999.0	999.0	False	0.0		OSCAR	0-20000-0-40416	sayhat	27.3	26.48522	50.040455						[26.267, 26.267]	[50.167, 50.167]	SAM00040416	igra2	1976	1997	40416	0-20000-0-40416	['85', '38', '106', '107']
1	2	0-20000-0-40422	DAMMAM - MET.	26.4	50.18333333333333		Surface land meteorological station (SYNOP), GOS	26 24 00N	050 11 00E	40422	999.0	999.0	False	14.8		OSCAR	0-20000-0-40422	sayhat	27.3	26.48522	50.040455						[26.267, 26.267]	[50.167, 50.167]	SAM00040416	igra2	1976	1997	40416	0-20000-0-40416	['85', '38', '106', '107']
2	3	0-20000-0-40419	DAMMAM-A.W.S.	26.4	50.13333333333333	10.0	Surface land meteorological station (SYNOP), GOS	26 24 00N	050 08 00E	40419	999.0	999.0	False	15.1		OSCAR	0-20000-0-40419	sayhat	27.3	26.48522	50.040455						[26.267, 26.267]	[50.167, 50.167]	SAM00040416	igra2	1976	1997	40416	0-20000-0-40416	['85', '38', '106', '107']
3	4	0-20000-0-41153	KING FAHAD CAUSEWAY	26.185277777777777	50.33083333333334	3.0	Surface land meteorological station (SYNOP), RBSN(S), GOS	26 11 07N	050 19 51E	41153	999.0	999.0	False	18.7		OSCAR	0-20000-0-41153	sayhat	27.3	26.48522	50.040455						[26.267, 26.267]	[50.167, 50.167]	SAM00040416	igra2	1976	1997	40416	0-20000-0-40416	['85', '38', '106', '107']
0	0		DHAHRAN	26.267	50.167	19.0				40416	1976.0	1997.0	True	0.0		IGRA2	0-20300-0-40416	sayhat	27.3	26.48522	50.040455	SAM00040416					[26.267, 26.267]	[50.167, 50.167]	SAM00040416	igra2	1976	1997	40416	0-20000-0-40416	['85', '38', '106', '107']
0	0		DHAHRAN IAP AB	26.27	50.17	26.2128				32517	19900801.0	19910228.0		0.4		WBAN	0-20500-0-32517	sayhat	27.3	26.48522	50.040455						[26.267, 26.267]	[50.167, 50.167]	SAM00040416	igra2	1976	1997	40416	0-20000-0-40416	['85', '38', '106', '107']
1	1		DHAHRAN IAP AB	26.27	50.17	26.2128				32517	19920101.0	19920229.0		0.4		WBAN	0-20500-0-32517	sayhat	27.3	26.48522	50.040455						[26.267, 26.267]	[50.167, 50.167]	SAM00040416	igra2	1976	1997	40416	0-20000-0-40416	['85', '38', '106', '107']
2	2		DHAHRAN	26.28	50.15	25.2984				32502	19460201.0	19620430.0		2.2		WBAN	0-20500-0-32502	sayhat	27.3	26.48522	50.040455						[26.267, 26.267]	[50.167, 50.167]	SAM00040416	igra2	1976	1997	40416	0-20000-0-40416	['85', '38', '106', '107']
3	3		AD DAMMAN DST STORM	26.25	50.25					32516	19900801.0	19900831.0		8.5		WBAN	0-20500-0-32516	sayhat	27.3	26.48522	50.040455						[26.267, 26.267]	[50.167, 50.167]	SAM00040416	igra2	1976	1997	40416	0-20000-0-40416	['85', '38', '106', '107']
0	0															CHUAN	0-20400-0-nan	sayhat	27.3	26.48522	50.040455						[26.267, 26.267]	[50.167, 50.167]	SAM00040416	igra2	1976	1997	40416	0-20000-0-40416	['85', '38', '106', '107']
0	0		Dhahran, Saudi Arabia	26.27	50.17	-999.0				40416				0.4		SCHROEDER	0-20600-0-40416	sayhat	27.3	26.48522	50.040455		40416	957.0	1978-06-23 00:00:00	1983-09-14 00:00:00	[26.267, 26.267]	[50.167, 50.167]	SAM00040416	igra2	1976	1997	40416	0-20000-0-40416	['85', '38', '106', '107']
0	0		DHAHRAN                  	26.266666666666666	50.16666666666666	16.0				40416				0.0		WMO	0-20700-0-40416	sayhat	27.3	26.48522	50.040455		40416	678.0			[26.267, 26.267]	[50.167, 50.167]	SAM00040416	igra2	1976	1997	40416	0-20000-0-40416	['85', '38', '106', '107']
