level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-68263	PRETORIA (IRENE)	-25.910555555555554	28.210555555555555	1526.0	Automatic weather station (AWS), Climatological station, Upper-air / Radiosonde station, Surface land meteorological station (SYNOP), RBCN, GOS, RBSN(T)	25 54 38S	028 12 38E	68263	999	999	True	0.1		OSCAR	0-20000-0-68263	verwoerdburg	8.4	-25.840795	28.176102						[-25.91, -25.91]	[28.2111, 28.2111]	SFM00068263	igra2	1974	2021	68263	0-20000-0-68263	['85', '38', '106', '107']
1	2	0-20008-0-IRE	Irene	-25.91	28.216666666666665	1524.0	Precipitation station, Radiation station, Surface land meteorological station (SYNOP), Weather radar, WRO, SHADOZ, GAW Regional	25 54 36S	028 13 00E	IRE	999	999	False	0.6		OSCAR	0-20008-0-IRE	verwoerdburg	8.4	-25.840795	28.176102						[-25.91, -25.91]	[28.2111, 28.2111]	SFM00068263	igra2	1974	2021	68263	0-20000-0-68263	['85', '38', '106', '107']
2	3	0-20000-0-68269	PRETORIA UNISA	-25.76638888888889	28.200555555555553		Automatic weather station (AWS), Surface land meteorological station (SYNOP), GOS	25 45 59S	028 12 02E	68269	999	999	False	15.9		OSCAR	0-20000-0-68269	verwoerdburg	8.4	-25.840795	28.176102						[-25.91, -25.91]	[28.2111, 28.2111]	SFM00068263	igra2	1974	2021	68263	0-20000-0-68263	['85', '38', '106', '107']
3	4	0-20000-0-68368	JOHANNESBURG INTNL. AIRPORT	-26.143055555555556	28.234722222222224	1695.0	Automatic weather station (AWS), Climatological station, Surface land meteorological station (SYNOP), GOS, RBSN(S), RBCN, CLIMAT(C)	26 08 35S	028 14 05E	68368	999	999	False	25.9		OSCAR	0-20000-0-68368	verwoerdburg	8.4	-25.840795	28.176102						[-25.91, -25.91]	[28.2111, 28.2111]	SFM00068263	igra2	1974	2021	68263	0-20000-0-68263	['85', '38', '106', '107']
0	0		PRETORIA (IRENE)	-25.91	28.2111	1526.0				68263	1974	2021	True	0.0		IGRA2	0-20300-0-68263	verwoerdburg	8.4	-25.840795	28.176102	SFM00068263					[-25.91, -25.91]	[28.2111, 28.2111]	SFM00068263	igra2	1974	2021	68263	0-20000-0-68263	['85', '38', '106', '107']
1	2		PRETORIA-EENDRACHT	-25.733	28.183	1326.0				68262	1957	1974	True	19.8		IGRA2	0-20300-0-68262	verwoerdburg	8.4	-25.840795	28.176102	SFM00068262					[-25.91, -25.91]	[28.2111, 28.2111]	SFM00068263	igra2	1974	2021	68263	0-20000-0-68263	['85', '38', '106', '107']
0	0															WBAN	0-20500-0-nan	verwoerdburg	8.4	-25.840795	28.176102						[-25.91, -25.91]	[28.2111, 28.2111]	SFM00068263	igra2	1974	2021	68263	0-20000-0-68263	['85', '38', '106', '107']
0	0		Pretoria	-25.75	28.2	1339				4919	-999-999	-999-999		17.8		CHUAN	0-20400-0-4919	verwoerdburg	8.4	-25.840795	28.176102		-999				[-25.91, -25.91]	[28.2111, 28.2111]	SFM00068263	igra2	1974	2021	68263	0-20000-0-68263	['85', '38', '106', '107']
0	0		(made up station ID) Pretoria - Irene ozonesonde site, South Africa	-25.9109	28.2108	-999				68264				0.1		SCHROEDER	0-20600-0-68264	verwoerdburg	8.4	-25.840795	28.176102		68264	2167.0	1990-07-01 00:00:00	1998-11-11 00:00:00	[-25.91, -25.91]	[28.2111, 28.2111]	SFM00068263	igra2	1974	2021	68263	0-20000-0-68263	['85', '38', '106', '107']
1	1		Pretoria (Irene - Agricultural Research Council), South Africa	-25.92	28.22	-999				68263				1.4		SCHROEDER	0-20600-0-68263	verwoerdburg	8.4	-25.840795	28.176102		68263	2166.0	1976-01-20 00:00:00	1980-11-01 00:00:00	[-25.91, -25.91]	[28.2111, 28.2111]	SFM00068263	igra2	1974	2021	68263	0-20000-0-68263	['85', '38', '106', '107']
2	2		Pretoria, South Africa	-25.73	28.15	-999				68262				20.9		SCHROEDER	0-20600-0-68262	verwoerdburg	8.4	-25.840795	28.176102		68262	2165.0	1935-12-01 00:00:00	1950-01-01 00:00:00	[-25.91, -25.91]	[28.2111, 28.2111]	SFM00068263	igra2	1974	2021	68263	0-20000-0-68263	['85', '38', '106', '107']
0	0		PRETORIA                 	-25.73333333333333	28.183333333333334	1310.0				68263				19.8		WMO	0-20700-0-68263	verwoerdburg	8.4	-25.840795	28.176102		68263	2904.0			[-25.91, -25.91]	[28.2111, 28.2111]	SFM00068263	igra2	1974	2021	68263	0-20000-0-68263	['85', '38', '106', '107']
1	1		PRETORIA                 	-25.73333333333333	28.183333333333334	-999.0				68262				19.8		WMO	0-20700-0-68262	verwoerdburg	8.4	-25.840795	28.176102		68262	1909.0			[-25.91, -25.91]	[28.2111, 28.2111]	SFM00068263	igra2	1974	2021	68263	0-20000-0-68263	['85', '38', '106', '107']
2	3		JAN SMUTS/JOHANNESBURG   	-26.133333333333333	28.23333333333333	1695.0				68368				24.8		WMO	0-20700-0-68368	verwoerdburg	8.4	-25.840795	28.176102		68368	1905.0			[-25.91, -25.91]	[28.2111, 28.2111]	SFM00068263	igra2	1974	2021	68263	0-20000-0-68263	['85', '38', '106', '107']
