level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-62721	KHARTOUM	15.6	32.55	380.0	Climatological station, Upper-air / Radiosonde station, Surface land meteorological station (SYNOP), RBSN(ST), GOS, RBCN, GUAN, CLIMAT(C)	15 36 00N	032 33 00E	62721	999	999	True	0.0		OSCAR	0-20000-0-62721	khartoum	2.2	15.5880556	32.5341667						[15.6, 15.6]	[32.55, 32.55]	SUM00062721	igra2	1953	2014	62721	0-20000-0-62721	['85', '38', '106', '107']
1	1	0-729-0-62721	WADI SEDNA	15.5	32.32		Surface land meteorological station (SYNOP), GOS Surface networks	15 30 00N	032 19 12E	62721	999	999	False	27.0		OSCAR	0-729-0-62721	khartoum	2.2	15.5880556	32.5341667						[15.6, 15.6]	[32.55, 32.55]	SUM00062721	igra2	1953	2014	62721	0-20000-0-62721	['85', '38', '106', '107']
2	3	0-20000-0-62723	SHAMBAT OBSERVATORY	15.666666666666666	32.53333333333333	380.0	Surface land meteorological station (SYNOP), GOS	15 40 00N	032 32 00E	62723	999	999	False	7.6		OSCAR	0-20000-0-62723	khartoum	2.2	15.5880556	32.5341667						[15.6, 15.6]	[32.55, 32.55]	SUM00062721	igra2	1953	2014	62721	0-20000-0-62721	['85', '38', '106', '107']
3	4	0-729-0-62725	Bahri University	15.45	32.472500000000004		Climatological station, Precipitation station, Surface land meteorological station (SYNOP), CLIMAT(C), RBCN, GOS	15 27 00N	032 28 21E	62725	999	999	False	18.6		OSCAR	0-729-0-62725	khartoum	2.2	15.5880556	32.5341667						[15.6, 15.6]	[32.55, 32.55]	SUM00062721	igra2	1953	2014	62721	0-20000-0-62721	['85', '38', '106', '107']
0	0		KHARTOUM	15.6	32.55	382.0				62721	1953	2014	True	0.0		IGRA2	0-20300-0-62721	khartoum	2.2	15.5880556	32.5341667	SUM00062721					[15.6, 15.6]	[32.55, 32.55]	SUM00062721	igra2	1953	2014	62721	0-20000-0-62721	['85', '38', '106', '107']
1	2		AL-KHARTUM	15.58	32.55	388.0				04936	1932	1954	True	2.2		IGRA2	0-20300-0-04936	khartoum	2.2	15.5880556	32.5341667	SUXUAE04936					[15.6, 15.6]	[32.55, 32.55]	SUM00062721	igra2	1953	2014	62721	0-20000-0-62721	['85', '38', '106', '107']
0	0		KHARTOOM ARID FARMER	15.6	32.55	380.0856				31308	19831027	99991231		0.0		WBAN	0-20500-0-31308	khartoum	2.2	15.5880556	32.5341667						[15.6, 15.6]	[32.55, 32.55]	SUM00062721	igra2	1953	2014	62721	0-20000-0-62721	['85', '38', '106', '107']
1	1		UNKNOWN	15.75	32.48	396.24				31309	19830814	99991231		18.2		WBAN	0-20500-0-31309	khartoum	2.2	15.5880556	32.5341667						[15.6, 15.6]	[32.55, 32.55]	SUM00062721	igra2	1953	2014	62721	0-20000-0-62721	['85', '38', '106', '107']
2	2		KHARTOUM	15.83	32.53	384.048				31303	19421101	19450731		25.5		WBAN	0-20500-0-31303	khartoum	2.2	15.5880556	32.5341667						[15.6, 15.6]	[32.55, 32.55]	SUM00062721	igra2	1953	2014	62721	0-20000-0-62721	['85', '38', '106', '107']
0	0		Khartoum	15.6	32.55	381				4968	-999-999	-999-999		0.0		CHUAN	0-20400-0-4968	khartoum	2.2	15.5880556	32.5341667		-999				[15.6, 15.6]	[32.55, 32.55]	SUM00062721	igra2	1953	2014	62721	0-20000-0-62721	['85', '38', '106', '107']
1	1		Khartoum	15.6	32.55	381				5777	-999-999	-999-999		0.0		CHUAN	0-20400-0-5777	khartoum	2.2	15.5880556	32.5341667		-999				[15.6, 15.6]	[32.55, 32.55]	SUM00062721	igra2	1953	2014	62721	0-20000-0-62721	['85', '38', '106', '107']
2	2		al-Khartum	15.58	32.55	388				4936	-999-999	-999-999		2.2		CHUAN	0-20400-0-4936	khartoum	2.2	15.5880556	32.5341667		-999				[15.6, 15.6]	[32.55, 32.55]	SUM00062721	igra2	1953	2014	62721	0-20000-0-62721	['85', '38', '106', '107']
0	0		Khartoum, Sudan	15.62	32.53	-999				62721				3.1		SCHROEDER	0-20600-0-62721	khartoum	2.2	15.5880556	32.5341667		62721	1948.0	1942-01-01 00:00:00	2005-09-17 00:00:00	[15.6, 15.6]	[32.55, 32.55]	SUM00062721	igra2	1953	2014	62721	0-20000-0-62721	['85', '38', '106', '107']
0	0		KHARTOUM                 	15.6	32.55	382.0				62721				0.0		WMO	0-20700-0-62721	khartoum	2.2	15.5880556	32.5341667		62721	380.0			[15.6, 15.6]	[32.55, 32.55]	SUM00062721	igra2	1953	2014	62721	0-20000-0-62721	['85', '38', '106', '107']
