level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-03590	WATTISHAM	52.12388888888889	0.9574999999999999	89.79	Climatological station, Upper-air / Radiosonde station, Surface land meteorological station (SYNOP), RBCN, RBSN(S), CLIMAT(C), GOS	52 07 26N	000 57 27E	03590	999.0	999.0	True	1.0		OSCAR	0-20000-0-03590	ipswich	14.2	52.083333	1.166667						[52.117, 52.117]	[0.967, 0.967]	UKM00003590	igra2	1999	2006	03590	0-20000-0-03590	['85', '38', '106', '107']
0	0		WATTISHAM	52.117	0.967	87.0				03590	1999.0	2006.0	True	0.0		IGRA2	0-20300-0-03590	ipswich	14.2	52.083333	1.166667	UKM00003590					[52.117, 52.117]	[0.967, 0.967]	UKM00003590	igra2	1999	2006	03590	0-20000-0-03590	['85', '38', '106', '107']
0	0		GREAT ASHFIELD	52.25	0.95	61.2648				35041	19430801.0	19440630.0		14.8		WBAN	0-20500-0-35041	ipswich	14.2	52.083333	1.166667						[52.117, 52.117]	[0.967, 0.967]	UKM00003590	igra2	1999	2006	03590	0-20000-0-03590	['85', '38', '106', '107']
1	1		ST EDMUNDS	52.27	0.75	63.0936				35044	19421201.0	19440630.0		22.6		WBAN	0-20500-0-35044	ipswich	14.2	52.083333	1.166667						[52.117, 52.117]	[0.967, 0.967]	UKM00003590	igra2	1999	2006	03590	0-20000-0-03590	['85', '38', '106', '107']
2	2		STANTON	52.32	0.92	61.2648				35049	19510601.0	19590131.0		22.8		WBAN	0-20500-0-35049	ipswich	14.2	52.083333	1.166667						[52.117, 52.117]	[0.967, 0.967]	UKM00003590	igra2	1999	2006	03590	0-20000-0-03590	['85', '38', '106', '107']
3	3		HONINGTON RAF	52.33	0.77	53.0352				35058	19950526.0	99991231.0		27.3		WBAN	0-20500-0-35058	ipswich	14.2	52.083333	1.166667						[52.117, 52.117]	[0.967, 0.967]	UKM00003590	igra2	1999	2006	03590	0-20000-0-03590	['85', '38', '106', '107']
4	4		HORHAM ST FAITH	52.32	1.22	54.254400000000004				35020	19430501.0	19440630.0		28.4		WBAN	0-20500-0-35020	ipswich	14.2	52.083333	1.166667						[52.117, 52.117]	[0.967, 0.967]	UKM00003590	igra2	1999	2006	03590	0-20000-0-03590	['85', '38', '106', '107']
5	5		RIDGEWELL	52.05	0.55					35042	19440101.0	19450630.0		29.5		WBAN	0-20500-0-35042	ipswich	14.2	52.083333	1.166667						[52.117, 52.117]	[0.967, 0.967]	UKM00003590	igra2	1999	2006	03590	0-20000-0-03590	['85', '38', '106', '107']
0	0															CHUAN	0-20400-0-nan	ipswich	14.2	52.083333	1.166667						[52.117, 52.117]	[0.967, 0.967]	UKM00003590	igra2	1999	2006	03590	0-20000-0-03590	['85', '38', '106', '107']
0	0		EGUW Wattisham, England, UK	52.12	0.97	-999.0				3590				0.4		SCHROEDER	0-20600-0-3590	ipswich	14.2	52.083333	1.166667		3590	130.0	2001-09-17 00:00:00	2005-12-08 00:00:00	[52.117, 52.117]	[0.967, 0.967]	UKM00003590	igra2	1999	2006	03590	0-20000-0-03590	['85', '38', '106', '107']
1	1		Wattisham, England, UK LAP-3000 1290 MHz atmospheric profiler**	52.124	0.9579	-999.0				3591				1.0		SCHROEDER	0-20600-0-3591	ipswich	14.2	52.083333	1.166667		3591	131.0	1999-02-01 00:00:00	1999-02-01 00:00:00	[52.117, 52.117]	[0.967, 0.967]	UKM00003590	igra2	1999	2006	03590	0-20000-0-03590	['85', '38', '106', '107']
0	0		WATTISHAM                	52.11666666666667	0.9666666666666668	-999.0				03590				0.0		WMO	0-20700-0-03590	ipswich	14.2	52.083333	1.166667		03590	3619.0			[52.117, 52.117]	[0.967, 0.967]	UKM00003590	igra2	1999	2006	03590	0-20000-0-03590	['85', '38', '106', '107']
