level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-33946	Simferopol	45.040277777777774	33.967222222222226	181.0	Climatological station, Surface land meteorological station (SYNOP), GOS, RBCN, CLIMAT(C), RBSN(S)	45 02 25N	033 58 02E	33946	999	999	False	41.8		OSCAR	0-20000-0-33946	yalta	20.5	44.500129	34.161481						[44.6833, 44.6833]	[34.1333, 34.1333]	UPM00033946	igra2	1950	2010	33946	0-20000-0-33959	['85', '38', '106', '107']
1	1	0-20000-0-33959	Alushta	44.659166666666664	34.40416666666667	7.0	Surface land meteorological station (SYNOP), GOS	44 39 33N	034 24 15E	33959	999	999	False	21.6		OSCAR	0-20000-0-33959	yalta	20.5	44.500129	34.161481						[44.6833, 44.6833]	[34.1333, 34.1333]	UPM00033946	igra2	1950	2010	33946	0-20000-0-33959	['85', '38', '106', '107']
2	2	0-20000-0-33945	Poshtove	44.8325	33.94361111111111	176.0	Surface land meteorological station (SYNOP), GOS	44 49 57N	033 56 37E	33945	999	999	False	22.4		OSCAR	0-20000-0-33945	yalta	20.5	44.500129	34.161481						[44.6833, 44.6833]	[34.1333, 34.1333]	UPM00033946	igra2	1950	2010	33946	0-20000-0-33959	['85', '38', '106', '107']
3	3	0-20000-0-33990	Yalta	44.48111111111111	34.155277777777776	72.0	Surface land meteorological station (SYNOP), CLIMAT(C), GOS	44 28 52N	034 09 19E	33990	999	999	False	22.5		OSCAR	0-20000-0-33990	yalta	20.5	44.500129	34.161481						[44.6833, 44.6833]	[34.1333, 34.1333]	UPM00033946	igra2	1950	2010	33946	0-20000-0-33959	['85', '38', '106', '107']
4	4	0-20000-0-33998	Ai-Petri	44.469166666666666	34.068333333333335	1180.0	Climatological station, Surface land meteorological station (SYNOP), GOS, GSN, CLIMAT(C), RBCN	44 28 09N	034 04 06E	33998	999	999	False	24.3		OSCAR	0-20000-0-33998	yalta	20.5	44.500129	34.161481						[44.6833, 44.6833]	[34.1333, 34.1333]	UPM00033946	igra2	1950	2010	33946	0-20000-0-33959	['85', '38', '106', '107']
0	0		SIMFEROPOL	44.6833	34.1333	180.0				33946	1950	2010	True	0.0		IGRA2	0-20300-0-33946	yalta	20.5	44.500129	34.161481	UPM00033946					[44.6833, 44.6833]	[34.1333, 34.1333]	UPM00033946	igra2	1950	2010	33946	0-20000-0-33959	['85', '38', '106', '107']
0	0															WBAN	0-20500-0-nan	yalta	20.5	44.500129	34.161481						[44.6833, 44.6833]	[34.1333, 34.1333]	UPM00033946	igra2	1950	2010	33946	0-20000-0-33959	['85', '38', '106', '107']
0	0		Jalta	44.5	34.18	4				5167	-999-999	-999-999		20.7		CHUAN	0-20400-0-5167	yalta	20.5	44.500129	34.161481		-999				[44.6833, 44.6833]	[34.1333, 34.1333]	UPM00033946	igra2	1950	2010	33946	0-20000-0-33959	['85', '38', '106', '107']
1	2		Simpheropol	44.95	34.12	280				4586	195404	195409		29.7		CHUAN	0-20400-0-4586	yalta	20.5	44.500129	34.161481		-999				[44.6833, 44.6833]	[34.1333, 34.1333]	UPM00033946	igra2	1950	2010	33946	0-20000-0-33959	['85', '38', '106', '107']
2	3		Simferopol	44.95	34.12	280				4646	195410	195504		29.7		CHUAN	0-20400-0-4646	yalta	20.5	44.500129	34.161481		-999				[44.6833, 44.6833]	[34.1333, 34.1333]	UPM00033946	igra2	1950	2010	33946	0-20000-0-33959	['85', '38', '106', '107']
0	0		UKFF Simferopol' AP, Ukraine	44.92	34.05	-999				33946				27.1		SCHROEDER	0-20600-0-33946	yalta	20.5	44.500129	34.161481		33946	844.0	1949-08-01 00:00:00	2003-05-16 00:00:00	[44.6833, 44.6833]	[34.1333, 34.1333]	UPM00033946	igra2	1950	2010	33946	0-20000-0-33959	['85', '38', '106', '107']
0	0		SIMFEROPOL'              	45.016666666666666	33.983333333333334	-999.0				33946				38.9		WMO	0-20700-0-33946	yalta	20.5	44.500129	34.161481		33946	1080.0			[44.6833, 44.6833]	[34.1333, 34.1333]	UPM00033946	igra2	1950	2010	33946	0-20000-0-33959	['85', '38', '106', '107']
1	1		YALTA                    	44.48333333333333	34.166666666666664	-999.0				33990				22.4		WMO	0-20700-0-33990	yalta	20.5	44.500129	34.161481		33990	4131.0			[44.6833, 44.6833]	[34.1333, 34.1333]	UPM00033946	igra2	1950	2010	33946	0-20000-0-33959	['85', '38', '106', '107']
2	2		AI-PETRI                 	44.46666666666667	34.083333333333336	-999.0				33998				24.4		WMO	0-20700-0-33998	yalta	20.5	44.500129	34.161481		33998	4132.0			[44.6833, 44.6833]	[34.1333, 34.1333]	UPM00033946	igra2	1950	2010	33946	0-20000-0-33959	['85', '38', '106', '107']
