level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	WIGOS_calc	inventory	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0																OSCAR	chippewa falls	60.9	44.9369444	-91.3927778						[45.417, 45.417]	[-91.767, -91.767]	USI0000KRPD	igra2	2003	2006	0KRPD	0-20300-0-0KRPD	['85', '38', '106', '107']
0	0		RICE LAKE RGNL CARLS	45.417	-91.767	337.0				0KRPD	2003.0	2006.0	True	0.0		0-20300-0-0KRPD	IGRA2	chippewa falls	60.9	44.9369444	-91.3927778	USI0000KRPD					[45.417, 45.417]	[-91.767, -91.767]	USI0000KRPD	igra2	2003	2006	0KRPD	0-20300-0-0KRPD	['85', '38', '106', '107']
0	0		RICE LAKE	45.42	-91.77	336.19440000000003				94970	19950928.0	19990421.0		0.4		0-20500-0-94970	WBAN	chippewa falls	60.9	44.9369444	-91.3927778						[45.417, 45.417]	[-91.767, -91.767]	USI0000KRPD	igra2	2003	2006	0KRPD	0-20300-0-0KRPD	['85', '38', '106', '107']
1	1		RICE LAKE	45.42	-91.77	336.19440000000003				94970	20021016.0	20041018.0		0.4		0-20500-0-94970	WBAN	chippewa falls	60.9	44.9369444	-91.3927778						[45.417, 45.417]	[-91.767, -91.767]	USI0000KRPD	igra2	2003	2006	0KRPD	0-20300-0-0KRPD	['85', '38', '106', '107']
2	2		RICE LAKE	45.42	-91.77	336.19440000000003				94970	20041018.0	20050930.0		0.4		0-20500-0-94970	WBAN	chippewa falls	60.9	44.9369444	-91.3927778						[45.417, 45.417]	[-91.767, -91.767]	USI0000KRPD	igra2	2003	2006	0KRPD	0-20300-0-0KRPD	['85', '38', '106', '107']
3	3		RICE LAKE	45.42	-91.77	336.19440000000003				94970	20050930.0	99991231.0		0.4		0-20500-0-94970	WBAN	chippewa falls	60.9	44.9369444	-91.3927778						[45.417, 45.417]	[-91.767, -91.767]	USI0000KRPD	igra2	2003	2006	0KRPD	0-20300-0-0KRPD	['85', '38', '106', '107']
4	4		RICE LAKE	45.42	-91.78	336.19440000000003				94970	19990421.0	20021016.0		1.1		0-20500-0-94970	WBAN	chippewa falls	60.9	44.9369444	-91.3927778						[45.417, 45.417]	[-91.767, -91.767]	USI0000KRPD	igra2	2003	2006	0KRPD	0-20300-0-0KRPD	['85', '38', '106', '107']
5	5		RICE LAKE	45.5	-91.73	346.86240000000004				94970	19811231.0	19820331.0		9.7		0-20500-0-94970	WBAN	chippewa falls	60.9	44.9369444	-91.3927778						[45.417, 45.417]	[-91.767, -91.767]	USI0000KRPD	igra2	2003	2006	0KRPD	0-20300-0-0KRPD	['85', '38', '106', '107']
6	6		RICE LAKE	45.5	-91.73	346.86240000000004				94970	19820331.0	19860519.0		9.7		0-20500-0-94970	WBAN	chippewa falls	60.9	44.9369444	-91.3927778						[45.417, 45.417]	[-91.767, -91.767]	USI0000KRPD	igra2	2003	2006	0KRPD	0-20300-0-0KRPD	['85', '38', '106', '107']
7	7		RICE LAKE	45.5	-91.73	346.86240000000004				94970	19810701.0	19811231.0		9.7		0-20500-0-94970	WBAN	chippewa falls	60.9	44.9369444	-91.3927778						[45.417, 45.417]	[-91.767, -91.767]	USI0000KRPD	igra2	2003	2006	0KRPD	0-20300-0-0KRPD	['85', '38', '106', '107']
8	8		RICE LAKE	45.5	-91.73	346.86240000000004				94970	19860519.0	19950928.0		9.7		0-20500-0-94970	WBAN	chippewa falls	60.9	44.9369444	-91.3927778						[45.417, 45.417]	[-91.767, -91.767]	USI0000KRPD	igra2	2003	2006	0KRPD	0-20300-0-0KRPD	['85', '38', '106', '107']
0	0															0-20400-0-nan	CHUAN	chippewa falls	60.9	44.9369444	-91.3927778						[45.417, 45.417]	[-91.767, -91.767]	USI0000KRPD	igra2	2003	2006	0KRPD	0-20300-0-0KRPD	['85', '38', '106', '107']
0	0															0-20600-0-nan	SCHROEDER	chippewa falls	60.9	44.9369444	-91.3927778						[45.417, 45.417]	[-91.767, -91.767]	USI0000KRPD	igra2	2003	2006	0KRPD	0-20300-0-0KRPD	['85', '38', '106', '107']
0	0															0-20700-0-nan	WMO	chippewa falls	60.9	44.9369444	-91.3927778						[45.417, 45.417]	[-91.767, -91.767]	USI0000KRPD	igra2	2003	2006	0KRPD	0-20300-0-0KRPD	['85', '38', '106', '107']
