file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
0KRPD									[45.417, 45.417]	[-91.767, -91.767]	OSCAR				2003	2006				0-20300-0-0KRPD	chippewa falls	['85', '38', '106', '107']
0KRPD	0KRPD	RICE LAKE RGNL CARLS	45.417	-91.767	337.0			0.0	[45.417, 45.417]	[-91.767, -91.767]	IGRA2			0-20300-0-0KRPD	2003	2006	2003.0	2006.0	True	0-20300-0-0KRPD	chippewa falls	['85', '38', '106', '107']
0KRPD	94970	RICE LAKE	45.42	-91.77	336.19440000000003			0.4	[45.417, 45.417]	[-91.767, -91.767]	WBAN			0-20500-0-94970	2003	2006	19950928.0	19990421.0		0-20300-0-0KRPD	chippewa falls	['85', '38', '106', '107']
0KRPD	94970	RICE LAKE	45.42	-91.77	336.19440000000003			0.4	[45.417, 45.417]	[-91.767, -91.767]	WBAN			0-20500-0-94970	2003	2006	20021016.0	20041018.0		0-20300-0-0KRPD	chippewa falls	['85', '38', '106', '107']
0KRPD	94970	RICE LAKE	45.42	-91.77	336.19440000000003			0.4	[45.417, 45.417]	[-91.767, -91.767]	WBAN			0-20500-0-94970	2003	2006	20041018.0	20050930.0		0-20300-0-0KRPD	chippewa falls	['85', '38', '106', '107']
0KRPD	94970	RICE LAKE	45.42	-91.77	336.19440000000003			0.4	[45.417, 45.417]	[-91.767, -91.767]	WBAN			0-20500-0-94970	2003	2006	20050930.0	99991231.0		0-20300-0-0KRPD	chippewa falls	['85', '38', '106', '107']
0KRPD	94970	RICE LAKE	45.42	-91.78	336.19440000000003			1.1	[45.417, 45.417]	[-91.767, -91.767]	WBAN			0-20500-0-94970	2003	2006	19990421.0	20021016.0		0-20300-0-0KRPD	chippewa falls	['85', '38', '106', '107']
0KRPD	94970	RICE LAKE	45.5	-91.73	346.86240000000004			9.7	[45.417, 45.417]	[-91.767, -91.767]	WBAN			0-20500-0-94970	2003	2006	19811231.0	19820331.0		0-20300-0-0KRPD	chippewa falls	['85', '38', '106', '107']
0KRPD	94970	RICE LAKE	45.5	-91.73	346.86240000000004			9.7	[45.417, 45.417]	[-91.767, -91.767]	WBAN			0-20500-0-94970	2003	2006	19820331.0	19860519.0		0-20300-0-0KRPD	chippewa falls	['85', '38', '106', '107']
0KRPD	94970	RICE LAKE	45.5	-91.73	346.86240000000004			9.7	[45.417, 45.417]	[-91.767, -91.767]	WBAN			0-20500-0-94970	2003	2006	19810701.0	19811231.0		0-20300-0-0KRPD	chippewa falls	['85', '38', '106', '107']
0KRPD	94970	RICE LAKE	45.5	-91.73	346.86240000000004			9.7	[45.417, 45.417]	[-91.767, -91.767]	WBAN			0-20500-0-94970	2003	2006	19860519.0	19950928.0		0-20300-0-0KRPD	chippewa falls	['85', '38', '106', '107']
0KRPD									[45.417, 45.417]	[-91.767, -91.767]	CHUAN			0-20400-0-nan	2003	2006				0-20300-0-0KRPD	chippewa falls	['85', '38', '106', '107']
0KRPD									[45.417, 45.417]	[-91.767, -91.767]	SCHROEDER			0-20600-0-nan	2003	2006				0-20300-0-0KRPD	chippewa falls	['85', '38', '106', '107']
0KRPD									[45.417, 45.417]	[-91.767, -91.767]	WMO			0-20700-0-nan	2003	2006				0-20300-0-0KRPD	chippewa falls	['85', '38', '106', '107']
