level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	WIGOS_calc	inventory	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0																OSCAR	columbus	7.8	39.2013889	-85.92138890000003						[39.27, 39.27]	[-85.9, -85.9]	USM00072436	igra2	1943	1955	72436	0-20300-0-72436	['85', '38', '106', '107']
0	0		COLUMBUS	39.27	-85.9	203.0				72436	1943.0	1955.0	True	0.0		0-20300-0-72436	IGRA2	columbus	7.8	39.2013889	-85.92138890000003	USM00072436					[39.27, 39.27]	[-85.9, -85.9]	USM00072436	igra2	1943	1955	72436	0-20300-0-72436	['85', '38', '106', '107']
0	0		COLUMBUS BAKALAR	39.27	-85.9	199.0344				13803	19510101.0	19680101.0		0.0		0-20500-0-13803	WBAN	columbus	7.8	39.2013889	-85.92138890000003						[39.27, 39.27]	[-85.9, -85.9]	USM00072436	igra2	1943	1955	72436	0-20300-0-72436	['85', '38', '106', '107']
1	1		COLUMBUS BAKALAR	39.27	-85.9	199.9488				13803	19950101.0	99991231.0		0.0		0-20500-0-13803	WBAN	columbus	7.8	39.2013889	-85.92138890000003						[39.27, 39.27]	[-85.9, -85.9]	USM00072436	igra2	1943	1955	72436	0-20300-0-72436	['85', '38', '106', '107']
2	2		COLUMBUS BAKALAR	39.27	-85.9	199.9488				13803	19700228.0	19950101.0		0.0		0-20500-0-13803	WBAN	columbus	7.8	39.2013889	-85.92138890000003						[39.27, 39.27]	[-85.9, -85.9]	USM00072436	igra2	1943	1955	72436	0-20300-0-72436	['85', '38', '106', '107']
3	3		COLUMBUS BAKALAR	39.27	-85.9	199.9488				13803	19680101.0	19700228.0		0.0		0-20500-0-13803	WBAN	columbus	7.8	39.2013889	-85.92138890000003						[39.27, 39.27]	[-85.9, -85.9]	USM00072436	igra2	1943	1955	72436	0-20300-0-72436	['85', '38', '106', '107']
4	4		COLUMBUS BAKALAR	39.25	-85.9	198.12				13803	19430501.0	19450630.0		2.2		0-20500-0-13803	WBAN	columbus	7.8	39.2013889	-85.92138890000003						[39.27, 39.27]	[-85.9, -85.9]	USM00072436	igra2	1943	1955	72436	0-20300-0-72436	['85', '38', '106', '107']
5	5		COLUMBUS BAKALAR	39.25	-85.9	198.12				13803	19450630.0	19490701.0		2.2		0-20500-0-13803	WBAN	columbus	7.8	39.2013889	-85.92138890000003						[39.27, 39.27]	[-85.9, -85.9]	USM00072436	igra2	1943	1955	72436	0-20300-0-72436	['85', '38', '106', '107']
6	6		COLUMBUS BAKALAR	39.25	-85.9	198.12				13803	19490701.0	19500101.0		2.2		0-20500-0-13803	WBAN	columbus	7.8	39.2013889	-85.92138890000003						[39.27, 39.27]	[-85.9, -85.9]	USM00072436	igra2	1943	1955	72436	0-20300-0-72436	['85', '38', '106', '107']
7	7		COLUMBUS BAKALAR	39.25	-85.9	199.0344				13803	19500101.0	19510101.0		2.2		0-20500-0-13803	WBAN	columbus	7.8	39.2013889	-85.92138890000003						[39.27, 39.27]	[-85.9, -85.9]	USM00072436	igra2	1943	1955	72436	0-20300-0-72436	['85', '38', '106', '107']
0	0															0-20400-0-nan	CHUAN	columbus	7.8	39.2013889	-85.92138890000003						[39.27, 39.27]	[-85.9, -85.9]	USM00072436	igra2	1943	1955	72436	0-20300-0-72436	['85', '38', '106', '107']
0	0		KBAK Columbus - Bakalar Air Force Base (operated by US Air Force), IN (WBAN=13803)	39.27	-85.9	-999.0				72436				0.0		0-20600-0-72436	SCHROEDER	columbus	7.8	39.2013889	-85.92138890000003		72436.0	2524.0	1955-05-15 00:00:00	1955-05-15 00:00:00	[39.27, 39.27]	[-85.9, -85.9]	USM00072436	igra2	1943	1955	72436	0-20300-0-72436	['85', '38', '106', '107']
0	0															0-20700-0-nan	WMO	columbus	7.8	39.2013889	-85.92138890000003						[39.27, 39.27]	[-85.9, -85.9]	USM00072436	igra2	1943	1955	72436	0-20300-0-72436	['85', '38', '106', '107']
