level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-72634	GAYLORD, MI.	44.9075	-84.71888888888888		Upper-air / Radiosonde station, Surface land meteorological station (SYNOP), GOS, RBSN(T)	44 54 27N	084 43 08W	72634	999.0	999.0	True	0.0		OSCAR	0-20000-0-72634	traverse city	73.1	44.7630556	-85.6205556						[44.9075, 44.9075]	[-84.7189, -84.7189]	USM00072634	igra2	1996	2021	72634	0-20000-0-72634	['85', '38', '106', '107']
1	2	0-20000-0-74365	GRAYING AF RANGE,  MI.	44.833333333333336	-84.55		Surface land meteorological station (SYNOP), GOS	44 50 00N	084 33 00W	74365	999.0	999.0	False	15.7		OSCAR	0-20000-0-74365	traverse city	73.1	44.7630556	-85.6205556						[44.9075, 44.9075]	[-84.7189, -84.7189]	USM00072634	igra2	1996	2021	72634	0-20000-0-72634	['85', '38', '106', '107']
0	0		GAYLORD	44.9075	-84.7189	447.7				72634	1996.0	2021.0	True	0.0		IGRA2	0-20300-0-72634	traverse city	73.1	44.7630556	-85.6205556	USM00072634					[44.9075, 44.9075]	[-84.7189, -84.7189]	USM00072634	igra2	1996	2021	72634	0-20000-0-72634	['85', '38', '106', '107']
0	0		GAYLORD 9SSW	44.91	-84.72	448.05600000000004				4837	20050329.0	20050430.0		0.3		WBAN	0-20500-0-4837	traverse city	73.1	44.7630556	-85.6205556		72634.0				[44.9075, 44.9075]	[-84.7189, -84.7189]	USM00072634	igra2	1996	2021	72634	0-20000-0-72634	['85', '38', '106', '107']
1	1		GAYLORD 9 SSW	44.91	-84.72	448.05600000000004				4837	19980801.0	20000601.0		0.3		WBAN	0-20500-0-4837	traverse city	73.1	44.7630556	-85.6205556		72634.0				[44.9075, 44.9075]	[-84.7189, -84.7189]	USM00072634	igra2	1996	2021	72634	0-20000-0-72634	['85', '38', '106', '107']
2	2		GAYLORD 9 SSW	44.91	-84.72	448.05600000000004				4837	20000601.0	20020226.0		0.3		WBAN	0-20500-0-4837	traverse city	73.1	44.7630556	-85.6205556		72634.0				[44.9075, 44.9075]	[-84.7189, -84.7189]	USM00072634	igra2	1996	2021	72634	0-20000-0-72634	['85', '38', '106', '107']
3	3		GAYLORD 9 SSW	44.91	-84.72	448.05600000000004				4837	20020226.0	20050329.0		0.3		WBAN	0-20500-0-4837	traverse city	73.1	44.7630556	-85.6205556		72634.0				[44.9075, 44.9075]	[-84.7189, -84.7189]	USM00072634	igra2	1996	2021	72634	0-20000-0-72634	['85', '38', '106', '107']
4	4		GAYLORD 9SSW	44.91	-84.72	448.05600000000004				4837	20050430.0	99991231.0		0.3		WBAN	0-20500-0-4837	traverse city	73.1	44.7630556	-85.6205556		72634.0				[44.9075, 44.9075]	[-84.7189, -84.7189]	USM00072634	igra2	1996	2021	72634	0-20000-0-72634	['85', '38', '106', '107']
5	5		GAYLORD	44.91	-84.72	446.22720000000004				4837	19960807.0	99991231.0		0.3		WBAN	0-20500-0-4837	traverse city	73.1	44.7630556	-85.6205556						[44.9075, 44.9075]	[-84.7189, -84.7189]	USM00072634	igra2	1996	2021	72634	0-20000-0-72634	['85', '38', '106', '107']
6	6		GAYLORD WSO-N	44.9	-84.72					4837	19970114.0	19980801.0		0.8		WBAN	0-20500-0-4837	traverse city	73.1	44.7630556	-85.6205556		72634.0				[44.9075, 44.9075]	[-84.7189, -84.7189]	USM00072634	igra2	1996	2021	72634	0-20000-0-72634	['85', '38', '106', '107']
