level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-72401	RICHMOND/BYRD, VA.	37.5	-77.33333333333333	54.0	Climatological station, Surface land meteorological station (SYNOP), CLIMAT(C), RBSN(S), RBCN, GOS	37 30 00N	077 20 00W	72401	999.0	999.0	False	8.2		OSCAR	0-20000-0-72401	richmond	4.5	37.55361110000001	-77.46055559999998						[37.5333, 37.5333]	[-77.4167, -77.4167]	USW00013780	igra2	1933	1946	13780	0-20000-0-72401	['85', '38', '106', '107']
0	0		RICHMOND CITY	37.5333	-77.4167	52.1				13780	1933.0	1946.0	True	0.0		IGRA2	0-20300-0-13780	richmond	4.5	37.55361110000001	-77.46055559999998	USW00013780					[37.5333, 37.5333]	[-77.4167, -77.4167]	USW00013780	igra2	1933	1946	13780	0-20000-0-72401	['85', '38', '106', '107']
1	2		RICHMOND/BYRD FIELD	37.5	-77.333	54.0				72401	1942.0	1975.0	True	8.3		IGRA2	0-20300-0-72401	richmond	4.5	37.55361110000001	-77.46055559999998	USM00072401					[37.5333, 37.5333]	[-77.4167, -77.4167]	USW00013780	igra2	1933	1946	13780	0-20000-0-72401	['85', '38', '106', '107']
0	0		RICHMOND CHIMBORAZO PARK	37.53	-77.42	49.3776				13780	19910901.0	19920716.0		0.5		WBAN	0-20500-0-13780	richmond	4.5	37.55361110000001	-77.46055559999998						[37.5333, 37.5333]	[-77.4167, -77.4167]	USW00013780	igra2	1933	1946	13780	0-20000-0-72401	['85', '38', '106', '107']
1	1		RICHMOND CHIMBORAZO PARK	37.53	-77.42	49.0728				13780	19590101.0	19910901.0		0.5		WBAN	0-20500-0-13780	richmond	4.5	37.55361110000001	-77.46055559999998						[37.5333, 37.5333]	[-77.4167, -77.4167]	USW00013780	igra2	1933	1946	13780	0-20000-0-72401	['85', '38', '106', '107']
2	2		RICHMOND CHIMBORAZO	37.53	-77.42	52.1208				13780	19540401.0	19540430.0		0.5		WBAN	0-20500-0-13780	richmond	4.5	37.55361110000001	-77.46055559999998						[37.5333, 37.5333]	[-77.4167, -77.4167]	USW00013780	igra2	1933	1946	13780	0-20000-0-72401	['85', '38', '106', '107']
3	3		RICHMOND CHIMBORAZO	37.53	-77.42	52.1208				13780	19531231.0	19540401.0		0.5		WBAN	0-20500-0-13780	richmond	4.5	37.55361110000001	-77.46055559999998						[37.5333, 37.5333]	[-77.4167, -77.4167]	USW00013780	igra2	1933	1946	13780	0-20000-0-72401	['85', '38', '106', '107']
4	4		RICHMOND CHIMBORAZO	37.53	-77.42	52.1208				13780	19480131.0	19531231.0		0.5		WBAN	0-20500-0-13780	richmond	4.5	37.55361110000001	-77.46055559999998						[37.5333, 37.5333]	[-77.4167, -77.4167]	USW00013780	igra2	1933	1946	13780	0-20000-0-72401	['85', '38', '106', '107']
5	5		RICHMOND CHIMBORAZO	37.53	-77.42	52.1208				13780	19480101.0	19480131.0		0.5		WBAN	0-20500-0-13780	richmond	4.5	37.55361110000001	-77.46055559999998						[37.5333, 37.5333]	[-77.4167, -77.4167]	USW00013780	igra2	1933	1946	13780	0-20000-0-72401	['85', '38', '106', '107']
6	6		RICHMOND CHIMBORAZO	37.53	-77.42	52.1208				13780	19541101.0	19541231.0		0.5		WBAN	0-20500-0-13780	richmond	4.5	37.55361110000001	-77.46055559999998						[37.5333, 37.5333]	[-77.4167, -77.4167]	USW00013780	igra2	1933	1946	13780	0-20000-0-72401	['85', '38', '106', '107']
7	7		RICHMOND CHIMBORAZO	37.53	-77.42	52.1208				13780	19540430.0	19541101.0		0.5		WBAN	0-20500-0-13780	richmond	4.5	37.55361110000001	-77.46055559999998						[37.5333, 37.5333]	[-77.4167, -77.4167]	USW00013780	igra2	1933	1946	13780	0-20000-0-72401	['85', '38', '106', '107']
8	8		RICHMOND CHIMBORAZO	37.53	-77.42	52.1208				13780	19470101.0	19480101.0		0.5		WBAN	0-20500-0-13780	richmond	4.5	37.55361110000001	-77.46055559999998						[37.5333, 37.5333]	[-77.4167, -77.4167]	USW00013780	igra2	1933	1946	13780	0-20000-0-72401	['85', '38', '106', '107']
9	9		RICHMOND CHIMBORAZO	37.53	-77.42	52.1208				13780	19460430.0	19470101.0		0.5		WBAN	0-20500-0-13780	richmond	4.5	37.55361110000001	-77.46055559999998						[37.5333, 37.5333]	[-77.4167, -77.4167]	USW00013780	igra2	1933	1946	13780	0-20000-0-72401	['85', '38', '106', '107']
10	10		RICHMOND CHIMBORAZO	37.53	-77.42	52.1208				13780	19450701.0	19460430.0		0.5		WBAN	0-20500-0-13780	richmond	4.5	37.55361110000001	-77.46055559999998						[37.5333, 37.5333]	[-77.4167, -77.4167]	USW00013780	igra2	1933	1946	13780	0-20000-0-72401	['85', '38', '106', '107']
