file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
23008									[34.3833, 34.3833]	[-103.3167, -103.3167]	OSCAR				1943	1945				0-20300-0-23008	clovis	['85', '38', '106', '107']
23008	23008	CLOVIS AAF	34.3833	-103.3167	1305.5			0.0	[34.3833, 34.3833]	[-103.3167, -103.3167]	IGRA2			0-20300-0-23008	1943	1945	1943.0	1945.0	True	0-20300-0-23008	clovis	['85', '38', '106', '107']
23008	23008	CLOVIS CANNON AFB	34.38	-103.32	1310.9448			0.5	[34.3833, 34.3833]	[-103.3167, -103.3167]	WBAN			0-20500-0-23008	1943	1945	19461130.0	19510701.0		0-20300-0-23008	clovis	['85', '38', '106', '107']
23008	23008	CLOVIS CANNON AFB	34.38	-103.32	1310.9448			0.5	[34.3833, 34.3833]	[-103.3167, -103.3167]	WBAN			0-20500-0-23008	1943	1945	19430101.0	19461130.0		0-20300-0-23008	clovis	['85', '38', '106', '107']
23008	23008	CLOVIS CANNON AFB	34.38	-103.32	1309.116			0.5	[34.3833, 34.3833]	[-103.3167, -103.3167]	WBAN			0-20500-0-23008	1943	1945	19950101.0	99991231.0		0-20300-0-23008	clovis	['85', '38', '106', '107']
23008	23008	CLOVIS CANNON AFB	34.38	-103.32	1310.9448			0.5	[34.3833, 34.3833]	[-103.3167, -103.3167]	WBAN			0-20500-0-23008	1943	1945	19510701.0	19511101.0		0-20300-0-23008	clovis	['85', '38', '106', '107']
23008	23008	CLOVIS CANNON AFB	34.38	-103.32	1310.9448			0.5	[34.3833, 34.3833]	[-103.3167, -103.3167]	WBAN			0-20500-0-23008	1943	1945	19511101.0	19610101.0		0-20300-0-23008	clovis	['85', '38', '106', '107']
23008	23008	CLOVIS CANNON AFB	34.38	-103.32	1304.8488			0.5	[34.3833, 34.3833]	[-103.3167, -103.3167]	WBAN			0-20500-0-23008	1943	1945	19610101.0	19640101.0		0-20300-0-23008	clovis	['85', '38', '106', '107']
23008	23008	CLOVIS CANNON AFB	34.38	-103.32	1309.116			0.5	[34.3833, 34.3833]	[-103.3167, -103.3167]	WBAN			0-20500-0-23008	1943	1945	19640101.0	19950101.0		0-20300-0-23008	clovis	['85', '38', '106', '107']
23008	23077	CLOVIS MUNICIPAL AP	34.42	-103.08	1284.4272			22.1	[34.3833, 34.3833]	[-103.3167, -103.3167]	WBAN			0-20500-0-23077	1943	1945	19590401.0	19890804.0		0-20300-0-23008	clovis	['85', '38', '106', '107']
23008									[34.3833, 34.3833]	[-103.3167, -103.3167]	CHUAN			0-20400-0-nan	1943	1945				0-20300-0-23008	clovis	['85', '38', '106', '107']
23008									[34.3833, 34.3833]	[-103.3167, -103.3167]	SCHROEDER			0-20600-0-nan	1943	1945				0-20300-0-23008	clovis	['85', '38', '106', '107']
23008									[34.3833, 34.3833]	[-103.3167, -103.3167]	WMO			0-20700-0-nan	1943	1945				0-20300-0-23008	clovis	['85', '38', '106', '107']
