level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	WIGOS_calc	inventory	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0																OSCAR	smyrna	8.7	35.9827778	-86.51861109999999						[35.9167, 35.9167]	[-86.4667, -86.4667]	USW00093877	igra2	1933	1937	93877	0-20300-0-93877	['85', '38', '106', '107']
0	0		MURFREESBORO	35.9167	-86.4667	182.9				93877	1933.0	1937.0	True	0.0		0-20300-0-93877	IGRA2	smyrna	8.7	35.9827778	-86.51861109999999	USW00093877					[35.9167, 35.9167]	[-86.4667, -86.4667]	USW00093877	igra2	1933	1937	93877	0-20300-0-93877	['85', '38', '106', '107']
1	2		SMYRNA SEWART AFB	36.0	-86.5333	163.1				13827	1943.0	1945.0	True	11.0		0-20300-0-13827	IGRA2	smyrna	8.7	35.9827778	-86.51861109999999	USW00013827					[35.9167, 35.9167]	[-86.4667, -86.4667]	USW00093877	igra2	1933	1937	93877	0-20300-0-93877	['85', '38', '106', '107']
0	0		MURFREESBORO	35.92	-86.47	182.88				93877	19371201.0	19371231.0		0.5		0-20500-0-93877	WBAN	smyrna	8.7	35.9827778	-86.51861109999999						[35.9167, 35.9167]	[-86.4667, -86.4667]	USW00093877	igra2	1933	1937	93877	0-20300-0-93877	['85', '38', '106', '107']
1	1		MURFREESBORO	35.92	-86.47	182.88				93877	19371231.0	99991231.0		0.5		0-20500-0-93877	WBAN	smyrna	8.7	35.9827778	-86.51861109999999						[35.9167, 35.9167]	[-86.4667, -86.4667]	USW00093877	igra2	1933	1937	93877	0-20300-0-93877	['85', '38', '106', '107']
2	2		SEWART AFB	36.0	-86.53	159.1056				13827	19420701.0	19420801.0		10.9		0-20500-0-13827	WBAN	smyrna	8.7	35.9827778	-86.51861109999999						[35.9167, 35.9167]	[-86.4667, -86.4667]	USW00093877	igra2	1933	1937	93877	0-20300-0-93877	['85', '38', '106', '107']
3	3		SEWART AFB	36.0	-86.53	163.068				13827	19610101.0	19700331.0		10.9		0-20500-0-13827	WBAN	smyrna	8.7	35.9827778	-86.51861109999999						[35.9167, 35.9167]	[-86.4667, -86.4667]	USW00093877	igra2	1933	1937	93877	0-20300-0-93877	['85', '38', '106', '107']
4	4		SEWART AFB	36.0	-86.53	159.1056				13827	19490701.0	19610101.0		10.9		0-20500-0-13827	WBAN	smyrna	8.7	35.9827778	-86.51861109999999						[35.9167, 35.9167]	[-86.4667, -86.4667]	USW00093877	igra2	1933	1937	93877	0-20300-0-93877	['85', '38', '106', '107']
5	5		SEWART AFB	36.0	-86.53	159.1056				13827	19490101.0	19490701.0		10.9		0-20500-0-13827	WBAN	smyrna	8.7	35.9827778	-86.51861109999999						[35.9167, 35.9167]	[-86.4667, -86.4667]	USW00093877	igra2	1933	1937	93877	0-20300-0-93877	['85', '38', '106', '107']
6	6		SEWART AFB	36.0	-86.53	159.1056				13827	19470630.0	19490101.0		10.9		0-20500-0-13827	WBAN	smyrna	8.7	35.9827778	-86.51861109999999						[35.9167, 35.9167]	[-86.4667, -86.4667]	USW00093877	igra2	1933	1937	93877	0-20300-0-93877	['85', '38', '106', '107']
7	7		SEWART AFB	36.0	-86.53	159.1056				13827	19420801.0	19470630.0		10.9		0-20500-0-13827	WBAN	smyrna	8.7	35.9827778	-86.51861109999999						[35.9167, 35.9167]	[-86.4667, -86.4667]	USW00093877	igra2	1933	1937	93877	0-20300-0-93877	['85', '38', '106', '107']
8	8		NASHVILLE WSO AIRPORT	36.12	-86.68	182.88				13897	19690101.0	19730101.0		29.6		0-20500-0-13897	WBAN	smyrna	8.7	35.9827778	-86.51861109999999						[35.9167, 35.9167]	[-86.4667, -86.4667]	USW00093877	igra2	1933	1937	93877	0-20300-0-93877	['85', '38', '106', '107']
9	9		NASHVILLE WSO AIRPORT	36.12	-86.68	182.88				13897	19640810.0	19690101.0		29.6		0-20500-0-13897	WBAN	smyrna	8.7	35.9827778	-86.51861109999999						[35.9167, 35.9167]	[-86.4667, -86.4667]	USW00093877	igra2	1933	1937	93877	0-20300-0-93877	['85', '38', '106', '107']
10	10		NASHVILLE WSO AIRPORT	36.12	-86.68	181.05120000000002				13897	19760101.0	19811231.0		29.6		0-20500-0-13897	WBAN	smyrna	8.7	35.9827778	-86.51861109999999		72327.0				[35.9167, 35.9167]	[-86.4667, -86.4667]	USW00093877	igra2	1933	1937	93877	0-20300-0-93877	['85', '38', '106', '107']
11	11		NASHVILLE WSO AIRPORT	36.12	-86.68	182.88				13897	19640101.0	19640810.0		29.6		0-20500-0-13897	WBAN	smyrna	8.7	35.9827778	-86.51861109999999						[35.9167, 35.9167]	[-86.4667, -86.4667]	USW00093877	igra2	1933	1937	93877	0-20300-0-93877	['85', '38', '106', '107']
12	12		NASHVILLE WSO AIRPORT	36.12	-86.68	177.08880000000002				13897	19480831.0	19640101.0		29.6		0-20500-0-13897	WBAN	smyrna	8.7	35.9827778	-86.51861109999999						[35.9167, 35.9167]	[-86.4667, -86.4667]	USW00093877	igra2	1933	1937	93877	0-20300-0-93877	['85', '38', '106', '107']
13	13		NASHVILLE INTL AP	36.12	-86.68	182.88				13897	19370101.0	19370601.0		29.6		0-20500-0-13897	WBAN	smyrna	8.7	35.9827778	-86.51861109999999						[35.9167, 35.9167]	[-86.4667, -86.4667]	USW00093877	igra2	1933	1937	93877	0-20300-0-93877	['85', '38', '106', '107']
14	14		NASHVILLE WSO AIRPORT	36.12	-86.68	177.08880000000002				13897	19480801.0	19480831.0		29.6		0-20500-0-13897	WBAN	smyrna	8.7	35.9827778	-86.51861109999999						[35.9167, 35.9167]	[-86.4667, -86.4667]	USW00093877	igra2	1933	1937	93877	0-20300-0-93877	['85', '38', '106', '107']
