level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-03522	HEREFORD, CREDENHILL	52.080000000000005	-2.8024999999999998	76.0	Automatic weather station (AWS), Cryosphere station, Precipitation station, Surface land meteorological station (SYNOP), CLIMAT(C), GOS	52 04 48N	002 48 09W	03522	999.0	999.0	False	7431.3		OSCAR	0-20000-0-03522	pueblo	98.1	38.2544444	-104.6086111						[38.05, 38.05]	[-103.52, -103.52]	USXUAC03522	igra2	1952	1952	03522	0-20300-0-03522	['85', '38', '106', '107']
0	0		LA JUNTA	38.05	-103.52	1278.0				03522	1952.0	1952.0	True	0.0		IGRA2	0-20300-0-03522	pueblo	98.1	38.2544444	-104.6086111	USXUAC03522					[38.05, 38.05]	[-103.52, -103.52]	USXUAC03522	igra2	1952	1952	03522	0-20300-0-03522	['85', '38', '106', '107']
0	0		LA JUNTA AAF	38.05	-103.52	1278.9408				23014	19421101.0	19450630.0		0.0		WBAN	0-20500-0-23014	pueblo	98.1	38.2544444	-104.6086111						[38.05, 38.05]	[-103.52, -103.52]	USXUAC03522	igra2	1952	1952	03522	0-20300-0-03522	['85', '38', '106', '107']
1	1		LA JUNTA 4 NNE	38.05	-103.52	1291.7424				23067	19880921.0	19950101.0		0.0		WBAN	0-20500-0-23067	pueblo	98.1	38.2544444	-104.6086111						[38.05, 38.05]	[-103.52, -103.52]	USXUAC03522	igra2	1952	1952	03522	0-20300-0-03522	['85', '38', '106', '107']
2	2		LA JUNTA 4 NNE	38.05	-103.52	1291.7424				23067	19950101.0	19960206.0		0.0		WBAN	0-20500-0-23067	pueblo	98.1	38.2544444	-104.6086111						[38.05, 38.05]	[-103.52, -103.52]	USXUAC03522	igra2	1952	1952	03522	0-20300-0-03522	['85', '38', '106', '107']
3	3		LA JUNTA FAA AIRPORT	38.05	-103.52	1278.9408				23067	19471101.0	19471130.0		0.0		WBAN	0-20500-0-23067	pueblo	98.1	38.2544444	-104.6086111						[38.05, 38.05]	[-103.52, -103.52]	USXUAC03522	igra2	1952	1952	03522	0-20300-0-03522	['85', '38', '106', '107']
4	4		LA JUNTA FAA AIRPORT	38.05	-103.52	1278.9408				23067	19471130.0	19480527.0		0.0		WBAN	0-20500-0-23067	pueblo	98.1	38.2544444	-104.6086111						[38.05, 38.05]	[-103.52, -103.52]	USXUAC03522	igra2	1952	1952	03522	0-20300-0-03522	['85', '38', '106', '107']
5	5		LA JUNTA FAA AIRPORT	38.05	-103.52	1291.7424				23067	19600101.0	19811231.0		0.0		WBAN	0-20500-0-23067	pueblo	98.1	38.2544444	-104.6086111						[38.05, 38.05]	[-103.52, -103.52]	USXUAC03522	igra2	1952	1952	03522	0-20300-0-03522	['85', '38', '106', '107']
6	6		LA JUNTA FAA AIRPORT	38.05	-103.52	1291.7424				23067	19820101.0	19870916.0		0.0		WBAN	0-20500-0-23067	pueblo	98.1	38.2544444	-104.6086111						[38.05, 38.05]	[-103.52, -103.52]	USXUAC03522	igra2	1952	1952	03522	0-20300-0-03522	['85', '38', '106', '107']
7	7		LA JUNTA FAA AIRPORT	38.05	-103.52	1291.7424				23067	19480527.0	19600101.0		0.0		WBAN	0-20500-0-23067	pueblo	98.1	38.2544444	-104.6086111						[38.05, 38.05]	[-103.52, -103.52]	USXUAC03522	igra2	1952	1952	03522	0-20300-0-03522	['85', '38', '106', '107']
