file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
03992									[10.83, 10.83]	[106.97, 106.97]	OSCAR				1952	1954				0-20300-0-03992	bien hoa	['85', '38', '106', '107']
03992	03992	AN LOC	10.83	106.97	11.0			0.0	[10.83, 10.83]	[106.97, 106.97]	IGRA2			0-20300-0-03992	1952	1954	1952.0	1954.0	True	0-20300-0-03992	bien hoa	['85', '38', '106', '107']
03992	48896	BIEN HOA (VVBH)	10.9667	106.8167	12.0			22.6	[10.83, 10.83]	[106.97, 106.97]	IGRA2			0-20300-0-48896	1952	1954	1969.0	1970.0	True	0-20300-0-03992	bien hoa	['85', '38', '106', '107']
03992	41031	LONG THANH	10.8	106.97	44.196000000000005			3.3	[10.83, 10.83]	[106.97, 106.97]	WBAN			0-20500-0-41031	1952	1954	19660801.0	19720831.0		0-20300-0-03992	bien hoa	['85', '38', '106', '107']
03992	41041	CAT LAI	10.75	106.8	3.048			20.6	[10.83, 10.83]	[106.97, 106.97]	WBAN			0-20500-0-41041	1952	1954	19670401.0	19671130.0		0-20300-0-03992	bien hoa	['85', '38', '106', '107']
03992	41009	BIEN HOA	10.97	106.82	14.020800000000001			22.6	[10.83, 10.83]	[106.97, 106.97]	WBAN			0-20500-0-41009	1952	1954	19630501.0	19711031.0		0-20300-0-03992	bien hoa	['85', '38', '106', '107']
03992	41038	LONG GIAO	10.82	107.22	250.2408			27.4	[10.83, 10.83]	[106.97, 106.97]	WBAN			0-20500-0-41038	1952	1954	19670101.0	19690930.0		0-20300-0-03992	bien hoa	['85', '38', '106', '107']
03992	41032	DI AN	10.9	106.73	32.004000000000005			27.4	[10.83, 10.83]	[106.97, 106.97]	WBAN			0-20500-0-41032	1952	1954	19661001.0	19710331.0		0-20300-0-03992	bien hoa	['85', '38', '106', '107']
03992									[10.83, 10.83]	[106.97, 106.97]	CHUAN			0-20400-0-nan	1952	1954				0-20300-0-03992	bien hoa	['85', '38', '106', '107']
03992	48896	Saigon (Bien Hoa), Vietnam	10.97	106.82	-999.0			22.6	[10.83, 10.83]	[106.97, 106.97]	SCHROEDER		48896.0	0-20600-0-48896	1952	1954				0-20300-0-03992	bien hoa	['85', '38', '106', '107']
03992									[10.83, 10.83]	[106.97, 106.97]	WMO			0-20700-0-nan	1952	1954				0-20300-0-03992	bien hoa	['85', '38', '106', '107']
