level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-67581	CHIPATA	-13.55	32.583333333333336	1032.0	Climatological station, Surface land meteorological station (SYNOP), RBSN(S), CLIMAT(C), RBCN, GOS, GSN	13 33 00S	032 35 00E	67581	999.0	999.0	False	0.0		OSCAR	0-20000-0-67581	chipata	11.7	-13.633333300000002	32.65						[-13.55, -13.55]	[32.583, 32.583]	ZAM00067581	igra2	1946	1947	67581	0-20000-0-67581	['85', '38', '106', '107']
1	1	0-894-1-CPTA002	CHIPATA	-13.55	32.583333333333336	1032.0	Climatological station, Surface land meteorological station (SYNOP), RBSN(S), CLIMAT(C), RBCN, GOS, GSN	13 33 00S	032 35 00E	CPTA002	999.0	999.0	False	0.0		OSCAR	0-894-1-CPTA002	chipata	11.7	-13.633333300000002	32.65						[-13.55, -13.55]	[32.583, 32.583]	ZAM00067581	igra2	1946	1947	67581	0-20000-0-67581	['85', '38', '106', '107']
2	3	0-894-1-cht0002	CHIPATA	-13.55	32.583333333333336	1032.0	Climatological station, Surface land meteorological station (SYNOP), RBSN(S), CLIMAT(C), RBCN, GOS, GSN	13 33 00S	032 35 00E	cht0002	999.0	999.0	False	0.0		OSCAR	0-894-1-cht0002	chipata	11.7	-13.633333300000002	32.65						[-13.55, -13.55]	[32.583, 32.583]	ZAM00067581	igra2	1946	1947	67581	0-20000-0-67581	['85', '38', '106', '107']
3	4	0-894-1-MKRA030	MSEKERA	-13.65	32.56666666666667	1025.0	Surface land meteorological station (SYNOP), GOS, RBSN(S)	13 39 00S	032 34 00E	MKRA030	999.0	999.0	False	11.2		OSCAR	0-894-1-MKRA030	chipata	11.7	-13.633333300000002	32.65						[-13.55, -13.55]	[32.583, 32.583]	ZAM00067581	igra2	1946	1947	67581	0-20000-0-67581	['85', '38', '106', '107']
4	5	0-20000-0-67580	MSEKERA	-13.65	32.56666666666667	1025.0	Surface land meteorological station (SYNOP), GOS, RBSN(S)	13 39 00S	032 34 00E	67580	999.0	999.0	False	11.2		OSCAR	0-20000-0-67580	chipata	11.7	-13.633333300000002	32.65						[-13.55, -13.55]	[32.583, 32.583]	ZAM00067581	igra2	1946	1947	67581	0-20000-0-67581	['85', '38', '106', '107']
5	6	0-894-1-msk0029	MSEKERA	-13.65	32.56666666666667	1025.0	Surface land meteorological station (SYNOP), GOS, RBSN(S)	13 39 00S	032 34 00E	msk0029	999.0	999.0	False	11.2		OSCAR	0-894-1-msk0029	chipata	11.7	-13.633333300000002	32.65						[-13.55, -13.55]	[32.583, 32.583]	ZAM00067581	igra2	1946	1947	67581	0-20000-0-67581	['85', '38', '106', '107']
0	0		CHIPATA	-13.55	32.583	1032.0				67581	1946.0	1947.0	True	0.0		IGRA2	0-20300-0-67581	chipata	11.7	-13.633333300000002	32.65	ZAM00067581					[-13.55, -13.55]	[32.583, 32.583]	ZAM00067581	igra2	1946	1947	67581	0-20000-0-67581	['85', '38', '106', '107']
0	0															WBAN	0-20500-0-nan	chipata	11.7	-13.633333300000002	32.65						[-13.55, -13.55]	[32.583, 32.583]	ZAM00067581	igra2	1946	1947	67581	0-20000-0-67581	['85', '38', '106', '107']
0	0															CHUAN	0-20400-0-nan	chipata	11.7	-13.633333300000002	32.65						[-13.55, -13.55]	[32.583, 32.583]	ZAM00067581	igra2	1946	1947	67581	0-20000-0-67581	['85', '38', '106', '107']
0	0		Chipata, Zambia	-13.5637	32.5892	-999.0				67581				1.7		SCHROEDER	0-20600-0-67581	chipata	11.7	-13.633333300000002	32.65		67581	2128.0	9999999	9999999	[-13.55, -13.55]	[32.583, 32.583]	ZAM00067581	igra2	1946	1947	67581	0-20000-0-67581	['85', '38', '106', '107']
0	0		CHIPATA/FORT JAMESON     	-13.55	32.583333333333336	-999.0				67581				0.0		WMO	0-20700-0-67581	chipata	11.7	-13.633333300000002	32.65		67581	404.0			[-13.55, -13.55]	[32.583, 32.583]	ZAM00067581	igra2	1946	1947	67581	0-20000-0-67581	['85', '38', '106', '107']
