file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
67774	67774	HARARE (BELVEDERE)	-17.831666666666667	31.017777777777777		17 49 54S	031 01 04E	0.2	[-17.8333, -17.8333]	[31.0167, 31.0167]	OSCAR	0-20000-0-67774		0-20000-0-67774	1970	2018	999.0	999.0	True	0-20000-0-67774	harare	['85', '38', '106', '107']
67774	67775	HARARE (KUTSAGA)	-17.916666666666668	31.133333333333333	1480.0	17 55 00S	031 08 00E	15.4	[-17.8333, -17.8333]	[31.0167, 31.0167]	OSCAR	0-20000-0-67775		0-20000-0-67775	1970	2018	999.0	999.0	False	0-20000-0-67774	harare	['85', '38', '106', '107']
67774	67785	HERNDERSON	-17.583333333333332	30.966666666666665	1290.0	17 35 00S	030 58 00E	28.2	[-17.8333, -17.8333]	[31.0167, 31.0167]	OSCAR	0-20000-0-67785		0-20000-0-67785	1970	2018	999.0	999.0	False	0-20000-0-67774	harare	['85', '38', '106', '107']
67774	67774	HARARE (BELVEDERE)	-17.8333	31.0167	1471.0			0.0	[-17.8333, -17.8333]	[31.0167, 31.0167]	IGRA2			0-20300-0-67774	1970	2018	1970.0	2018.0	True	0-20000-0-67774	harare	['85', '38', '106', '107']
67774	67775	HARARE (KUTSAGA)	-17.917	31.133	1480.0			15.4	[-17.8333, -17.8333]	[31.0167, 31.0167]	IGRA2			0-20300-0-67775	1970	2018	1973.0	1978.0	True	0-20000-0-67774	harare	['85', '38', '106', '107']
67774									[-17.8333, -17.8333]	[31.0167, 31.0167]	WBAN			0-20500-0-nan	1970	2018				0-20000-0-67774	harare	['85', '38', '106', '107']
67774									[-17.8333, -17.8333]	[31.0167, 31.0167]	CHUAN			0-20400-0-nan	1970	2018				0-20000-0-67774	harare	['85', '38', '106', '107']
67774	67774	Salisbury (Belvedere), Rhodesia	-17.83	31.02	-999.0			0.5	[-17.8333, -17.8333]	[31.0167, 31.0167]	SCHROEDER		67774	0-20600-0-67774	1970	2018				0-20000-0-67774	harare	['85', '38', '106', '107']
67774	67775	FRSB Salisbury (Kutsaga) - Salisbury AP, Rhodesia	-17.93	31.1	-999.0			13.9	[-17.8333, -17.8333]	[31.0167, 31.0167]	SCHROEDER		67775	0-20600-0-67775	1970	2018				0-20000-0-67774	harare	['85', '38', '106', '107']
67774	67775	SALISBURY/KUTSAGA OBSY.  	-17.933333333333334	31.08333333333333	1479.0			13.1	[-17.8333, -17.8333]	[31.0167, 31.0167]	WMO		67775	0-20700-0-67775	1970	2018				0-20000-0-67774	harare	['85', '38', '106', '107']
