level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-60419	CONSTANTINE	36.28333333333333	6.616666666666667	692.0	Climatological station, Surface land meteorological station (SYNOP), GOS, RBCN, RBSN(S), CLIMAT(C)	36 17 00N	006 37 00E	60419	999.0	999.0	False	0.5		OSCAR	0-20000-0-60419	constantine	9.4	36.365	6.614722200000001						[36.28, 36.28]	[6.62, 6.62]	uadb_trhc_60419.txt	ncar	19770324	19911027	60419	0-20000-0-60419	['38', '85', '106', '107']
0	0		CONSTANTINE	36.283	6.617	694.0				60419	1973.0	2008.0	True	0.4		IGRA2	0-20300-0-60419	constantine	9.4	36.365	6.614722200000001	AGM00060419					[36.28, 36.28]	[6.62, 6.62]	uadb_trhc_60419.txt	ncar	19770324	19911027	60419	0-20000-0-60419	['38', '85', '106', '107']
0	0		LE KHROUB	36.3	6.7	559.0032				33016	19440701.0	19450831.0		7.5		WBAN	0-20500-0-33016	constantine	9.4	36.365	6.614722200000001						[36.28, 36.28]	[6.62, 6.62]	uadb_trhc_60419.txt	ncar	19770324	19911027	60419	0-20000-0-60419	['38', '85', '106', '107']
1	1		AIN EL	36.38	6.62	611.124				33013	19430301.0	19441231.0		11.1		WBAN	0-20500-0-33013	constantine	9.4	36.365	6.614722200000001						[36.28, 36.28]	[6.62, 6.62]	uadb_trhc_60419.txt	ncar	19770324	19911027	60419	0-20000-0-60419	['38', '85', '106', '107']
2	2		EL GUERRAH	36.13	6.62	770.2296				33018	19430201.0	19430930.0		16.6		WBAN	0-20500-0-33018	constantine	9.4	36.365	6.614722200000001						[36.28, 36.28]	[6.62, 6.62]	uadb_trhc_60419.txt	ncar	19770324	19911027	60419	0-20000-0-60419	['38', '85', '106', '107']
3	3		AIN MLILA	36.07	6.58	770.2296				33001	19430301.0	19430831.0		23.6		WBAN	0-20500-0-33001	constantine	9.4	36.365	6.614722200000001						[36.28, 36.28]	[6.62, 6.62]	uadb_trhc_60419.txt	ncar	19770324	19911027	60419	0-20000-0-60419	['38', '85', '106', '107']
4	4		CHATEAUDUN DU RHUMEL	36.17	6.33	763.2192				33012	19430201.0	19430831.0		28.8		WBAN	0-20500-0-33012	constantine	9.4	36.365	6.614722200000001						[36.28, 36.28]	[6.62, 6.62]	uadb_trhc_60419.txt	ncar	19770324	19911027	60419	0-20000-0-60419	['38', '85', '106', '107']
0	0															CHUAN	0-20400-0-nan	constantine	9.4	36.365	6.614722200000001						[36.28, 36.28]	[6.62, 6.62]	uadb_trhc_60419.txt	ncar	19770324	19911027	60419	0-20000-0-60419	['38', '85', '106', '107']
0	0		DABC Constantine - Ain El Bey AP / Mohamed Boudiaf AP, Algeria	36.28	6.63	-999.0				60419				0.9		SCHROEDER	0-20600-0-60419	constantine	9.4	36.365	6.614722200000001		60419	1795.0	1976-01-20 00:00:00	1997-12-12 00:00:00	[36.28, 36.28]	[6.62, 6.62]	uadb_trhc_60419.txt	ncar	19770324	19911027	60419	0-20000-0-60419	['38', '85', '106', '107']
0	0		CONSTANTINE              	36.266666666666666	6.616666666666667	-999.0				60419				1.5		WMO	0-20700-0-60419	constantine	9.4	36.365	6.614722200000001		60419	5418.0			[36.28, 36.28]	[6.62, 6.62]	uadb_trhc_60419.txt	ncar	19770324	19911027	60419	0-20000-0-60419	['38', '85', '106', '107']
