level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	WIGOS_calc	inventory	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0																OSCAR	twentynine palms	20.7	34.1355556	-116.0533333						[34.3, 34.3]	[-116.16, -116.16]	uadb_windc_69015.txt	ncar	20150423	20150423	69015	0-20500-0-3189	['38', '85', '106', '107']
0	0															0-20300-0-nan	IGRA2	twentynine palms	20.7	34.1355556	-116.0533333						[34.3, 34.3]	[-116.16, -116.16]	uadb_windc_69015.txt	ncar	20150423	20150423	69015	0-20500-0-3189	['38', '85', '106', '107']
0	0		TWENTYNINE PALMS NAAS/U-A	34.28	-116.15	623.0112				3189.0	19890111.0	99991231.0		2.4		0-20500-0-3189	WBAN	twentynine palms	20.7	34.1355556	-116.0533333						[34.3, 34.3]	[-116.16, -116.16]	uadb_windc_69015.txt	ncar	20150423	20150423	69015	0-20500-0-3189	['38', '85', '106', '107']
1	1		TWENTYNINE PALM NAAS	34.22	-116.05	537.972				93121.0	19811231.0	99991231.0		13.5		0-20500-0-93121	WBAN	twentynine palms	20.7	34.1355556	-116.0533333						[34.3, 34.3]	[-116.16, -116.16]	uadb_windc_69015.txt	ncar	20150423	20150423	69015	0-20500-0-3189	['38', '85', '106', '107']
2	2		TWENTYNINE PALM NAAS	34.22	-116.05	537.972				93121.0	19771231.0	19780201.0		13.5		0-20500-0-93121	WBAN	twentynine palms	20.7	34.1355556	-116.0533333						[34.3, 34.3]	[-116.16, -116.16]	uadb_windc_69015.txt	ncar	20150423	20150423	69015	0-20500-0-3189	['38', '85', '106', '107']
3	3		TWENTYNINE PALM NAAS	34.22	-116.05	537.972				93121.0	19771201.0	19771231.0		13.5		0-20500-0-93121	WBAN	twentynine palms	20.7	34.1355556	-116.0533333						[34.3, 34.3]	[-116.16, -116.16]	uadb_windc_69015.txt	ncar	20150423	20150423	69015	0-20500-0-3189	['38', '85', '106', '107']
4	4		TWENTYNINE PALM NAAS	34.22	-116.05	537.972				93121.0	19790301.0	19811231.0		13.5		0-20500-0-93121	WBAN	twentynine palms	20.7	34.1355556	-116.0533333						[34.3, 34.3]	[-116.16, -116.16]	uadb_windc_69015.txt	ncar	20150423	20150423	69015	0-20500-0-3189	['38', '85', '106', '107']
5	5		TWENTYNINE PALM NAAS	34.22	-116.05	537.972				93121.0	19441001.0	19451031.0		13.5		0-20500-0-93121	WBAN	twentynine palms	20.7	34.1355556	-116.0533333						[34.3, 34.3]	[-116.16, -116.16]	uadb_windc_69015.txt	ncar	20150423	20150423	69015	0-20500-0-3189	['38', '85', '106', '107']
6	6		TWENTYNINE PALM NAAS	34.22	-116.05	537.972				93121.0	19781231.0	19790301.0		13.5		0-20500-0-93121	WBAN	twentynine palms	20.7	34.1355556	-116.0533333						[34.3, 34.3]	[-116.16, -116.16]	uadb_windc_69015.txt	ncar	20150423	20150423	69015	0-20500-0-3189	['38', '85', '106', '107']
7	7		TWENTYNINE PALM NAAS	34.22	-116.05	537.972				93121.0	19780201.0	19781231.0		13.5		0-20500-0-93121	WBAN	twentynine palms	20.7	34.1355556	-116.0533333						[34.3, 34.3]	[-116.16, -116.16]	uadb_windc_69015.txt	ncar	20150423	20150423	69015	0-20500-0-3189	['38', '85', '106', '107']
8	8		CONDOR FIELD AAF	34.13	-116.03	541.9344				23134.0	19420701.0	19430430.0		22.3		0-20500-0-23134	WBAN	twentynine palms	20.7	34.1355556	-116.0533333						[34.3, 34.3]	[-116.16, -116.16]	uadb_windc_69015.txt	ncar	20150423	20150423	69015	0-20500-0-3189	['38', '85', '106', '107']
0	0															0-20400-0-nan	CHUAN	twentynine palms	20.7	34.1355556	-116.0533333						[34.3, 34.3]	[-116.16, -116.16]	uadb_windc_69015.txt	ncar	20150423	20150423	69015	0-20500-0-3189	['38', '85', '106', '107']
0	0		KNXP Twenty Nine Palms Marine Corps Air Station (operated by US Marine Corps), CA	34.28	-116.16	-999.0				72287.0				2.2		0-20600-0-72287	SCHROEDER	twentynine palms	20.7	34.1355556	-116.0533333		72287.0	2434.0	1989-01-01 00:00:00	1989-01-01 00:00:00	[34.3, 34.3]	[-116.16, -116.16]	uadb_windc_69015.txt	ncar	20150423	20150423	69015	0-20500-0-3189	['38', '85', '106', '107']
1	1		Twenty Nine Palms - Condor Field (operated by US Army Air Forces), CA (WBAN=23134)	34.23	-116.05	-999.0				72285.0				12.8		0-20600-0-72285	SCHROEDER	twentynine palms	20.7	34.1355556	-116.0533333		72285.0	2432.0	1942-06-25 00:00:00	1942-06-25 00:00:00	[34.3, 34.3]	[-116.16, -116.16]	uadb_windc_69015.txt	ncar	20150423	20150423	69015	0-20500-0-3189	['38', '85', '106', '107']
0	0															0-20700-0-nan	WMO	twentynine palms	20.7	34.1355556	-116.0533333						[34.3, 34.3]	[-116.16, -116.16]	uadb_windc_69015.txt	ncar	20150423	20150423	69015	0-20500-0-3189	['38', '85', '106', '107']
