file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
71569	71569	BRATT'S LAKE CLIMATE, SASK	50.20055555555556	-104.71000000000001	580.0	50 12 02N	104 42 36W	0.7	[50.2, 50.2]	[-104.69999999999999, -104.69999999999999]	OSCAR	0-20000-0-71569		0-20000-0-71569	20050511	20111130	999.0	999.0	False	0-20001-0-71569	regina	['38', '85', '106', '107']
71569	71569	BRATT'S LAKE UA, SASK	50.2	-104.7		50 12 00N	104 42 00W	0.0	[50.2, 50.2]	[-104.69999999999999, -104.69999999999999]	OSCAR	0-20001-0-71569		0-20001-0-71569	20050511	20111130	999.0	999.0	False	0-20001-0-71569	regina	['38', '85', '106', '107']
71569	71514	REGINA RCS, SASK	50.426944444444445	-104.67027777777778	577.3	50 25 37N	104 40 13W	25.3	[50.2, 50.2]	[-104.69999999999999, -104.69999999999999]	OSCAR	0-20000-0-71514		0-20000-0-71514	20050511	20111130	999.0	999.0	False	0-20001-0-71569	regina	['38', '85', '106', '107']
71569	71863	REGINA INT'L A, SASK	50.43333333333333	-104.66666666666667	577.6	50 26 00N	104 40 00W	26.1	[50.2, 50.2]	[-104.69999999999999, -104.69999999999999]	OSCAR	0-20000-0-71863		0-20000-0-71863	20050511	20111130	999.0	999.0	False	0-20001-0-71569	regina	['38', '85', '106', '107']
71569	71569	BRATT'S LAKE UA	50.2	-104.7	580.0			0.0	[50.2, 50.2]	[-104.69999999999999, -104.69999999999999]	IGRA2			0-20300-0-71569	20050511	20111130	2004.0	2011.0	True	0-20001-0-71569	regina	['38', '85', '106', '107']
71569	71863	REGINA INTL	50.433	-104.667	578.0			26.0	[50.2, 50.2]	[-104.69999999999999, -104.69999999999999]	IGRA2			0-20300-0-71863	20050511	20111130	1973.0	1994.0	True	0-20001-0-71569	regina	['38', '85', '106', '107']
71569	25005	REGINA	50.43	-104.67	574.2432			25.7	[50.2, 50.2]	[-104.69999999999999, -104.69999999999999]	WBAN			0-20500-0-25005	20050511	20111130	19371001.0	99991231.0		0-20001-0-71569	regina	['38', '85', '106', '107']
71569									[50.2, 50.2]	[-104.69999999999999, -104.69999999999999]	CHUAN			0-20400-0-nan	20050511	20111130				0-20001-0-71569	regina	['38', '85', '106', '107']
71569	71569	Bratt's Lake Upper Air, Saskatchewan, Canada	50.2	-104.7	-999.0			0.0	[50.2, 50.2]	[-104.69999999999999, -104.69999999999999]	SCHROEDER		71569	0-20600-0-71569	20050511	20111130				0-20001-0-71569	regina	['38', '85', '106', '107']
71569	71863	Regina AP, Saskatchewan, Canada	50.43	-104.67	-999.0			25.7	[50.2, 50.2]	[-104.69999999999999, -104.69999999999999]	SCHROEDER		71863	0-20600-0-71863	20050511	20111130				0-20001-0-71569	regina	['38', '85', '106', '107']
71569	72863	Regina, Saskatchewan, Canada	50.43	-104.67	-999.0			25.7	[50.2, 50.2]	[-104.69999999999999, -104.69999999999999]	SCHROEDER		72863	0-20600-0-72863	20050511	20111130				0-20001-0-71569	regina	['38', '85', '106', '107']
71569	72863	REGINA                   	50.43333333333333	-104.66666666666669	-999.0			26.1	[50.2, 50.2]	[-104.69999999999999, -104.69999999999999]	WMO		72863	0-20700-0-72863	20050511	20111130				0-20001-0-71569	regina	['38', '85', '106', '107']
71569	71863	REGINA AP, SASK.         	50.43333333333333	-104.66666666666669	580.0			26.1	[50.2, 50.2]	[-104.69999999999999, -104.69999999999999]	WMO		71863	0-20700-0-71863	20050511	20111130				0-20001-0-71569	regina	['38', '85', '106', '107']
