level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-07747	PERPIGNAN	42.73722222222222	2.872777777777778	44.0	Climatological station, Surface land meteorological station (SYNOP), GOS, RBCN, CLIMAT(C), RBSN(S)	42 44 14N	002 52 22E	07747	999	999	False	0.8		OSCAR	0-20000-0-07747	perpignan	4.4	42.696172	2.897098						[42.73, 42.73]	[2.87, 2.87]	uadb_windc_7747.txt	ncar	19660301	19900515	7747	0-20000-0-07747	['38', '85', '106', '107']
1	1	0-20000-0-07745	OPOUL-RADAR	42.91833333333333	2.865		Precipitation station, Surface land meteorological station (SYNOP), Weather radar, GOS, WRO	42 55 06N	002 51 54E	07745	999	999	False	20.9		OSCAR	0-20000-0-07745	perpignan	4.4	42.696172	2.897098						[42.73, 42.73]	[2.87, 2.87]	uadb_windc_7747.txt	ncar	19660301	19900515	7747	0-20000-0-07747	['38', '85', '106', '107']
2	2	0-20000-0-07666	LEUCATE	42.91833333333333	3.0616666666666665	40.0	Surface land meteorological station (SYNOP), GOS	42 55 06N	003 03 42E	07666	999	999	False	26.1		OSCAR	0-20000-0-07666	perpignan	4.4	42.696172	2.897098						[42.73, 42.73]	[2.87, 2.87]	uadb_windc_7747.txt	ncar	19660301	19900515	7747	0-20000-0-07747	['38', '85', '106', '107']
0	0															IGRA2	0-20300-0-nan	perpignan	4.4	42.696172	2.897098						[42.73, 42.73]	[2.87, 2.87]	uadb_windc_7747.txt	ncar	19660301	19900515	7747	0-20000-0-07747	['38', '85', '106', '107']
0	0															WBAN	0-20500-0-nan	perpignan	4.4	42.696172	2.897098						[42.73, 42.73]	[2.87, 2.87]	uadb_windc_7747.txt	ncar	19660301	19900515	7747	0-20000-0-07747	['38', '85', '106', '107']
0	0		Perpignan	42.73	2.87	45				5276	-999-999	-999-999		0.0		CHUAN	0-20400-0-5276	perpignan	4.4	42.696172	2.897098		-999				[42.73, 42.73]	[2.87, 2.87]	uadb_windc_7747.txt	ncar	19660301	19900515	7747	0-20000-0-07747	['38', '85', '106', '107']
1	2		Perpignan -Llabanère	42.737	2.872	44				4345	192411	-999-999		0.8		CHUAN	0-20400-0-4345	perpignan	4.4	42.696172	2.897098		6607				[42.73, 42.73]	[2.87, 2.87]	uadb_windc_7747.txt	ncar	19660301	19900515	7747	0-20000-0-07747	['38', '85', '106', '107']
2	3		Perpignan -Llabanère	42.737	2.872	44				4346	192411	-999-999		0.8		CHUAN	0-20400-0-4346	perpignan	4.4	42.696172	2.897098		6607				[42.73, 42.73]	[2.87, 2.87]	uadb_windc_7747.txt	ncar	19660301	19900515	7747	0-20000-0-07747	['38', '85', '106', '107']
3	4		Perpignan-Observatoire	42.701	2.885	30				8022	188201	193204		3.4		CHUAN	0-20400-0-8022	perpignan	4.4	42.696172	2.897098		NA				[42.73, 42.73]	[2.87, 2.87]	uadb_windc_7747.txt	ncar	19660301	19900515	7747	0-20000-0-07747	['38', '85', '106', '107']
4	5		Perpignan-Observatoire	42.701	2.885	30				4513	188201	193204		3.4		CHUAN	0-20400-0-4513	perpignan	4.4	42.696172	2.897098		-999				[42.73, 42.73]	[2.87, 2.87]	uadb_windc_7747.txt	ncar	19660301	19900515	7747	0-20000-0-07747	['38', '85', '106', '107']
5	6		Perpignan-Observatoire	42.701	2.885	30				4347	188201	193204		3.4		CHUAN	0-20400-0-4347	perpignan	4.4	42.696172	2.897098		-999				[42.73, 42.73]	[2.87, 2.87]	uadb_windc_7747.txt	ncar	19660301	19900515	7747	0-20000-0-07747	['38', '85', '106', '107']
6	7		Perpignan	42.7	2.9	33				5617	-999-999	-999-999		4.1		CHUAN	0-20400-0-5617	perpignan	4.4	42.696172	2.897098		-999				[42.73, 42.73]	[2.87, 2.87]	uadb_windc_7747.txt	ncar	19660301	19900515	7747	0-20000-0-07747	['38', '85', '106', '107']
0	0		Perpignan, France	42.73	2.87	-999				7747				0.0		SCHROEDER	0-20600-0-7747	perpignan	4.4	42.696172	2.897098		7747	328.0	9999999	9999999	[42.73, 42.73]	[2.87, 2.87]	uadb_windc_7747.txt	ncar	19660301	19900515	7747	0-20000-0-07747	['38', '85', '106', '107']
0	0		PERPIGNAN               0	42.73333333333333	2.8666666666666667	-999.0				07747				0.5		WMO	0-20700-0-07747	perpignan	4.4	42.696172	2.897098		07747	865.0			[42.73, 42.73]	[2.87, 2.87]	uadb_windc_7747.txt	ncar	19660301	19900515	7747	0-20000-0-07747	['38', '85', '106', '107']
1	1		LEUCATE                  	42.91666666666666	3.05	-999.0				07666				25.4		WMO	0-20700-0-07666	perpignan	4.4	42.696172	2.897098		07666	3873.0			[42.73, 42.73]	[2.87, 2.87]	uadb_windc_7747.txt	ncar	19660301	19900515	7747	0-20000-0-07747	['38', '85', '106', '107']
