	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio
0	0-20000-0-60661	ABDENNIZI	25.216666666666665	5.116666666666666	800.0	Surface land meteorological station (SYNOP), GOS	25 13 00N	005 07 00E	60661	999	999	False
1	0-20000-0-60623	ADEB LERRACH	27.4	8.833333333333334		Surface land meteorological station (SYNOP), GOS	27 24 00N	008 50 00E	60623	999	999	False
2	0-20000-0-60620	ADRAR	27.816666666666666	-0.18333333333333332	283.0	Climatological station, Surface land meteorological station (SYNOP), RBCN, RBSN(S), CLIMAT(C), GOS	27 49 00N	000 11 00W	60620	999	999	False
3	0-20000-0-60677	AFARA	25.333333333333332	7.8	1240.0	Surface land meteorological station (SYNOP), GOS	25 20 00N	007 48 00E	60677	999	999	False
4	0-20000-0-60374	AIN BENAIN	36.78333333333333	2.8833333333333333		Surface land meteorological station (SYNOP), GOS	36 47 00N	002 53 00E	60374	999	999	False
5	0-20000-0-60415	AIN-BESSAM	36.28333333333333	3.6666666666666665	752.0	Surface land meteorological station (SYNOP), GOS, CLIMAT(C)	36 17 00N	003 40 00E	60415	999	999	False
6	0-20000-0-60560	AIN-SEFRA	32.766666666666666	-0.6	1065.0	Climatological station, Surface land meteorological station (SYNOP), RBCN, GOS, CLIMAT(C), RBSN(S)	32 46 00N	000 36 00W	60560	999	999	False
7	0-20000-0-60369	ALGER-PORT	36.766666666666666	3.1	12.0	Surface land meteorological station (SYNOP), GOS, CLIMAT(C)	36 46 00N	003 06 00E	60369	999	999	False
8	0-20000-0-60650	AMGUID	26.416666666666668	5.366666666666666	614.0	Surface land meteorological station (SYNOP), GOS	26 25 00N	005 22 00E	60650	999	999	False
9	0-20000-0-60691	ANESBARAKA	19.433333333333334	4.65	477.0	Surface land meteorological station (SYNOP), GOS	19 26 00N	004 39 00E	60691	999	999	False
10	0-20000-0-60360	ANNABA	36.833333333333336	7.816666666666666	8.0	Climatological station, Surface land meteorological station (SYNOP), RBSN(S), GOS, CLIMAT(C), RBCN	36 50 00N	007 49 00E	60360	999	999	False
11	0-20000-0-60660	ARAK (60660-0)	25.266666666666666	3.7333333333333334	556.0	Surface land meteorological station (SYNOP), GOS	25 16 00N	003 44 00E	60660	999	999	False
12	0-20000-0-60452	ARZEW	35.81666666666667	-0.26666666666666666	4.0	Climatological station, Surface land meteorological station (SYNOP), RBCN, GOS, CLIMAT(C)	35 49 00N	000 16 00W	60452	999	999	False
13	0-20000-0-60679	ASSEKREM	23.266666666666666	5.633333333333333	2710.0	Surface land meteorological station (SYNOP), GOS	23 16 00N	005 38 00E	60679	999	999	False
14	0-20000-0-60394	BARAKI	36.68333333333333	3.1		Surface land meteorological station (SYNOP), GOS	36 41 00N	003 06 00E	60394	999	999	False
15	0-20000-0-60468	BATNA	35.75	6.316666666666666	826.0	Climatological station, Surface land meteorological station (SYNOP), RBSN(S), RBCN, GOS, CLIMAT(C)	35 45 00N	006 19 00E	60468	999	999	False
16	0-20000-0-60571	BECHAR	31.654166666666665	-2.252222222222222	816.0	Climatological station, Upper-air / Radiosonde station, Surface land meteorological station (SYNOP), GOS, RBSN(ST), CLIMAT(C), RBCN	31 39 15N	002 15 08W	60571	999	999	True
17	0-20000-0-60402	BEJAIA-AEROPORT	36.71666666666667	5.066666666666666	7.0	Climatological station, Surface land meteorological station (SYNOP), RBCN, RBSN(S), CLIMAT(C), GOS	36 43 00N	005 04 00E	60402	999	999	False
18	0-20000-0-60602	BENI-ABBES	30.133333333333333	-2.1666666666666665	505.0	Climatological station, Surface land meteorological station (SYNOP), RBCN, GOS, CLIMAT(C), RBSN(S)	30 08 00N	002 10 00W	60602	999	999	False
19	0-20000-0-60518	BENI-SAF	35.3	-1.35	70.0	Climatological station, Surface land meteorological station (SYNOP), RBCN, GOS, RBSN(S), CLIMAT(C)	35 18 00N	001 21 00W	60518	999	999	False
20	0-20000-0-60685	BIDON 5	22.316666666666666	1.1166666666666667	392.0	Surface land meteorological station (SYNOP), GOS	22 19 00N	001 07 00E	60685	999	999	False
