	file	kind	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
0	98558.csv	ORPHAN	0-20888-0-98558.csv	 	1	98558.csv	 	 	 	 	 	126.733	11.033	 	20240206	20240303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
1	72291.csv	COORDINATE_ISSUES	0-20666-0-72291.csv	 	2	72291.csv	 	 	 	 	 			 	20141006	20160526	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
2	14420.csv	ORPHAN	0-20888-0-14420.csv	 	3	14420.csv	 	 	 	 	 	25.2111	44.500800000000005	 	20160228	20160229	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
3	40186.csv	COORDINATE_ISSUES	0-20666-0-40186.csv	 	4	40186.csv	 	 	 	 	 			 	20141112	20240303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
4	72381.csv	COORDINATE_ISSUES	0-20666-0-72381.csv	 	5	72381.csv	 	 	 	 	 			 	20141009	20240228	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
5	70414.csv	ORPHAN	0-20888-0-70414.csv	 	6	70414.csv	 	 	 	 	 	-174.11361000000002,174.10000000000002,174.11361000000002,174.11362000000003	52.71222,52.71,52.71222,52.71222	 	20141002	20240303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
6	98747.csv	COORDINATE_ISSUES	0-20666-0-98747.csv	 	7	98747.csv	 	 	 	 	 			 	20141001	20240303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
7	98646.csv	COORDINATE_ISSUES	0-20666-0-98646.csv	 	8	98646.csv	 	 	 	 	 			 	20141001	20240303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
8	57541.csv	ORPHAN	0-20888-0-57541.csv	 	9	57541.csv	 	 	 	 	 	109.47	29.99	 	20240204	20240303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
9	42123.csv	ORPHAN	0-20888-0-42123.csv	 	10	42123.csv	 	 	 	 	 	73.53	29.55	 	20240229	20240303	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
