	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
0	0-20000-0-72659	0	1	72659	3	ABERDEEN/REG., SD.			0	-98.41333333333334	45.45555555555556		2014-10-01	2024-03-03	1	0	63	NMS	231	Aberdeen									['126', '137', '106', '107', '117']							L.Haimberger	0
1	0-20000-0-61600	0	2	61600	3	SAINT-LOUIS			0	-16.449722222222224	16.05		2015-03-12	2015-03-12	1	0	63	NMS	204	Saint-Louis									['126', '137', '106', '107', '117']							L.Haimberger	0
2	0-20000-0-80398	0	3	80398	3	LETICIA/VASQUEZ COBO			0	-69.95	-4.166666666666667		2015-11-01	2015-11-03	1	0	63	NMS	48	Leticia									['126', '137', '106', '107', '117']							L.Haimberger	0
3	0-20000-0-96565	0	4	96565	3	PUTUSSIBAU/PAGSUMA			0	112.93333333333334	0.8833333333333333		2014-10-18	2016-04-25	1	0	63	NMS	100	Kapit									['126', '137', '106', '107', '117']							L.Haimberger	0
4	0-20000-0-62337	0	5	62337	3	EL ARISH			0	33.83583333333333	31.07333333333333		2015-11-03	2015-11-04	1	0	63	NMS	64	Ofaqim									['126', '137', '106', '107', '117']							L.Haimberger	0
5	0-20000-0-65442	0	6	65442	3	KUMASI			0	-1.6	6.716666666666667		2016-06-21	2016-06-21	1	0	63	NMS	81	Kumasi									['126', '137', '106', '107', '117']							L.Haimberger	0
6	0-20001-0-71915	0	7	71915	3	CORAL HARBOUR UA, NU			0	-83.36666666666666	64.2		2015-11-01	2015-11-04	1	0	63	NMS	37										['126', '137', '106', '107', '117']							L.Haimberger	0
7	0-20000-0-97876	0	8	97876	3	TANAH MERAH			0	140.3	-6.1		2014-10-13	2024-02-28	1	0	63	NMS	100	Kiunga									['126', '137', '106', '107', '117']							L.Haimberger	0
8	0-20000-0-85586	0	9	85586	3	SANTO DOMINGO (85586-0)			0	-71.61416666666666	-33.655		2015-11-01	2015-11-03	1	0	63	NMS	45	San Antonio									['126', '137', '106', '107', '117']							L.Haimberger	0
9	0-20000-0-24944	0	10	24944	3	OLEKMINSK (24944-0)			0	120.41666666666669	60.4		2015-11-01	2015-11-04	1	0	63	NMS	190	Aldan									['126', '137', '106', '107', '117']							L.Haimberger	0
10	0-20000-0-48407	0	11	15105	3	UBON RATCHATHANI			0	104.86666666666666	15.25		2014-11-25	2014-11-25	1	0	63	NMS	216	Ubon Ratchathani									['126', '137', '106', '107', '117']							L.Haimberger	0
11	0-20000-0-64870	0	12	64870	3	NGAOUNDERE			0	13.566666666666666	7.35		2015-11-02	2015-12-23	1	0	63	NMS	46	Ngaoundere									['126', '137', '106', '107', '117']							L.Haimberger	0
12	0-20000-0-92035	0	13	92035	3	PORT MORESBY W.O.			0	147.21666666666667	-9.383333333333333		2014-10-12	2015-05-19	1	0	63	NMS	175	Port Moresby									['126', '137', '106', '107', '117']							L.Haimberger	0
13	0-20000-0-63450	0	14	63450	3	ADDIS ABABA-BOLE			0	38.75	9.033333333333331		2015-11-02	2015-11-02	1	0	63	NMS	68	Addis Abeba									['126', '137', '106', '107', '117']							L.Haimberger	0
14	0-20000-0-97192	0	15	97192	3	BAU-BAU/BETO AMBARI			0	122.57083333333333	-5.487777777777778		2014-10-11	2024-03-04	1	0	63	NMS	100	Katobu									['126', '137', '106', '107', '117']							L.Haimberger	0
15	0-20000-0-97096	0	16	97096	3	POSO/KASIGUNCU			0	120.65694444444443	-1.4202777777777778		2014-10-11	2024-03-04	1	0	63	NMS	100	Poso									['126', '137', '106', '107', '117']							L.Haimberger	0
16	0-20000-0-97530	0	17	97530	3	MANOKWARI/RENDANI			0	134.05055555555558	-0.8922222222222221		2014-10-11	2024-03-04	1	0	63	NMS	100	Manokwari									['126', '137', '106', '107', '117']							L.Haimberger	0
17	0-20000-0-91643	0	18	91643	3	FUNAFUTI (91643-0)			0	179.21666666666667	-8.516666666666667		2015-11-02	2015-11-02	1	0	63	NMS	225										['126', '137', '106', '107', '117']							L.Haimberger	0
18	0-20000-0-42398	0	19	42397	3	SILIGURI (42398-0)			0	88.31666666666666	26.633333333333333		2014-10-02	2015-10-25	1	0	63	NMS	104										['126', '137', '106', '107', '117']							L.Haimberger	0
