	file	kind	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
0	era5.10293.bfr	ORPHAN	0-20888-0-10293	 	1	10293	 	 	 	 	 	-128.3	29.2	 	19730226	19730226	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
1	era5.10624.bfr	ORPHAN	0-20888-0-10624	 	2	10624	 	 	 	 	 	-170.8	44.6	 	19730530	19730530	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
2	era5.10401.bfr	ORPHAN	0-20888-0-10401	 	3	10401	 	 	 	 	 	4.0	66.4	 	19711104	19711104	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
3	era5.10959.bfr	ORPHAN	0-20888-0-10959	 	4	10959	 	 	 	 	 	-11.3	-29.2	 	19710703	19710703	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
4	era5.28957.bfr	ORPHAN	0-20888-0-28957	 	5	28957	 	 	 	 	 	62.6	52.68	 	19781229	19781229	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
5	era5.10963.bfr	MATCHING_ID_NONMATCHING_COORD	0-20777-0-10963	 	6	10963	 	 	 	 	 	[-11.2, -11.2]	[-23.0, -23.0]	 	19710721	19710721	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
6	era5.10126.bfr	MATCHING_ID_NONMATCHING_COORD	0-20777-0-10126	 	7	10126	 	 	 	 	 	[126.7, 126.7]	[20.0, 20.0]	 	19710724	19710724	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
7	era5.10937.bfr	ORPHAN	0-20888-0-10937	 	8	10937	 	 	 	 	 	-64.3	37.0	 	19730103	19730103	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
8	era5.62681.bfr	ORPHAN	0-20888-0-62681	 	9	62681	 	 	 	 	 	36.1	17.6	 	19740825	19740825	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
9	era5.10173.bfr	ORPHAN	0-20888-0-10173	 	10	10173	 	 	 	 	 	-173.6	-35.4	 	19710724	19710724	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
10	era5.10116.bfr	ORPHAN	0-20888-0-10116	 	11	10116	 	 	 	 	 	108.3	17.1	 	19711219	19711219	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
11	era5.10406.bfr	ORPHAN	0-20888-0-10406	 	12	10406	 	 	 	 	 	-19.1	58.7	 	19710310	19710310	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
12	era5.1031.bfr	ORPHAN	0-20888-0-10031	 	13	10031	 	 	 	 	 	-31.2	20.3	 	19710517	19710616	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
13	era5.10653.bfr	ORPHAN	0-20888-0-10653	 	14	10653	 	 	 	 	 	135.0	27.8	 	19710727	19710727	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
14	era5.1011.bfr	ORPHAN	0-20888-0-10011	 	15	10011	 	 	 	 	 	-11.7	36.0	 	19710920	19710920	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
15	era5.10105.bfr	ORPHAN	0-20888-0-10105	 	16	10105	 	 	 	 	 	105.1	-60.8	 	19711113	19711125	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
16	era5.10933.bfr	ORPHAN	0-20888-0-10933	 	17	10933	 	 	 	 	 	-74.3	33.6	 	19730112	19730112	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
17	era5.10756.bfr	MATCHING_ID_NONMATCHING_COORD	0-20777-0-10756	 	18	10756	 	 	 	 	 	[135.0, 135.0]	[25.0, 25.0]	 	19720307	19720307	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
18	era5.10645.bfr	ORPHAN	0-20888-0-10645	 	19	10645	 	 	 	 	 	51.5	-23.7	 	19710820	19710820	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
19	era5.1042.bfr	MATCHING_ID_NONMATCHING_COORD	0-20777-0-10042	 	20	10042	 	 	 	 	 	[107.1, 107.0]	[18.8, 18.8]	 	19721009	19721010	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
20	era5.10810.bfr	ORPHAN	0-20888-0-10810	 	21	10810	 	 	 	 	 	-85.3	20.6	 	19710710	19720617	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
21	era5.10142.bfr	COORDINATE_ISSUES	0-20666-0-10142	 	22	10142	 	 	 	 	 			 	19710124	19710831	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
22	era5.10924.bfr	ORPHAN	0-20888-0-10924	 	23	10924	 	 	 	 	 	-37.5	24.5	 	19730228	19730228	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
23	era5.10425.bfr	ORPHAN	0-20888-0-10425	 	24	10425	 	 	 	 	 	-58.5	15.6	 	19730903	19730903	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
24	era5.32207.bfr	ORPHAN	0-20888-0-32207	 	25	32207	 	 	 	 	 	153.25	48.05	 	19781228	19781228	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
25	era5.1088.bfr	ORPHAN	0-20888-0-10088	 	26	10088	 	 	 	 	 	-88.6	85.3	 	19710405	19710405	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
26	era5.1066.bfr	ORPHAN	0-20888-0-10066	 	27	10066	 	 	 	 	 	-66.6	36.1	 	19710523	19710523	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 85, 106, 107]	 	 	 	 	 	 	 	 
