	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	distance_km	distance_km_minusLat	city_dist_km	elevation	file
0	0-20300-0-99010	0	1	10139	3	OCEAN WEATHER SHIP E			0	-48.0	35.0		19710503	19710503	1	0	63	NMS	37	None									[36, 85, 106, 107]							L.Haimberger	0	0.0		None	0.0	era5.10139.bfr
1	0-20000-0-80415	0	2	80415	3	CARACAS/MAIQUETIA AEROP. INTL. SIMON BOLIVAR			0	-66.98333333333333	10.6		19660901	19740923	1	0	63	NMS	236	Maiquetia									[36, 85, 106, 107]							L.Haimberger	0	0.4		3.3	48.0	era5.80415.bfr
2	0-20000-0-60445	0	3	60445	3	SETIF/AIN ARNAT			0	5.316666666666666	36.16666666666666		19620303	19620831	1	0	63	NMS	61	Tazmalt									[36, 85, 106, 107]							L.Haimberger	0	9.4		94.3	1015.0	era5.60445.bfr
3	0-20000-0-67489	0	4	67489	3	MZUZU			0	34.016666666666666	-11.45		19740615	19740923	1	0	63	NMS	155	Nkhata Bay									[36, 85, 106, 107]							L.Haimberger	0	0.4		34.8	1253.0	era5.67489.bfr
4	0-20000-0-62750	0	5	62750	3	ED DUEIM			0	32.333333333333336	14.0		19740706	19740831	1	0	63	NMS	195	Kinanah									[36, 85, 106, 107]							L.Haimberger	0	3.6		93.7	378.0	era5.62750.bfr
5	0-20000-0-74612	0	6	74612	3	CHINA LAKE, NAF, CA.			0	-117.68333333333334	35.68333333333333		19781218	19781226	1	0	63	NMS	231	Ridgecrest									[36, 85, 106, 107]							L.Haimberger	0	0.5		6.4		era5.74612.bfr
6	0-20000-0-40430	0	7	40430	3	AL-MADINAH			0	39.7	24.55		19730709	19730903	1	0	63	NMS	192	Umm Lajj									[36, 85, 106, 107]							L.Haimberger	0	12.2		244.2	636.0	era5.40430.bfr
7	0-20000-0-94393	0	8	10080	3	FREDERICK REEF			0	154.40194444444444	-20.9375		19720508	19720508	1	0	63	NMS	13	Yeppoon									[36, 85, 106, 107]							L.Haimberger	0	4.2		450.8	12.8	era5.1080.bfr
8	0-20000-0-61698	0	9	61698	3	KOLDA			0	-14.97	12.88		19740618	19740618	1	0	63	NMS	204	Kolda									[36, 85, 106, 107]							L.Haimberger	0	3.9		5.7	8.38	era5.61698.bfr
9	0-20000-0-84752	0	10	84752	3	AREQUIPA			0	-71.56666666666666	-16.333333333333332		19711101	19721225	1	0	63	NMS	173	Arequipa									[36, 85, 106, 107]							L.Haimberger	0	2.3		8.9	2539.0	era5.84752.bfr
10	0-20000-0-64456	0	11	64456	3	MAKOUA			0	15.65	-0.0166666666666666		19740619	19740619	1	0	63	NMS	39	Owando									[36, 85, 106, 107]							L.Haimberger	0	5.9		63.8	380.0	era5.64456.bfr
11	0-20000-0-91155	0	12	91155	3	FRENCH FRIGATE SHOALS			0	-166.28333333333333	23.866666666666667		19620918	19621030	1	0	63	NMS	231	None									[36, 85, 106, 107]							L.Haimberger	0	4.1		None		era5.91155.bfr
12	0-20000-0-61296	0	13	61296	3	BOUGOUNI			0	-7.5	11.416666666666666		19740814	19740921	1	0	63	NMS	144	Bougouni									[36, 85, 106, 107]							L.Haimberger	0	1.8		2.6	351.0	era5.61296.bfr
13	0-20000-0-62440	0	14	62438	3	ISMAILIA			0	32.24722222222222	30.591666666666665		19670105	19670225	1	0	63	NMS	64	Ismailia									[36, 85, 106, 107]							L.Haimberger	0	14.3		16.1	12.74	era5.62438.bfr
14	0-20700-0-76648	0	15	76648	3	COZUMEL                  			0	-86.95	20.516666666666666		19620304	19661218	1	0	63	NMS	156	Cozumel									[36, 85, 106, 107]							L.Haimberger	0	0.4		1.4	-999.0	era5.76648.bfr
15	0-20000-0-76612	0	16	76612	3	GUADALAJARA, JAL.			0	-103.3925	20.70638888888889		19660508	19671128	1	0	63	NMS	156	Zapopan									[36, 85, 106, 107]							L.Haimberger	0	3.2		4.6	1551.0	era5.76612.bfr
