	file	kind	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
0	era5.conv.199301.hBcBH.gz	MOBILE	0-20999-0-hBcBH	 	1	hBcBH	 	 	 	 	 	nan	nan	 	199301	199301	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
1	era5.conv.198111.WB18.gz	MOBILE	0-20999-0-WB18	 	2	WB18	 	 	 	 	 	nan	nan	 	198111	198112	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
2	era5.conv.200202.DLML7.gz	MOBILE	0-20999-0-DLML7	 	3	DLML7	 	 	 	 	 	nan	nan	 	200202	200202	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
3	era5.conv.200202.FJOR.gz	MOBILE	0-20999-0-FJOR	 	4	FJOR	 	 	 	 	 	nan	nan	 	200202	200206	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
4	era5.conv.198304.B7010.gz	MOBILE	0-20999-0-B7010	 	5	B7010	 	 	 	 	 	nan	nan	 	198304	198304	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
5	era5.conv.200211.FNOQ.gz	MOBILE	0-20999-0-FNOQ	 	6	FNOQ	 	 	 	 	 	nan	nan	 	200211	200211	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
6	era5.conv.199212.787W.gz	MOBILE	0-20999-0-787W	 	7	787W	 	 	 	 	 	nan	nan	 	199212	199212	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
7	era5.conv.199008.NNFN.gz	MOBILE	0-20999-0-NNFN	 	8	NNFN	 	 	 	 	 	nan	nan	 	199008	199008	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
8	era5.conv.199206.VQFV3.gz	MOBILE	0-20999-0-VQFV3	 	9	VQFV3	 	 	 	 	 	nan	nan	 	199206	199206	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
9	era5.conv.198809.CKPB.gz	MOBILE	0-20999-0-CKPB	 	10	CKPB	 	 	 	 	 	nan	nan	 	198809	198809	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
10	era5.conv.199408.FFMU.gz	MOBILE	0-20999-0-FFMU	 	11	FFMU	 	 	 	 	 	nan	nan	 	199408	199408	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
11	era5.conv.200203.FNOV.gz	MOBILE	0-20999-0-FNOV	 	12	FNOV	 	 	 	 	 	nan	nan	 	200203	200203	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
12	era5.conv.199305.FJRS.gz	MOBILE	0-20999-0-FJRS	 	13	FJRS	 	 	 	 	 	nan	nan	 	199305	200301	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
13	era5.conv.198404.UEVE.gz	MOBILE	0-20999-0-UEVE	 	14	UEVE	 	 	 	 	 	nan	nan	 	198404	198712	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
