	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
0	0-20000-0-97378	0	1	97378	3	ROTE/LEKUNIK BAA			0	123.07361111111109	-10.766388888888885		19850301	19900220	1	0	63	NMS	100	Kupang									[104, 105, 106, 107, 117]							L.Haimberger	0
1	0-20000-0-71948	0	2	71948	3	CAPE PARRY A, NWT			0	-124.71666666666668	70.16666666666667		19790729	19790729	1	0	63	NMS	37	None									[104, 105, 106, 107, 117]							L.Haimberger	0
2	0-20000-0-23274	0	3	23274	3	IGARKA			0	86.56666666666666	67.46666666666667		19920215	19920215	1	0	63	NMS	190	Dudinka									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
3	0-20000-0-94134	0	4	94134	3	BLACK POINT			0	132.14305555555555	-11.153888888888892		20010416	20010416	1	0	63	NMS	13	Darwin									[104, 105, 106, 107, 117]							L.Haimberger	0
4	0-20000-0-61437	0	5	61437	3	AKJOUJT			0	-14.366666666666667	19.75		19790725	19821214	1	0	63	NMS	150	Atar									[104, 105, 106, 107, 117]							L.Haimberger	0
5	0-20000-0-63330	0	6	63330	3	MAKALE			0	39.48333333333333	13.5		19840511	19840511	1	0	63	NMS	68	Abiy Adi									[104, 105, 106, 107, 117]							L.Haimberger	0
6	0-20000-0-54377	0	7	54377	3	JI'AN (54377-0)			0	126.21666666666668	41.15		19890114	19890114	1	0	63	NMS	47	Huanren									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
7	0-20000-0-27271	0	8	27271	3	SAR'JA			0	45.53333333333333	58.36666666666667		19930616	19930616	1	0	63	NMS	190	Sharya									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
8	0-20000-0-48077	0	9	48077	3	Pyay			0	95.21666666666668	18.8		19851119	19851119	1	0	63	NMS	145	Pyay									[104, 105, 106, 107, 117]							L.Haimberger	0
9	0-20000-0-47576	0	10	47577	3	MUTSU			0	141.21138888888888	41.28333333333333		19890329	19890329	1	0	63	NMS	113	Mutsu									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
10	0-20500-0-80417	0	11	94037	3	YULE ISLAND			0	146.52	-8.82		19790807	19790807	1	0	63	NMS	175	Port Moresby									[104, 105, 106, 107, 117]							L.Haimberger	0
11	0-20000-0-40918	0	12	40918	3	ISKACHEM			0	71.56666666666666	36.7		19850429	19850429	1	0	63	NMS	2	Eskasem									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
12	0-20000-0-08008	0	13	8008	3	LUGO/ROZAS			0	-7.4575	43.1113888888889		19840914	19840914	1	0	63	NMS	67	Lugo									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
13	0-20000-0-67095	0	14	63474	3	TOAMASINA			0	49.4	-18.116666666666667		19851007	19920515	1	0	63	NMS	141	Toamasina									[104, 105, 106, 107, 117]							L.Haimberger	0
14	0-20000-0-40550	0	15	40550	3	ABDALY			0	47.69055555555556	30.06583333333333		19831130	19831130	1	0	63	NMS	122	Khorramshahr									[104, 105, 106, 107, 117]							L.Haimberger	0
15	0-20000-0-60200	0	16	60200	3	BOUARFA			0	-1.95	32.56666666666667		19860228	19860228	1	0	63	NMS	136	Nador									[104, 105, 106, 107, 117]							L.Haimberger	0
16	0-20000-0-98336	0	17	98336	3	CASIGURAN			0	122.11666666666666	16.25		19790208	19790208	1	0	63	NMS	176	Santiago									[104, 105, 106, 107, 117]							L.Haimberger	0
17	0-20000-0-15462	0	18	15481	3	MEDGIDIA			0	28.25138888888889	44.24333333333333		19830131	19830131	1	0	63	NMS	188	Ovidiu									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
18	0-20000-0-71220	0	19	71100	3	LUCY ISLAND LIGHTSTATION, BC			0	-130.60888888888888	54.29583333333333		19860331	19860331	1	0	63	NMS	37	Prince Rupert									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
19	0-20000-0-83714	0	20	83714	3	CAMPOS DO JORDAO (83714-0)			0	-45.58333333333334	-22.73333333333333		20010417	20010417	1	0	63	NMS	30	Campos Do Jordao									[104, 105, 106, 107, 117]							L.Haimberger	0
20	0-20000-0-61489	0	21	61489	3	ROSSO			0	-15.816666666666665	16.5		19800118	19870922	1	0	63	NMS	204	Richard Toll									[104, 105, 106, 107, 117]							L.Haimberger	0
21	0-20000-0-43158	0	22	43158	3	SANGLI			0	74.6	16.85		20160421	20160421	1	0	63	NMS	104	Budhgaon									[104, 105, 106, 107, 117]							L.Haimberger	0
22	0-20000-0-42484	0	23	42484	3	BALLIA			0	84.16666666666667	25.75		19790516	19790516	1	0	63	NMS	104	Ballia									[104, 105, 106, 107, 117]							L.Haimberger	0
23	0-20000-0-92070	0	24	94075	3	SIDEIA			0	150.66666666666666	-10.616666666666667		19790709	19790709	1	0	63	NMS	175	Alotau									[104, 105, 106, 107, 117]							L.Haimberger	0
24	0-20000-0-43364	0	25	43364	3	HUT BAY			0	92.55	10.583333333333334		19800305	19800305	1	0	63	NMS	104	Port Blair									[39, 106, 107, 117]							L.Haimberger	0
25	0-620-2001-08558	0	26	8557	3	EVORA / C.C.			0	-7.888055555555555	38.536666666666655		19900704	19900704	1	0	63	NMS	183	Evora									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
26	0-20000-0-43302	0	27	43302	3	TIRUPPATTUR			0	78.56666666666666	12.483333333333333		19850722	19850722	1	0	63	NMS	104	Vaniyambadi									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
27	0-20000-0-47891	0	28	47891	3	TAKAMATSU			0	134.05416666666667	34.31833333333333		19860314	19940221	1	0	63	NMS	113	Shido									[104, 105, 106, 107, 117]							L.Haimberger	0
28	0-20000-0-94655	0	29	94655	3	TARCOOLA AERO			0	134.57861111111112	-30.705		19791214	19791214	1	0	63	NMS	13	Flinders									[104, 105, 106, 107, 117]							L.Haimberger	0
29	0-20000-0-67421	0	30	67421	3	CHITIPA			0	33.266666666666666	-9.7		19831122	19831122	1	0	63	NMS	155	Itumba									[104, 105, 106, 107, 117]							L.Haimberger	0
30	0-20000-0-87563	0	31	87563	3	LAS FLORES			0	-59.13722222222222	-36.04138888888889		19850202	19850202	1	0	63	NMS	10	Azul									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
31	0-20000-0-65545	0	32	65545	3	BONDOUKOU			0	-2.783333333333333	8.05		19800229	19820426	1	0	63	NMS	43	Bondoukou									[104, 105, 106, 107, 117]							L.Haimberger	0
32	0-20000-0-23405	0	33	23405	3	UST'-CIL'MA			0	52.26666666666666	65.43333333333334		19920702	19920702	1	0	63	NMS	190	Sosnogorsk									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
33	0-20000-0-41508	0	34	41508	3	DIR			0	71.85	35.2		20020522	20020522	1	0	63	NMS	177	Dir									[104, 105, 106, 107, 117]							L.Haimberger	0
34	0-20000-0-84593	0	35	84593	3	ATALAYA			0	-73.76666666666667	-10.716666666666667		19920205	19920205	1	0	63	NMS	173	Satipo									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
35	0-20000-0-41898	0	36	41898	3	SERAJGONJ			0	89.7	24.45		19860624	19860624	1	0	63	NMS	19	Sirajganj									[104, 105, 106, 107, 117]							L.Haimberger	0
36	0-20000-0-76612	0	37	76613	3	GUADALAJARA, JAL.			0	-103.3925	20.706388888888892		19790705	19790705	1	0	63	NMS	156	Tlaquepaque									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
37	0-20000-0-91491	0	38	91491	3	CHRISTMAS ISLAND (91491-0)			0	-157.16666666666666	1.7166666666666668		19840123	19840123	1	0	63	NMS	117	None									[104, 105, 106, 107, 117]							L.Haimberger	0
38	0-20000-0-72289	0	39	72289	3	MOUNT WILSON, CA.			0	-118.06666666666666	34.23333333333333		19850523	19850523	1	0	63	NMS	231	Altadena									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
39	0-20000-0-03882	0	40	3880	3	HERSTMONCEUX, WEST END			0	0.3169444444444444	50.899444444444434		19870726	19870726	1	0	63	NMS	76	Rottingdean									[104, 105, 106, 107, 117]							L.Haimberger	0
40	0-20000-0-60507	0	41	60507	3	MASCARA-GHRISS			0	0.15	35.35		19860816	19871005	1	0	63	NMS	61	Wahran									[104, 105, 106, 107, 117]							L.Haimberger	0
41	0-20000-0-11952	0	42	11934	3	POPRAD-GANOVCE			0	20.316666666666666	49.03333333333333		20050407	20050407	1	0	63	NMS	201	Poprad									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
42	0-20000-0-61731	0	43	61731	3	BASSE			0	-14.216666666666667	13.316666666666665		19810115	19910614	1	0	63	NMS	84	Basse									[104, 105, 106, 107, 117]							L.Haimberger	0
43	0-20000-0-64235	0	44	64235	3	KANANGA			0	22.41666666666667	-5.883333333333333		19950815	19950815	1	0	63	NMS	39	Kananga									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
44	0-20000-0-91689	0	45	91711	3	SUVA			0	178.43333333333337	-18.133333333333333		20060903	20060903	1	0	63	NMS	70	None									[104, 105, 106, 107, 117]							L.Haimberger	0
45	0-20000-0-72517	0	46	72517	3	ALLENTOWN/A.-BETHLEHEM-EASTON, PA.			0	-75.43333333333334	40.65		19820803	19820803	1	0	63	NMS	231	Fullerton									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
46	0-20000-0-92058	0	47	94058	3	TUFI			0	149.31666666666666	-9.083333333333334		19930128	19930128	1	0	63	NMS	175	Popondetta									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
47	0-20000-0-41571	0	48	41570	3	ISLAMABAD AIRPORT			0	73.1	33.61666666666667		19790503	19790503	1	0	63	NMS	177	Rawalpindi									[104, 105, 106, 107, 117]							L.Haimberger	0
48	0-20000-0-67591	0	49	67591	3	NKHOTA KOTA			0	34.266666666666666	-12.916666666666664		19860607	19860607	1	0	63	NMS	155	Nkhotakota									[104, 105, 106, 107, 117]							L.Haimberger	0
49	0-20000-0-16289	0	50	16289	3	NAPOLI/CAPODICHINO			0	14.290833333333332	40.88444444444443		19900531	19900531	1	0	63	NMS	109	San Giorgio A Cremano									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
50	0-20000-0-94995	0	51	93995	3	LORD HOWE ISLAND AERO			0	159.07861111111112	-31.54222222222223		19820603	19820603	1	0	63	NMS	13	None									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
51	0-20000-0-64180	0	52	64180	3	BUKAVU			0	28.85	-2.5166666666666666		19821025	19821025	1	0	63	NMS	39	Bukavu									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
52	0-20000-0-43009	0	53	43009	3	AHMADNAGAR			0	74.8	19.08333333333333		19790523	19790523	1	0	63	NMS	104	Ahmadnagar									[104, 105, 106, 107, 117]							L.Haimberger	0
53	0-20000-0-48068	0	54	48068	3	PINLAUNG			0	96.76666666666668	20.133333333333333		19840522	19840522	1	0	63	NMS	145	Loikaw									[104, 105, 106, 107, 117]							L.Haimberger	0
54	0-20000-0-94274	0	55	94275	3	GEORGETOWN AIRPORT			0	143.53055555555557	-18.303888888888892		19801019	19810610	1	0	63	NMS	13	Innisfail									[104, 105, 106, 107, 117]							L.Haimberger	0
55	0-20000-0-96163	0	56	95659	3	MIA PADANG			0	100.28916666666666	-0.7936111111111112		19880320	19980218	1	0	63	NMS	100	Padang									[104, 105, 106, 107, 117]							L.Haimberger	0
56	0-20000-0-64207	0	57	64207	3	MATADI			0	13.433333333333335	-5.8		19890308	19890308	1	0	63	NMS	39	Matadi									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
57	0-20000-0-04242	0	58	4242	3	SIORALIK			0	-52.55	65.01666666666667		19870421	19870421	1	0	63	NMS	83	Nuuk									[104, 105, 106, 107, 117]							L.Haimberger	0
58	0-20000-0-62378	0	59	62371	3	HELWAN			0	31.349166666666665	29.862777777777783		19790901	19790901	1	0	63	NMS	64	Cairo									[104, 105, 106, 107, 117]							L.Haimberger	0
59	0-20000-0-48352	0	60	48352	3	NONG KHAI			0	102.74722222222222	17.865000000000006		19881209	19881209	1	0	63	NMS	216	Nong Khai									[104, 105, 106, 107, 117]							L.Haimberger	0
60	0-20000-0-40022	0	61	40022	3	LATTAKIA			0	35.766666666666666	35.53333333333333		19930308	19930308	1	0	63	NMS	210	Jablah									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0
