	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	distance_km	distance_km_minusLat	city_dist_km	elevation	file	inventory
0	0-20000-0-43364	0	1	43364	3	HUT BAY			0	92.55	10.583333333333334		19800305	19800305	1	0	63	NMS	104	Port Blair									[39, 106, 107, 117]							L.Haimberger	0	0.4		122.2	7.16	era5.conv._43364	OSCAR
1	0-20000-0-91491	0	2	91491	3	CHRISTMAS ISLAND (91491-0)			0	-157.16666666666666	1.7166666666666668		19840123	19840123	1	0	63	NMS	117	None									[104, 105, 106, 107, 117]							L.Haimberger	0	0.5		None	3.048	era5.conv._91491	OSCAR
2	0-20000-0-71415	0	3	71415	3	CARIBOU POINT (AUT), NS			0	-62.68055555555555	45.76416666666667		20000429	20000429	1	0	63	NMS	37	New Glasgow									[104, 105, 106, 107, 117]							L.Haimberger	0	0.6		21.1	2.4	era5.conv._71415	OSCAR
3	0-20000-0-24988	0	4	24988	3	ARKA			0	142.33333333333334	60.083333333333336		19800108	19800108	1	0	63	NMS	190	None									[104, 105, 106, 107, 117]							L.Haimberger	0	0.4		None	198.0	era5.conv._24988	OSCAR
4	0-20000-0-38318	0	5	38317	3	BAYYRKUM			0	68.11666666666666	42.1		19870422	19870422	1	0	63	NMS	124	Arys									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	3.5		64.7	183.0	era5.conv._38317	OSCAR
5	0-20000-0-60200	0	6	60200	3	BOUARFA			0	-1.95	32.56666666666667		19860228	19860228	1	0	63	NMS	136	Nador									[104, 105, 106, 107, 117]							L.Haimberger	0	0.4		302.7	1143.0	era5.conv._60200	OSCAR
6	0-20000-0-67699	0	7	67699	3	MIMOSA			0	35.583333333333336	-16.083333333333332		19920519	19920519	1	0	63	NMS	155	Mulanje									[104, 105, 106, 107, 117]							L.Haimberger	0	0.5		10.0	653.0	era5.conv._67699	OSCAR
7	0-20000-0-62301	0	8	62301	3	SIDI BARRANI			0	25.9	31.616666666666667		19850413	19850413	1	0	63	NMS	64	Marsa Matruh									[104, 105, 106, 107, 117]							L.Haimberger	0	0.4		130.2	25.11	era5.conv._62301	OSCAR
8	0-20000-0-32562	0	9	32564	3	BOL' SHERETZK			0	156.3	52.833333333333336		19861113	19861113	1	0	63	NMS	190	Yelizovo									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	18.8		155.6	30.0	era5.conv._32564	OSCAR
9	0-20000-0-65465	0	10	65465	3	AXIM			0	-2.2333333333333334	4.866666666666667		19861109	19861109	1	0	63	NMS	81	Axim									[104, 105, 106, 107, 117]							L.Haimberger	0	0.5		1.3	37.8	era5.conv._65465	OSCAR
10	0-20000-0-48068	0	11	48068	3	PINLAUNG			0	96.76666666666668	20.133333333333333		19840522	19840522	1	0	63	NMS	145	Loikaw									[104, 105, 106, 107, 117]							L.Haimberger	0	0.5		68.1	1463.0	era5.conv._48068	OSCAR
11	0-20000-0-34186	0	12	34186	3	ERSHOV			0	48.3	51.36666666666667		19931116	19931116	1	0	63	NMS	190	Yershov									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	4.6		2.4	110.99	era5.conv._34186	OSCAR
12	0-20000-0-40957	0	13	40957	3	SHINDAND			0	62.28333333333333	33.4		19800904	19800904	1	0	63	NMS	2	Sindand									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.3		16.4	1150.0	era5.conv._40957	OSCAR
13	0-20000-0-95715	0	14	94715	3	WALGETT AIRPORT AWS			0	148.12222222222223	-30.037222222222223		19801118	19801118	1	0	63	NMS	13	Dubbo									[104, 105, 106, 107, 117]							L.Haimberger	0	1.9		250.8	134.0	era5.conv._94715	OSCAR
14	0-20000-0-48461	0	15	48461	3	PHATTHAYA			0	100.86527777777778	12.923333333333332		20010215	20010215	1	0	63	NMS	216	Pattaya									[104, 105, 106, 107, 117]							L.Haimberger	0	0.6		2.1	60.8	era5.conv._48461	OSCAR
15	0-20000-0-01262	0	16	1262	3	NORDOYAN LH			0	10.549166666666666	64.7975		19971122	19971122	1	0	63	NMS	166	Steinkjer									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.3		98.6	4.26	era5.conv._01262	OSCAR
16	0-20000-0-31913	0	17	31913	3	TURIJ ROG			0	131.98333333333332	45.21666666666667		19870123	19870123	1	0	63	NMS	190	Mishan									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.5		36.7	87.8	era5.conv._31913	OSCAR
17	0-20000-0-67243	0	18	67243	3	ZUMBO			0	30.433333333333334	-15.616666666666667		19861103	19861103	1	0	63	NMS	158	Karoi									[104, 105, 106, 107, 117]							L.Haimberger	0	0.5		154.6	340.0	era5.conv._67243	OSCAR
