	file	kind	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
0	era5.conv._3:N1K	MOBILE	0-20999-0-3:N1K	 	1	3:N1K	 	 	 	 	 	nan	nan	 	196203	196204	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
1	era5.conv._3:N17	MOBILE	0-20999-0-3:N17	 	2	3:N17	 	 	 	 	 	nan	nan	 	196203	196205	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
2	era5.conv._3:N1G	MOBILE	0-20999-0-3:N1G	 	3	3:N1G	 	 	 	 	 	nan	nan	 	196203	196204	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
3	era5.conv._3:N1R	MOBILE	0-20999-0-3:N1R	 	4	3:N1R	 	 	 	 	 	nan	nan	 	196203	196205	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
4	era5.conv._3:N1N	MOBILE	0-20999-0-3:N1N	 	5	3:N1N	 	 	 	 	 	nan	nan	 	196203	196205	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
5	era5.conv._3:N18	MOBILE	0-20999-0-3:N18	 	6	3:N18	 	 	 	 	 	nan	nan	 	196203	196205	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
6	era5.conv._3:K0	MOBILE	0-20999-0-3:K0	 	7	3:K0	 	 	 	 	 	nan	nan	 	196203	196205	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
7	era5.conv._3:N02	MOBILE	0-20999-0-3:N02	 	8	3:N02	 	 	 	 	 	nan	nan	 	196203	196205	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
8	era5.conv._3:L1	MOBILE	0-20999-0-3:L1	 	9	3:L1	 	 	 	 	 	nan	nan	 	196203	196205	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
9	era5.conv._3:N1C	MOBILE	0-20999-0-3:N1C	 	10	3:N1C	 	 	 	 	 	nan	nan	 	196203	196205	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
10	era5.conv._3:N2	MOBILE	0-20999-0-3:N2	 	11	3:N2	 	 	 	 	 	nan	nan	 	196203	196205	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
11	era5.conv._3:K1	MOBILE	0-20999-0-3:K1	 	12	3:K1	 	 	 	 	 	nan	nan	 	196203	196205	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
12	era5.conv._3:L0	MOBILE	0-20999-0-3:L0	 	13	3:L0	 	 	 	 	 	nan	nan	 	196203	196205	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
13	era5.conv._3:N01	MOBILE	0-20999-0-3:N01	 	14	3:N01	 	 	 	 	 	nan	nan	 	196203	196205	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
14	era5.conv._3:M0	MOBILE	0-20999-0-3:M0	 	15	3:M0	 	 	 	 	 	nan	nan	 	196206	196212	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
15	era5.conv._3:J0K	MOBILE	0-20999-0-3:J0K	 	16	3:J0K	 	 	 	 	 	nan	nan	 	196203	196205	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
16	era5.conv._3:J0M	MOBILE	0-20999-0-3:J0M	 	17	3:J0M	 	 	 	 	 	nan	nan	 	196203	196205	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
17	era5.conv._3:PWQO	MOBILE	0-20999-0-3:PWQO	 	18	3:PWQO	 	 	 	 	 	nan	nan	 	197408	197409	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
18	era5.conv._3:N0	MOBILE	0-20999-0-3:N0	 	19	3:N0	 	 	 	 	 	nan	nan	 	196203	196205	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
19	era5.conv._3:N1	MOBILE	0-20999-0-3:N1	 	20	3:N1	 	 	 	 	 	nan	nan	 	196203	196205	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
20	era5.conv._3:J0I	MOBILE	0-20999-0-3:J0I	 	21	3:J0I	 	 	 	 	 	nan	nan	 	196203	196205	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
21	era5.conv._3:J0A	MOBILE	0-20999-0-3:J0A	 	22	3:J0A	 	 	 	 	 	nan	nan	 	196203	196205	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
22	era5.conv._3:MVAN	MOBILE	0-20999-0-3:MVAN	 	23	3:MVAN	 	 	 	 	 	nan	nan	 	197407	197409	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
23	era5.conv._3:MDBE	MOBILE	0-20999-0-3:MDBE	 	24	3:MDBE	 	 	 	 	 	nan	nan	 	196607	197711	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
24	era5.conv._3:J0B	MOBILE	0-20999-0-3:J0B	 	25	3:J0B	 	 	 	 	 	nan	nan	 	196203	196205	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
25	era5.conv._3:J0V	MOBILE	0-20999-0-3:J0V	 	26	3:J0V	 	 	 	 	 	nan	nan	 	196203	196205	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
26	era5.conv._3:J0E	MOBILE	0-20999-0-3:J0E	 	27	3:J0E	 	 	 	 	 	nan	nan	 	196203	196205	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
27	era5.conv._3:J0D	MOBILE	0-20999-0-3:J0D	 	28	3:J0D	 	 	 	 	 	nan	nan	 	196203	196205	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
28	era5.conv._3:J0P	MOBILE	0-20999-0-3:J0P	 	29	3:J0P	 	 	 	 	 	nan	nan	 	196203	196205	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
29	era5.conv._3:J0C	MOBILE	0-20999-0-3:J0C	 	30	3:J0C	 	 	 	 	 	nan	nan	 	196203	196205	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
30	era5.conv._3:J0N	MOBILE	0-20999-0-3:J0N	 	31	3:J0N	 	 	 	 	 	nan	nan	 	196203	196205	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
31	era5.conv._3:NRDD	MOBILE	0-20999-0-3:NRDD	 	32	3:NRDD	 	 	 	 	 	nan	nan	 	196307	197702	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
32	era5.conv._3:UNAC	MOBILE	0-20999-0-3:UNAC	 	33	3:UNAC	 	 	 	 	 	nan	nan	 	197201	197712	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
33	era5.conv._3:TQWQ	MOBILE	0-20999-0-3:TQWQ	 	34	3:TQWQ	 	 	 	 	 	nan	nan	 	196804	196804	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
34	era5.conv._3:FONM	MOBILE	0-20999-0-3:FONM	 	35	3:FONM	 	 	 	 	 	nan	nan	 	196712	196712	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
35	era5.conv._6:1744	MOBILE	0-20999-0-6:1744	 	36	6:1744	 	 	 	 	 	nan	nan	 	197110	197110	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
36	era5.conv._3:ONAH	MOBILE	0-20999-0-3:ONAH	 	37	3:ONAH	 	 	 	 	 	nan	nan	 	196511	196511	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
37	era5.conv._3:FORX	MOBILE	0-20999-0-3:FORX	 	38	3:FORX	 	 	 	 	 	nan	nan	 	196607	196607	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
38	era5.conv._3:ELBJ	MOBILE	0-20999-0-3:ELBJ	 	39	3:ELBJ	 	 	 	 	 	nan	nan	 	196405	196405	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
39	era5.conv._3:03C	MOBILE	0-20999-0-3:03C	 	40	3:03C	 	 	 	 	 	nan	nan	 	196604	196604	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
40	era5.conv._3:ONLY	MOBILE	0-20999-0-3:ONLY	 	41	3:ONLY	 	 	 	 	 	nan	nan	 	196710	196710	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
41	era5.conv._3:FPYK	MOBILE	0-20999-0-3:FPYK	 	42	3:FPYK	 	 	 	 	 	nan	nan	 	196706	196706	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
42	era5.conv._3:FNOC	MOBILE	0-20999-0-3:FNOC	 	43	3:FNOC	 	 	 	 	 	nan	nan	 	196701	196701	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
43	era5.conv._3:FNKX	MOBILE	0-20999-0-3:FNKX	 	44	3:FNKX	 	 	 	 	 	nan	nan	 	196504	196504	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
44	era5.conv._3:UEUR	MOBILE	0-20999-0-3:UEUR	 	45	3:UEUR	 	 	 	 	 	nan	nan	 	196710	196710	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
45	era5.conv._3:DHAX	MOBILE	0-20999-0-3:DHAX	 	46	3:DHAX	 	 	 	 	 	nan	nan	 	196308	196308	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
46	era5.conv._3:PCUP	MOBILE	0-20999-0-3:PCUP	 	47	3:PCUP	 	 	 	 	 	nan	nan	 	196712	196712	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
47	era5.conv._3:GHUS	MOBILE	0-20999-0-3:GHUS	 	48	3:GHUS	 	 	 	 	 	nan	nan	 	196311	196311	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
48	era5.conv._3:GBDF	MOBILE	0-20999-0-3:GBDF	 	49	3:GBDF	 	 	 	 	 	nan	nan	 	196703	196703	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
49	era5.conv._3:FOFW	MOBILE	0-20999-0-3:FOFW	 	50	3:FOFW	 	 	 	 	 	nan	nan	 	196708	196708	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
50	era5.conv._3:FNPC	MOBILE	0-20999-0-3:FNPC	 	51	3:FNPC	 	 	 	 	 	nan	nan	 	196709	196709	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
51	era5.conv._3:UIAB	MOBILE	0-20999-0-3:UIAB	 	52	3:UIAB	 	 	 	 	 	nan	nan	 	196706	196706	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
52	era5.conv._3:KGPV	MOBILE	0-20999-0-3:KGPV	 	53	3:KGPV	 	 	 	 	 	nan	nan	 	196708	196708	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
53	era5.conv._3:EDDL	MOBILE	0-20999-0-3:EDDL	 	54	3:EDDL	 	 	 	 	 	nan	nan	 	196701	196701	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
54	era5.conv._3:PCVY	MOBILE	0-20999-0-3:PCVY	 	55	3:PCVY	 	 	 	 	 	nan	nan	 	196607	196607	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
55	era5.conv._3:0L4K	MOBILE	0-20999-0-3:0L4K	 	56	3:0L4K	 	 	 	 	 	nan	nan	 	196304	196304	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
56	era5.conv._3:JJUC	MOBILE	0-20999-0-3:JJUC	 	57	3:JJUC	 	 	 	 	 	nan	nan	 	196710	196710	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
57	era5.conv._3:FOXI	MOBILE	0-20999-0-3:FOXI	 	58	3:FOXI	 	 	 	 	 	nan	nan	 	196709	196709	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
58	era5.conv._3:GBQE	MOBILE	0-20999-0-3:GBQE	 	59	3:GBQE	 	 	 	 	 	nan	nan	 	196410	196410	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
59	era5.conv._3:FNTR	MOBILE	0-20999-0-3:FNTR	 	60	3:FNTR	 	 	 	 	 	nan	nan	 	196707	196707	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
60	era5.conv._3:URHA	MOBILE	0-20999-0-3:URHA	 	61	3:URHA	 	 	 	 	 	nan	nan	 	196704	196704	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
61	era5.conv._3:KHTW	MOBILE	0-20999-0-3:KHTW	 	62	3:KHTW	 	 	 	 	 	nan	nan	 	196607	196607	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
62	era5.conv._3:FNFV	MOBILE	0-20999-0-3:FNFV	 	63	3:FNFV	 	 	 	 	 	nan	nan	 	196702	196702	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
63	era5.conv._3:0M1N	MOBILE	0-20999-0-3:0M1N	 	64	3:0M1N	 	 	 	 	 	nan	nan	 	196307	196307	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
64	era5.conv._3:PDFE	MOBILE	0-20999-0-3:PDFE	 	65	3:PDFE	 	 	 	 	 	nan	nan	 	196712	196712	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
65	era5.conv._3:HSFL	MOBILE	0-20999-0-3:HSFL	 	66	3:HSFL	 	 	 	 	 	nan	nan	 	196702	196702	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
66	era5.conv._3:JNJY	MOBILE	0-20999-0-3:JNJY	 	67	3:JNJY	 	 	 	 	 	nan	nan	 	196710	196710	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
67	era5.conv._3:GCNA	MOBILE	0-20999-0-3:GCNA	 	68	3:GCNA	 	 	 	 	 	nan	nan	 	196707	196707	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
68	era5.conv._3:GBZC	MOBILE	0-20999-0-3:GBZC	 	69	3:GBZC	 	 	 	 	 	nan	nan	 	196702	196702	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
69	era5.conv._3:FOCZ	MOBILE	0-20999-0-3:FOCZ	 	70	3:FOCZ	 	 	 	 	 	nan	nan	 	196407	196407	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
70	era5.conv._3:UVYY	MOBILE	0-20999-0-3:UVYY	 	71	3:UVYY	 	 	 	 	 	nan	nan	 	196605	196605	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
71	era5.conv._3:DAPO	MOBILE	0-20999-0-3:DAPO	 	72	3:DAPO	 	 	 	 	 	nan	nan	 	196402	196402	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
72	era5.conv._3:KQTT	MOBILE	0-20999-0-3:KQTT	 	73	3:KQTT	 	 	 	 	 	nan	nan	 	196405	196405	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
73	era5.conv._3:KKRC	MOBILE	0-20999-0-3:KKRC	 	74	3:KKRC	 	 	 	 	 	nan	nan	 	196703	196703	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
