	file	kind	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
0	era5.conv._6:100954	ORPHAN	0-20888-0-6:100954	 	1	6:100954	 	 	 	 	 	95.4	-28.5	 	19710720	19710720	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[85, 117]	 	 	 	 	 	 	 	 
1	era5.conv._6:103584	ORPHAN	0-20888-0-6:103584	 	2	6:103584	 	 	 	 	 	-19.5	49.1	 	19711009	19711009	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[38, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
2	era5.conv._6:100844	ORPHAN	0-20888-0-6:100844	 	3	6:100844	 	 	 	 	 	84.4	-62.3	 	19710307	19710307	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[38, 85, 117]	 	 	 	 	 	 	 	 
3	era5.conv._6:102317	ORPHAN	0-20888-0-6:102317	 	4	6:102317	 	 	 	 	 	108.3	2.8	 	19720704	19720704	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[85, 117]	 	 	 	 	 	 	 	 
4	era5.conv._10401	ORPHAN	0-20888-0-10401	 	5	10401	 	 	 	 	 	4.0	66.4	 	19711104	19711104	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
5	era5.conv._10066	ORPHAN	0-20888-0-10066	 	6	10066	 	 	 	 	 	-66.6	36.1	 	19710523	19710523	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
6	era5.conv._6:102933	ORPHAN	0-20888-0-6:102933	 	7	6:102933	 	 	 	 	 	-128.3	29.2	 	19730226	19730226	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[38, 85]	 	 	 	 	 	 	 	 
7	era5.conv._6:109777	ORPHAN	0-20888-0-6:109777	 	8	6:109777	 	 	 	 	 	-146.3	52.6	 	19710218	19710322	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[38, 85, 117]	 	 	 	 	 	 	 	 
8	era5.conv._6:108320	ORPHAN	0-20888-0-6:108320	 	9	6:108320	 	 	 	 	 	-20.0,-20.0	52.4,52.2	 	19710819	19711026	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[38, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
9	era5.conv._10924	ORPHAN	0-20888-0-10924	 	10	10924	 	 	 	 	 	-37.5	24.5	 	19730228	19730228	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
10	era5.conv._6:106240	ORPHAN	0-20888-0-6:106240	 	11	6:106240	 	 	 	 	 	-170.8	44.6	 	19730530	19730530	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[38, 85]	 	 	 	 	 	 	 	 
11	era5.conv._6:100414	ORPHAN	0-20888-0-6:100414	 	12	6:100414	 	 	 	 	 	-41.4	43.8	 	19710419	19710419	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[38, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
12	era5.conv._10828	COORDINATE_ISSUES	0-20666-0-10828	 	13	10828	 	 	 	 	 			 	19710415	19710503	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
13	era5.conv._6:101267	MATCHING_ID_NONMATCHING_COORD	0-20777-0-6:101267	 	14	6:101267	 	 	 	 	 	[126.7, 126.7]	[20.0, 20.0]	 	19710724	19710724	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[38, 85]	 	 	 	 	 	 	 	 
14	era5.conv._10155	ORPHAN	0-20888-0-10155	 	15	10155	 	 	 	 	 	-155.8	-31.6	 	19710722	19710722	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
15	era5.conv._62681	ORPHAN	0-20888-0-62681	 	16	62681	 	 	 	 	 	36.1	17.6	 	19740825	19740825	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
16	era5.conv._6:109388	ORPHAN	0-20888-0-6:109388	 	17	6:109388	 	 	 	 	 	-12.3	38.8	 	19710915	19710915	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[38, 85, 104, 105, 106, 107]	 	 	 	 	 	 	 	 
17	era5.conv._6:101736	ORPHAN	0-20888-0-6:101736	 	18	6:101736	 	 	 	 	 	-173.6	-35.4	 	19710724	19710724	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[38, 85]	 	 	 	 	 	 	 	 
18	era5.conv._10011	ORPHAN	0-20888-0-10011	 	19	10011	 	 	 	 	 	-11.7	36.0	 	19710920	19710920	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
19	era5.conv._6:100439	ORPHAN	0-20888-0-6:100439	 	20	6:100439	 	 	 	 	 	-43.9	25.7	 	19710421	19710421	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[38, 85, 117]	 	 	 	 	 	 	 	 
20	era5.conv._6:103650	ORPHAN	0-20888-0-6:103650	 	21	6:103650	 	 	 	 	 	105.6	3.6	 	19730507	19730507	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[38, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
21	era5.conv._6:106533	ORPHAN	0-20888-0-6:106533	 	22	6:106533	 	 	 	 	 	135.0	27.8	 	19710727	19710727	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[38, 85]	 	 	 	 	 	 	 	 
22	era5.conv._6:100797	ORPHAN	0-20888-0-6:100797	 	23	6:100797	 	 	 	 	 	79.7	-38.5	 	19710731	19710731	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[38, 85, 117]	 	 	 	 	 	 	 	 
23	era5.conv._6:101000	ORPHAN	0-20888-0-6:101000	 	24	6:101000	 	 	 	 	 	100.0	-36.4	 	19711012	19711022	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[38, 85, 117]	 	 	 	 	 	 	 	 
24	era5.conv._6:106269	ORPHAN	0-20888-0-6:106269	 	25	6:106269	 	 	 	 	 	109.3	16.9	 	19730115	19730115	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[38, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
25	era5.conv._6:100977	ORPHAN	0-20888-0-6:100977	 	26	6:100977	 	 	 	 	 	97.7	-37.1	 	19710715	19710715	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[38, 85, 117]	 	 	 	 	 	 	 	 
26	era5.conv._9:4172	ORPHAN	0-20888-0-9:4172	 	27	9:4172	 	 	 	 	 	32.0	61.67	 	19440623	19440701	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[85, 117]	 	 	 	 	 	 	 	 
27	era5.conv._10088	ORPHAN	0-20888-0-10088	 	28	10088	 	 	 	 	 	-88.6	85.3	 	19710405	19710405	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
28	era5.conv._6:101651	MATCHING_ID_NONMATCHING_COORD	0-20777-0-6:101651	 	29	6:101651	 	 	 	 	 	[165.1, 165.1]	[-25.6, -25.6]	 	19710710	19710710	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[38, 85, 117]	 	 	 	 	 	 	 	 
29	era5.conv._1:35756	ORPHAN	0-20888-0-1:35756	 	30	1:35756	 	 	 	 	 	64.67	46.88	 	19760310	19771113	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[38, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
30	era5.conv._6:100241	ORPHAN	0-20888-0-6:100241	 	31	6:100241	 	 	 	 	 	147.0	-18.8	 	19710829	19710829	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[38, 85, 117]	 	 	 	 	 	 	 	 
31	era5.conv._2:83508	ORPHAN	0-20888-0-2:83508	 	32	2:83508	 	 	 	 	 	151.8	32.8	 	19420903	19430113	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107]	 	 	 	 	 	 	 	 
32	era5.conv._6:109034	ORPHAN	0-20888-0-6:109034	 	33	6:109034	 	 	 	 	 	144.2	80.2	 	19710113	19710113	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[38, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
33	era5.conv._9:3783	ORPHAN	0-20888-0-9:3783	 	34	9:3783	 	 	 	 	 	148.58	76.65	 	19570202	19570618	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[85, 117]	 	 	 	 	 	 	 	 
34	era5.conv._10069	ORPHAN	0-20888-0-10069	 	35	10069	 	 	 	 	 	-69.8	37.1	 	19710920	19710920	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
35	era5.conv._6:101723	ORPHAN	0-20888-0-6:101723	 	36	6:101723	 	 	 	 	 	148.9	-38.1	 	19720618	19720618	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[38, 85, 117]	 	 	 	 	 	 	 	 
36	era5.conv._10019	COORDINATE_ISSUES	0-20666-0-10019	 	37	10019	 	 	 	 	 			 	19710417	19731002	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
37	era5.conv._2:81407	ORPHAN	0-20888-0-2:81407	 	38	2:81407	 	 	 	 	 	146.85	19.77	 	19421012	19430322	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107]	 	 	 	 	 	 	 	 
38	era5.conv._10525	COORDINATE_ISSUES	0-20666-0-10525	 	39	10525	 	 	 	 	 			 	19710602	19711021	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
39	era5.conv._10094	ORPHAN	0-20888-0-10094	 	40	10094	 	 	 	 	 	94.8	-57.8	 	19711007	19711007	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
40	era5.conv._10494	COORDINATE_ISSUES	0-20666-0-10494	 	41	10494	 	 	 	 	 			 	19710503	19711121	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
41	era5.conv._6:101101	ORPHAN	0-20888-0-6:101101	 	42	6:101101	 	 	 	 	 	110.1	-60.1	 	19710908	19711127	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[38, 85, 117]	 	 	 	 	 	 	 	 
42	era5.conv._6:101377	ORPHAN	0-20888-0-6:101377	 	43	6:101377	 	 	 	 	 	137.7	-10.7	 	19710901	19710901	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[38, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
43	era5.conv._6:108425	COORDINATE_ISSUES	0-20666-0-6:108425	 	44	6:108425	 	 	 	 	 			 	19710503	19711006	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[38, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
44	era5.conv._6:100183	ORPHAN	0-20888-0-6:100183	 	45	6:100183	 	 	 	 	 	-18.3	58.5	 	19711102	19711124	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[38, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
45	era5.conv._10104	ORPHAN	0-20888-0-10104	 	46	10104	 	 	 	 	 	104.9	-53.9	 	19711121	19711124	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
46	era5.conv._10230	ORPHAN	0-20888-0-10230	 	47	10230	 	 	 	 	 	101.6	-30.8	 	19720623	19720623	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
47	era5.conv._6:100017	COORDINATE_ISSUES	0-20666-0-6:100017	 	48	6:100017	 	 	 	 	 			 	19710622	19710712	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[38, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
48	era5.conv._6:101502	COORDINATE_ISSUES	0-20666-0-6:101502	 	49	6:101502	 	 	 	 	 			 	19720815	19721014	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[38, 85, 117]	 	 	 	 	 	 	 	 
49	era5.conv._10159	ORPHAN	0-20888-0-10159	 	50	10159	 	 	 	 	 	-66.8	39.2	 	19710415	19710415	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
50	era5.conv._2:81604	ORPHAN	0-20888-0-2:81604	 	51	2:81604	 	 	 	 	 	168.3	17.68	 	19450101	19450831	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107]	 	 	 	 	 	 	 	 
51	era5.conv._6:100890	ORPHAN	0-20888-0-6:100890	 	52	6:100890	 	 	 	 	 	-89.0	85.3	 	19710404	19710404	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[38, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
52	era5.conv._10415	ORPHAN	0-20888-0-10415	 	53	10415	 	 	 	 	 	-45.0	15.0	 	19720728	19720728	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
53	era5.conv._1:89175	COORDINATE_ISSUES	0-20666-0-1:89175	 	54	1:89175	 	 	 	 	 			 	19691113	19711212	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107]	 	 	 	 	 	 	 	 
54	era5.conv._6:100479	ORPHAN	0-20888-0-6:100479	 	55	6:100479	 	 	 	 	 	-47.9	54.1	 	19710923	19710923	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[38, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
55	era5.conv._57298	ORPHAN	0-20888-0-57298	 	56	57298	 	 	 	 	 	114.53	32.22	 	19771004	19781114	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
56	era5.conv._6:109779	ORPHAN	0-20888-0-6:109779	 	57	6:109779	 	 	 	 	 	-160.0	37.0	 	19710225	19710225	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[38, 85, 117]	 	 	 	 	 	 	 	 
57	era5.conv._12701	ORPHAN	0-20888-0-12701	 	58	12701	 	 	 	 	 	-178.7	40.0	 	19771025	19771031	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
