	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	distance_km	distance_km_minusLat	city_dist_km	elevation	file
0	0-20000-0-62615	0	1	62615	3	HALIB			0	36.65	22.216666666666665		19740727	19740727	1	0	63	NMS	64	Jiddah									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	5.5		271.1	2.0	era5.conv._62615
1	0-20300-0-99014	0	2	JRYI	3	OCEAN WEATHER SHIP I			0	-19.0	59.0		19651029	19651029	1	0	63	NMS	108	None									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	17.2		None	0.0	era5.conv._JRYI
2	0-20000-0-36535	0	3	36358	3	KOKPEKTY			0	82.36666666666666	48.75		19680105	19680430	1	0	63	NMS	124	Serebryansk									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	29.5		96.0	512.0	era5.conv._36358
3	0-20000-0-64452	0	4	64452	3	M'POUYA			0	16.216666666666665	-2.6166666666666667		19740712	19740901	1	0	63	NMS	39	Bolobo									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	2.6		48.1	313.0	era5.conv._64452
4	0-20000-0-56671	0	5	56671	3	HUILI			0	102.25	26.65		19730120	19730218	1	0	63	NMS	47	Panzhihua									[104, 105, 106, 107, 117]							L.Haimberger	0	3.3		56.2	1788.0	era5.conv._56671
5	0-20000-0-96253	0	6	96103	3	BENGKULU/PADANG KEMILING			0	102.33333333333331	-3.883333333333333		19781220	19781220	1	0	63	NMS	100	Bengkulu									[104, 105, 106, 107, 117]							L.Haimberger	0	0.5		11.3	16.0	era5.conv._96103
6	0-20000-0-94393	0	7	6:100800	3	FREDERICK REEF			0	154.40194444444444	-20.9375		19720508	19720508	1	0	63	NMS	13	Yeppoon									[38, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	4.2		450.8	12.8	era5.conv._6:100800
7	0-20300-0-99021	0	8	0X3P	3	OCEAN WEATHER SHIP P			0	-145.0	50.0		19661019	19661019	1	0	63	NMS	231	None									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.0		None	0.0	era5.conv._0X3P
8	0-246-0-101826	0	9	GHYL	3	SUOMUSSALMI PESIO			0	28.746666666666663	64.93138888888889		19690722	19690722	1	0	63	NMS	69	Kostomuksha									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	8.1		94.1	225.2	era5.conv._GHYL
9	0-20300-0-99016	0	10	3:LYK	3	OCEAN WEATHER SHIP K			0	-16.0	45.0		19650829	19650829	1	0	63	NMS	67	None									[38, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	19.3		None	0.0	era5.conv._3:LYK
10	0-20000-0-64056	0	11	64056	3	BAFWASENDE			0	27.133333333333333	1.0833333333333333		19740625	19740813	1	0	63	NMS	39	Wamba									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	4.1		153.3	524.0	era5.conv._64056
11	0-20000-0-83220	0	12	83220	3	RIO XINGU			0	-53.4	-12.0		19740806	19740906	1	0	63	NMS	30	Alta Floresta									[104, 105, 106, 107, 117]							L.Haimberger	0	0.0		358.6		era5.conv._83220
12	0-20300-0-99016	0	13	0X1P	3	OCEAN WEATHER SHIP K			0	-16.0	45.0		19660806	19660806	1	0	63	NMS	67	None									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.0		None	0.0	era5.conv._0X1P
13	0-20000-0-65465	0	14	65465	3	AXIM			0	-2.2333333333333334	4.866666666666667		19740713	19740922	1	0	63	NMS	81	Axim									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	5.2		5.8	37.8	era5.conv._65465
14	0-20300-0-99007	0	15	3:02J	3	OCEAN WEATHER SHIP B			0	-51.0	56.5		19660620	19660620	1	0	63	NMS	83	None									[38, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.0		None	0.0	era5.conv._3:02J
15	0-20300-0-99027	0	16	0X1	3	OCEAN WEATHER SHIP V			0	164.0	34.0		19660724	19660724	1	0	63	NMS	190	None									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	14.4		None	0.0	era5.conv._0X1
16	0-20000-0-30710	0	17	30718	3	IRKUTSK (30710-0)			0	104.31666666666666	52.266666666666666		19740315	19740426	1	0	63	NMS	190	Shelekhov									[104, 105, 106, 107, 117]							L.Haimberger	0	8.2		7.9	469.1	era5.conv._30718
17	0-20300-0-99006	0	18	JRYA	3	OCEAN WEATHER SHIP A			0	-33.0	62.0		19650214	19650214	1	0	63	NMS	83	None									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	27.2		None	0.0	era5.conv._JRYA
18	0-20300-0-99027	0	19	0X14	3	OCEAN WEATHER SHIP V			0	164.0	34.0		19660718	19660718	1	0	63	NMS	190	None									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.0		None	0.0	era5.conv._0X14
19	0-20300-0-99015	0	20	6:100202	3	OCEAN WEATHER SHIP J			0	-20.0	52.5		19711030	19711030	1	0	63	NMS	101	None									[38, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	17.6		None	0.0	era5.conv._6:100202
20	0-20000-0-65507	0	21	65507	3	FADA N'GOURMA			0	0.35	12.066666666666666		19740616	19740616	1	0	63	NMS	21	Ouargaye									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	6.6		75.8	292.0	era5.conv._65507
21	0-20300-0-99016	0	22	0X5A	3	OCEAN WEATHER SHIP K			0	-16.0	45.0		19660418	19660418	1	0	63	NMS	67	None									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	11.1		None	0.0	era5.conv._0X5A
22	0-20000-0-91533	0	23	2:80606	3	BANABA			0	169.53333333333333	-0.9		19650416	19650730	1	0	63	NMS	168	Bairiki									[38, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	6.2		447.9	66.0	era5.conv._2:80606
23	0-20000-0-62762	0	24	62762	3	SENNAR			0	33.61666666666667	13.55		19740918	19740918	1	0	63	NMS	195	Sinnar									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	5.8		6.6	418.0	era5.conv._62762
24	0-20001-0-01004	0	25	3:GATT	3	NY-ALESUND II			0	11.922222222222222	78.92333333333333		19670411	19670411	1	0	63	NMS	166	None									[38, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	20.6		None		era5.conv._3:GATT
25	0-20000-0-83437	0	26	83437	3	MONTES CLAROS (83437-0)			0	-43.86666666666667	-16.716666666666665		19740927	19780320	1	0	63	NMS	30	Montes Claros									[104, 105, 106, 107, 117]							L.Haimberger	0	1.5		1.5	646.0	era5.conv._83437
26	0-20000-0-61721	0	27	61721	3	JANJANGBUREH (GEORGETOWN)			0	-14.76888888888889	13.539166666666668		19740721	19740721	1	0	63	NMS	84	Kuntaur									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	5.5		18.1		era5.conv._61721
27	0-20000-0-67641	0	28	67641	3	KAOMA			0	24.8	-14.8		19740802	19740916	1	0	63	NMS	247	Kaoma									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.0		1.8	1213.0	era5.conv._67641
28	0-20000-0-28445	0	29	28445	3	EKATERINBURG (VERHNEE DUBROVO)			0	61.06666666666667	56.73333333333333		19571211	19571211	1	0	63	NMS	190	Aramil									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.4		14.7	287.72	era5.conv._28445
29	0-20000-0-61698	0	30	61698	3	KOLDA			0	-14.97	12.88		19740618	19740618	1	0	63	NMS	204	Kolda									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	3.9		5.7	8.38	era5.conv._61698
30	0-20300-0-99008	0	31	3:YYC	3	OCEAN WEATHER SHIP C			0	-35.5	52.75		19640509	19640509	1	0	63	NMS	83	None									[38, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	5.6		None	0.0	era5.conv._3:YYC
31	0-20000-0-30385	0	32	30385	3	UST'-NJUKZHA			0	121.5	56.583333333333336		19781229	19781229	1	0	63	NMS	190	Neryungri									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	1.3		194.8	425.6	era5.conv._30385
32	0-20300-0-99010	0	33	6:101348	3	OCEAN WEATHER SHIP E			0	-48.0	35.0		19711111	19711111	1	0	63	NMS	37	None									[38, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	11.1		None	0.0	era5.conv._6:101348
33	0-20000-0-48432	0	34	48432	3	SURIN			0	103.49944444444444	14.873888888888889		19771110	19771117	1	0	63	NMS	216	Surin									[104, 105, 106, 107, 117]							L.Haimberger	0	0.7		0.7	147.36	era5.conv._48432
34	0-20000-0-82240	0	35	82240	3	PARINTINS (82240-0)			0	-56.73333333333333	-2.6333333333333333		19740706	19740706	1	0	63	NMS	30	Parintins									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	5.2		3.7	29.0	era5.conv._82240
35	0-20300-0-99018	0	36	6:100022	3	OCEAN WEATHER SHIP M			0	2.0	66.0		19710415	19710725	1	0	63	NMS	166	Molde									[38, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	9.1		454.5	0.0	era5.conv._6:100022
36	0-20300-0-99009	0	37	6:100407	3	OCEAN WEATHER SHIP D			0	-41.0	44.0		19710513	19711119	1	0	63	NMS	37	None									[38, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	24.1		None	0.0	era5.conv._6:100407
37	0-20300-0-99009	0	38	0X1V	3	OCEAN WEATHER SHIP D			0	-41.0	44.0		19660818	19660818	1	0	63	NMS	37	None									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.0		None	0.0	era5.conv._0X1V
38	0-20300-0-99007	0	39	0X4G	3	OCEAN WEATHER SHIP B			0	-51.0	56.5		19660412	19660412	1	0	63	NMS	83	None									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.0		None	0.0	era5.conv._0X4G
39	0-20000-0-64659	0	40	64659	3	OBO			0	26.5	5.4		19740712	19740918	1	0	63	NMS	40	Obo									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.0		0.0	651.0	era5.conv._64659
40	0-20000-0-70272	0	41	3:EDDL	3	ANCHORAGE/ELMENDORF AFB			0	-149.8	61.25		19670120	19670120	1	0	63	NMS	231	Anchorage									[117]							L.Haimberger	0	29.8		31.9	59.0	era5.conv._3:EDDL
41	0-20000-0-34737	0	42	34737	3	KUSHCHEVSKAJA			0	39.61666666666667	46.53333333333333		19781204	19781204	1	0	63	NMS	190	Kushchevskaya									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	4.2		1.1	21.71	era5.conv._34737
42	0-20300-0-99016	0	43	QMW	3	OCEAN WEATHER SHIP K			0	-16.0	45.0		19640502	19640502	1	0	63	NMS	67	None									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	19.3		None	0.0	era5.conv._QMW
43	0-20400-0-5977	0	44	C:5977	3	Abu Halfa			0	32.77	17.72		19470105	19510702	1	0	63	NMS	195	Marawi									[104, 105, 106, 107]							L.Haimberger	0	0.0		131.6	422.0	era5.conv._C:5977
44	0-20000-0-32088	0	45	3:UAJD	3	UGLEGORSK			0	142.03333333333333	49.06666666666667		19661004	19661004	1	0	63	NMS	190	Uglegorsk									[38, 85, 117]							L.Haimberger	0	15.0		13.2	43.0	era5.conv._3:UAJD
45	0-20300-0-99008	0	46	3:03H	3	OCEAN WEATHER SHIP C			0	-35.5	52.75		19660429	19660429	1	0	63	NMS	83	None									[38, 85, 117]							L.Haimberger	0	5.6		None	0.0	era5.conv._3:03H
46	0-20300-0-99009	0	47	3:03C	3	OCEAN WEATHER SHIP D			0	-41.0	44.0		19660412	19660412	1	0	63	NMS	37	None									[117]							L.Haimberger	0	11.1		None	0.0	era5.conv._3:03C
47	0-20300-0-99008	0	48	YYC	3	OCEAN WEATHER SHIP C			0	-35.5	52.75		19640509	19640509	1	0	63	NMS	83	None									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	5.6		None	0.0	era5.conv._YYC
48	0-20300-0-99009	0	49	0X1S	3	OCEAN WEATHER SHIP D			0	-41.0	44.0		19660806	19660806	1	0	63	NMS	37	None									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.0		None	0.0	era5.conv._0X1S
49	0-20300-0-99006	0	50	6:100328	3	OCEAN WEATHER SHIP A			0	-33.0	62.0		19710712	19710712	1	0	63	NMS	83	None									[38, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	15.3		None	0.0	era5.conv._6:100328
50	0-20400-0-5492	0	51	9:3354	3	Abisko			0	18.8	68.26		19410222	19410302	1	0	63	NMS	196	Narvik									[85, 117]							L.Haimberger	0	0.0		59.5	498.0	era5.conv._9:3354
51	0-20300-0-99008	0	52	3:058	3	OCEAN WEATHER SHIP C			0	-35.5	52.75		19660418	19660418	1	0	63	NMS	83	None									[38, 85, 117]							L.Haimberger	0	5.6		None	0.0	era5.conv._3:058
52	0-20300-0-99006	0	53	0X0K	3	OCEAN WEATHER SHIP A			0	-33.0	62.0		19660820	19660820	1	0	63	NMS	83	None									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	12.3		None	0.0	era5.conv._0X0K
53	0-20300-0-99008	0	54	0X7C	3	OCEAN WEATHER SHIP C			0	-35.5	52.75		19661113	19661113	1	0	63	NMS	83	None									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	5.6		None	0.0	era5.conv._0X7C
