	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
0	0-20000-0-38987	0	1	5194	3	SERKHETABAT			0	62.35	35.28333333333333		1925-04-15	1928-11-15	1	0	63	NMS	220	Herat									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
1	0-20400-0-5043	0	2	5043	3	Apia			0	-171.78	-13.3		1925-08-17	1928-03-31	1	0	63	NMS	241	Apia									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
2	0-20000-0-27199	0	3	5385	3	KIROV (27199-0)			0	49.56666666666667	58.56666666666667		1920-02-18	1934-06-23	1	0	63	NMS	190	Kirov									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
3	0-20000-0-41256	0	4	4862	3	MUSCAT INT'L AIRPORT			0	58.26138888888889	23.608611111111117		1927-09-23	1927-11-29	1	0	63	NMS	171	Ruwi									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
4	0-20000-0-23330	0	5	4584	3	SALEHARD			0	66.67444444444445	66.53194444444445		1954-04-19	1954-09-22	1	0	63	NMS	190	Salekhard									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
5	0-20000-0-67241	0	6	5856	3	LUMBO			0	40.66666666666666	-15.033333333333331		1961-01-02	1968-11-29	1	0	63	NMS	158	Mocambique									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
6	0-246-0-101004	0	7	4987	3	HELSINKI KUMPULA			0	24.961388888888887	60.20305555555556		1911-01-02	1914-07-31	1	0	63	NMS	69	Helsinki									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
7	0-20000-0-20292	0	8	4569	3	GMO IM.E.K. FEDOROVA			0	104.29194444444444	77.71305555555556		1954-04-19	1954-09-22	1	0	63	NMS	190	None									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
8	0-20000-0-20353	0	9	4709	3	MYS ZELANIYA			0	68.55	76.95		1921-05-25	1948-06-27	1	0	63	NMS	190	None									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
9	0-20300-0-20047	0	10	4766	3	BUKHTA TIKHAYA/GUKER IS.			0	52.8	80.45		1926-05-27	1955-04-22	1	0	63	NMS	190	None									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
10	0-20400-0-5492	0	11	5492	3	Abisko			0	18.8	68.26		1907-03-05	1934-08-20	1	0	63	NMS	196	Narvik									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
11	0-20000-0-38616	0	12	4678	3	KARA-SUU			0	72.9	40.7		1923-05-16	1957-09-27	1	0	63	NMS	233	Andijon									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
12	0-20400-0-4817	0	13	4818	3	Shirati			0	34.03	-1.15		1908-08-18	1935-11-30	1	0	63	NMS	227	Tarime									['126', '137', '106', '107', '137', '138', '139', '140', '117']							L.Haimberger	0
