	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	distance_km	distance_km_minusLat	city_dist_km	elevation	file	inventory
0	0-20000-0-23383	0	1	23383	3	AGATA			0	93.4925	66.92611111111111		1962-03-09	1962-07-21	1	0	63	NMS	190	None									['126', '137', '106', '107', '117']							L.Haimberger	0	14.8		None	278.32	23383_stationfile.csv	OSCAR
1	0-20000-0-22235	0	2	22235	3	KRASNOSCEL'E			0	37.05083333333333	67.35055555555554		1992-03-08	1992-03-08	1	0	63	NMS	190	Kirovsk									['126', '137', '106', '107', '117']							L.Haimberger	0	2.3		146.0	157.2	22235_stationfile.csv	OSCAR
2	0-20000-0-22408	0	3	22408	3	KALEVALA			0	31.15	65.21666666666667		1962-08-20	1962-12-08	1	0	63	NMS	190	Kostomuksha									['126', '137', '106', '107', '117']							L.Haimberger	0	3.0		58.8	120.0	22408_stationfile.csv	OSCAR
3	0-20000-0-25248	0	4	25248	3	ILIRNEJ			0	167.96666666666667	67.25		1971-02-25	1971-06-25	1	0	63	NMS	190	None									['126', '137', '106', '107', '117']							L.Haimberger	0	11.5		None	353.7	25248_stationfile.csv	OSCAR
4	0-20111-0-21825	0	5	21825	3	OSTROV MOSTAKH 			0	129.92	71.53		1987-04-10	1990-12-22	1	0	63	NMS	190	None									['126', '137', '106', '107', '117']							L.Haimberger	0	0.0		None	-999.0	21825_stationfile.csv	HARA
5	0-20000-0-21908	0	6	21908	3	DZALINDA (21908-0)			0	113.96666666666668	70.13333333333334		1981-01-09	1991-03-19	1	0	63	NMS	190	Udachnyy									['126', '137', '106', '107', '117']							L.Haimberger	0	0.4		419.2	61.85	21908_stationfile.csv	OSCAR
6	0-20111-0-22205	0	7	22205	3	ENA			0	31.17	67.6		1986-10-31	1993-09-15	1	0	63	NMS	190	Kovdor									['126', '137', '106', '107', '117']							L.Haimberger	0	0.0		29.8	-999.0	22205_stationfile.csv	HARA
7	0-20000-0-04231	0	8	4231	3	MITTARFIK KANGERLUSSUAQ (SDR. STROEMFJORD LUFTHAVN)			0	-50.71666666666667	67.01666666666667		1962-04-30	1992-10-14	1	0	63	NMS	83	None									['126', '137', '106', '107', '117']							L.Haimberger	0	4.1		None	53.0	04231_stationfile.csv	OSCAR
8	0-20000-0-04330	0	9	4330	3	DANEBORG			0	-20.216944444444444	74.30749999999999		1968-03-04	1970-08-22	1	0	63	NMS	83	None									['126', '137', '106', '107', '117']							L.Haimberger	0	1.0		None	15.0	04330_stationfile.csv	OSCAR
9	0-20111-0-04230	0	10	4230	3	HOLSTEINBORG			0	-53.67	66.92		1963-03-03	1971-08-02	1	0	63	NMS	83	None									['126', '137', '106', '107', '117']							L.Haimberger	0	2.6		None	-999.0	04230_stationfile.csv	HARA
