	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	distance_km	distance_km_minusLat	city_dist_km	elevation	file
0	0-20300-0-89051	0	1	89051	3	PETREL NAS			0	-56.2833	-63.4667		1969	1972	1	0	63	NMS	71	None									['85', '38', '106', '107']							L.Haimberger	0	0.0		None	18.0	AYM00089051
1	0-20000-0-94975	0	2	94975	3	HOBART AIRPORT			0	147.50333333333333	-42.83388888888889		1953	2021	1	0	63	NMS	13	Hobart									['85', '38', '106', '107']							L.Haimberger	0	0.0		15.1	27.4	ASM00094975
2	0-20000-0-89625	0	3	89625	3	CONCORDIA			0	123.41194444444444	-75.10166666666666		2006	2021	1	0	63	NMS	9	None									['85', '38', '106', '107']							L.Haimberger	0	0.0		None	3234.0	AYM00089625
3	0-20000-0-60640	0	4	60640	3	ILLIZI			0	8.416666666666666	26.5		1973	1986	1	0	63	NMS	61	Gat									['85', '38', '106', '107']							L.Haimberger	0	0.0		244.9	541.0	AGM00060640
4	0-20000-0-94238	0	5	94238	3	TENNANT CREEK AIRPORT			0	134.18333333333334	-19.642222222222223		1969	2012	1	0	63	NMS	13	Alice Springs									['85', '38', '106', '107']							L.Haimberger	0	0.0		450.1	377.1	ASM00094238
5	0-20000-0-94403	0	6	94403	3	GERALDTON AIRPORT			0	114.69888888888887	-28.80444444444445		1950	2021	1	0	63	NMS	13	Geraldton									['85', '38', '106', '107']							L.Haimberger	0	0.0		8.7	30.2	ASM00094403
6	0-20300-0-51848	0	7	51848	3	ANDIR			0	83.65	37.93		1979	1998	1	0	63	NMS	47	Kuche									['85', '38', '106', '107']							L.Haimberger	0	0.0		426.1	1264.0	CHM00051848
7	0-20000-0-94711	0	8	94711	3	COBAR MO			0	145.82944444444445	-31.483888888888888		1962	2021	1	0	63	NMS	13	Dubbo									['85', '38', '106', '107']							L.Haimberger	0	0.0		275.8	263.6	ASM00094711
8	0-20001-0-71925	0	9	71925	3	CAMBRIDGE BAY UA, NU			0	-105.06666666666666	69.13333333333334		1962	2021	1	0	63	NMS	37	None									['85', '38', '106', '107']							L.Haimberger	0	0.0		None		CAM00071925
9	0-20000-0-66160	0	10	66160	3	LUANDA			0	13.233333333333333	-8.85		1948	1993	1	0	63	NMS	8	Luanda									['85', '38', '106', '107']							L.Haimberger	0	0.0		1.5	74.0	AOM00066160
10	0-20000-0-71866	0	11	71866	3	SASKATOON DIEFENBAKER INT'L A, SASK			0	-106.71666666666668	52.16666666666666		1994	1998	1	0	63	NMS	37	Saskatoon									['85', '38', '106', '107']							L.Haimberger	0	0.0		5.1	504.1	CAM00071866
11	0-20000-0-82917	0	12	82917	3	RIO BRANCO (AERO)			0	-67.8	-10.0		2004	2021	1	0	63	NMS	30	Rio Branco									['85', '38', '106', '107']							L.Haimberger	0	0.0		3.7	143.0	BRM00082917
12	0-20000-0-71120	0	13	71120	3	CFB - COLD LAKE, ALTA			0	-110.28333333333332	54.41666666666666		1973	2019	1	0	63	NMS	37	Grand Centre									['85', '38', '106', '107']							L.Haimberger	0	0.0		4.4	541.0	CAM00071120
13	0-20000-0-85141	0	14	4838	3	RURRENABAQUE			0	-67.56666666666666	-14.466666666666669		1946	1946	1	0	63	NMS	29	Rurrenabaque									['85', '38', '106', '107']							L.Haimberger	0	4.4		4.4	204.0	BLXUAE04838
14	0-20000-0-82332	0	15	82332	3	MANAUS (AERO)			0	-59.98333333333333	-3.15		1967	2021	1	0	63	NMS	30	Manaus									['85', '38', '106', '107']							L.Haimberger	0	0.0		6.2	84.0	BRM00082332
15	0-20000-0-52836	0	16	52836	3	DOULAN			0	98.1	36.3		1956	2021	1	0	63	NMS	47	Xining									['85', '38', '106', '107']							L.Haimberger	0	0.0		330.5	3190.0	CHM00052836
16	0-20000-0-51334	0	17	51334	3	JINGHE (51334-0)			0	82.81666666666666	44.56666666666667		1973	1998	1	0	63	NMS	47	Yining									['85', '38', '106', '107']							L.Haimberger	0	8.7		155.4	330.2	CHM00051334
17	0-20000-0-78862	0	18	78861	3	VC BIRD INT'L AIRPORT ANTIGUA			0	-61.78333333333333	17.116666666666667		1947	1993	1	0	63	NMS	3	Sainte-Rose									['85', '38', '106', '107']							L.Haimberger	0	0.1		87.4	10.0	ACM00078861
18	0-20000-0-87623	0	19	87623	3	SANTA ROSA AERO			0	-64.28	-36.59305555555556		1965	2021	1	0	63	NMS	10	Santa Rosa									['85', '38', '106', '107']							L.Haimberger	0	3.2		5.7	191.0	ARM00087623
19	0-20000-0-56651	0	20	56651	3	LIJING			0	100.21666666666668	26.83333333333333		1964	2002	1	0	63	NMS	47	Dali									['85', '38', '106', '107']							L.Haimberger	0	4.1		129.4	2382.0	CHM00056651
20	0-20000-0-71271	0	21	4878	3	ATHABASCA AGCM, ALTA			0	-113.38194444444444	54.63472222222222		1933	1933	1	0	63	NMS	37	Edmonton									['85', '38', '106', '107']							L.Haimberger	0	3.7		119.6	635.0	CAXUAE04878
21	0-20000-0-64459	0	22	64459	3	IMPFONDO			0	18.066666666666663	1.6166666666666667		1973	1982	1	0	63	NMS	39	Impfondo									['85', '38', '106', '107']							L.Haimberger	0	0.1		2.3	327.0	CFM00064459
22	0-20300-0-53546	0	23	53546	3	CHASAKOCHI			0	109.75	39.283		1957	1962	1	0	63	NMS	47	Dongsheng									['85', '38', '106', '107']							L.Haimberger	0	0.0		62.3	1310.0	CHM00053546
23	0-20000-0-56080	0	24	56080	3	HEZUO			0	102.9	35.0		1960	2021	1	0	63	NMS	47	Linxia									['85', '38', '106', '107']							L.Haimberger	0	0.0		72.2	2910.0	CHM00056080
24	0-20000-0-64654	0	25	64654	3	N'DELE			0	20.65	8.4		1973	1987	1	0	63	NMS	40	Ndele									['85', '38', '106', '107']							L.Haimberger	0	0.0		1.1	511.0	CTM00064654
25	0-20000-0-89055	0	26	89055	3	BASE MARAMBIO			0	-56.625	-64.24138888888889		1982	2021	1	0	63	NMS	9	None									['85', '38', '106', '107']							L.Haimberger	0	4.5		None	200.0	AYM00089055
26	0-20001-0-71926	0	27	71926	3	BAKER LAKE UA, NU			0	-96.0	64.31666666666666		1949	2021	1	0	63	NMS	37	None									['85', '38', '106', '107']							L.Haimberger	0	0.0		None		CAM00071926
27	0-20000-0-64950	0	28	64950	3	YAOUNDE			0	11.516666666666667	3.8333333333333335		1953	1992	1	0	63	NMS	46	Yaounde									['85', '38', '106', '107']							L.Haimberger	0	0.1		3.7	760.0	CMM00064950
28	0-20000-0-89642	0	29	89642	3	DUMONT D'URVILLE			0	140.0011111111111	-66.66305555555556		1951	2021	1	0	63	NMS	13	None									['85', '38', '106', '107']							L.Haimberger	0	0.0		None	43.0	AYM00089642
29	0-20000-0-51886	0	30	51886	3	MANGNAI			0	90.85	38.25		1973	2002	1	0	63	NMS	47	Hami									['85', '38', '106', '107']							L.Haimberger	0	0.0		551.1	2945.0	CHM00051886
30	0-20000-0-57237	0	31	57237	3	WANYUAN			0	108.03333333333332	32.06666666666667		1973	1982	1	0	63	NMS	47	Daxian									['85', '38', '106', '107']							L.Haimberger	0	0.0		107.0	674.0	CHM00057237
31	0-20000-0-94995	0	32	94995	3	LORD HOWE ISLAND AERO			0	159.07861111111112	-31.542222222222225		1950	2021	1	0	63	NMS	13	None									['85', '38', '106', '107']							L.Haimberger	0	0.0		None	7.0	ASM00094995
32	0-20000-0-94430	0	33	94430	3	MEEKATHARRA AIRPORT			0	118.53722222222224	-26.613611111111112		1951	2021	1	0	63	NMS	13	Geraldton									['85', '38', '106', '107']							L.Haimberger	0	0.0		455.2	519.0	ASM00094430
33	0-20000-0-85365	0	34	4841	3	YACUIBA			0	-63.65	-21.95		1944	1946	1	0	63	NMS	29	Yacuiba									['85', '38', '106', '107']							L.Haimberger	0	9.4		0.5	645.0	BLXUAE04841
34	0-20000-0-82930	0	35	82930	3	CACHIMBO (AERO)			0	-54.96666666666667	-9.333333333333334		1973	1986	1	0	63	NMS	30	Alta Floresta									['85', '38', '106', '107']							L.Haimberger	0	0.1		120.1		BRM00082930
35	0-20000-0-94260	0	36	94259	3	BURKETOWN AIRPORT			0	139.53555555555556	-17.748333333333335		1987	1987	1	0	63	NMS	13	Mount Isa									['85', '38', '106', '107']							L.Haimberger	0	1.7		331.2	6.4	ASM00094259
36	0-20000-0-60656	0	37	60656	3	TINDOUF			0	-8.169166666666666	27.704166666666666		1973	2021	1	0	63	NMS	61	Tiznit									['85', '38', '106', '107']							L.Haimberger	0	0.5		269.1	449.0	AGM00060656
37	0-20001-0-71867	0	38	71867	3	THE PAS UA, MAN			0	-101.1	53.96666666666667		1954	2021	1	0	63	NMS	37	Thompson									['85', '38', '106', '107']							L.Haimberger	0	0.0		287.2		CAM00071867
38	0-20000-0-56691	0	39	56691	3	WEINING			0	104.28333333333332	26.866666666666667		1960	2021	1	0	63	NMS	47	Caohai									['85', '38', '106', '107']							L.Haimberger	0	0.0		5.3	2236.0	CHM00056691
39	0-20000-0-94461	0	40	94461	3	GILES METEOROLOGICAL OFFICE			0	128.3011111111111	-25.034166666666668		1956	2021	1	0	63	NMS	13	None									['85', '38', '106', '107']							L.Haimberger	0	0.0		None	599.0	ASM00094461
40	0-20000-0-58457	0	41	58457	3	HANGZHOU			0	120.16666666666669	30.23333333333333		1960	2021	1	0	63	NMS	47	Hangzhou									['85', '38', '106', '107']							L.Haimberger	0	0.0		6.7	43.0	CHM00058457
41	0-20000-0-66285	0	42	66285	3	LUENA (LUSO)			0	19.916666666666668	-11.783333333333331		1952	1975	1	0	63	NMS	8	Luena									['85', '38', '106', '107']							L.Haimberger	0	0.1		0.1	1357.0	AOM00066285
42	0-20000-0-51379	0	43	51379	3	QITAI			0	89.56666666666666	44.016666666666666		1973	1998	1	0	63	NMS	47	Urumqi									['85', '38', '106', '107']							L.Haimberger	0	0.0		159.8	795.0	CHM00051379
43	0-20300-0-51895	0	44	51895	3	MANGYA			0	91.65	37.85		1957	1961	1	0	63	NMS	47	Hami									['85', '38', '106', '107']							L.Haimberger	0	0.0		570.5	3060.0	CHM00051895
44	0-20001-0-89062	0	45	89062	3	ROTHERA (89062-1)			0	-68.12972222222221	-67.56611111111111		2002	2021	1	0	63	NMS	9	None									['85', '38', '106', '107']							L.Haimberger	0	0.0		None		AYM00089062
45	0-20300-0-03995	0	46	3995	3	ULANHOT			0	122.05	46.22		1957	1960	1	0	63	NMS	47	Wulanhaote									['85', '38', '106', '107']							L.Haimberger	0	0.0		15.4	274.0	CHXUAC03995
46	0-20000-0-56096	0	47	56096	3	WUDU			0	104.91666666666669	33.4		1957	2002	1	0	63	NMS	47	Guangyuan									['85', '38', '106', '107']							L.Haimberger	0	1.9		134.4	1079.0	CHM00056096
47	0-20000-0-64656	0	48	64656	3	BANGASSOU			0	22.83333333333333	4.733333333333333		1973	1994	1	0	63	NMS	40	Bangassou									['85', '38', '106', '107']							L.Haimberger	0	0.1		1.8	500.0	CTM00064656
48	0-20000-0-94998	0	49	94998	3	MACQUARIE ISLAND			0	158.93694444444444	-54.49944444444444		1948	2021	1	0	63	NMS	13	None									['85', '38', '106', '107']							L.Haimberger	0	0.0		None	8.3	ASM00094998
49	0-20000-0-89657	0	50	89657	3	LENINGRADSKAJA			0	159.38555555555556	-69.50111111111111		1983	1991	1	0	63	NMS	9	None									['85', '38', '106', '107']							L.Haimberger	0	0.6		None	291.0	AYM00089657
50	0-20001-0-52866	0	51	52866	3	XINING (52866-1)			0	101.71666666666668	36.65		1958	2021	1	0	63	NMS	47	Xining									['85', '38', '106', '107']							L.Haimberger	0	8.0		11.2		CHM00052866
