	file	kind	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
0	uadb_windc_32227.txt	ORPHAN	0-20888-0-32227	 	1	32227	 	 	 	 	 	159.98,159.9,159.9	59.1,59.15,59.08	 	19691101	19930803	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['38', '85', '106', '107']	 	 	 	 	 	 	 	 
1	uadb_windc_25621.txt	ORPHAN	0-20888-0-25621	 	2	25621	 	 	 	 	 	158.9	64.0	 	19620311	19631229	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['38', '85', '106', '107']	 	 	 	 	 	 	 	 
2	uadb_windc_35756.txt	ORPHAN	0-20888-0-35756	 	3	35756	 	 	 	 	 	64.67	46.88	 	19760310	19930911	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['38', '85', '106', '107']	 	 	 	 	 	 	 	 
3	uadb_windc_54483.txt	ORPHAN	0-20888-0-54483	 	4	54483	 	 	 	 	 	123.9	40.9	 	19590901	19591231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['38', '85', '106', '107']	 	 	 	 	 	 	 	 
4	uadb_trhc_96535.txt	MATCHING_ID_NONMATCHING_COORD	0-20777-0-96535	 	5	96535	 	 	 	 	 	[109.3, 109.3]	[-1.7, -1.7]	 	19980610	20101223	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['38', '85', '106', '107']	 	 	 	 	 	 	 	 
5	uadb_trhc_31883.txt	ORPHAN	0-20888-0-31883	 	6	31883	 	 	 	 	 	134.97	45.88	 	19760528	19980311	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['38', '85', '106', '107']	 	 	 	 	 	 	 	 
6	uadb_trhc_57759.txt	ORPHAN	0-20888-0-57759	 	7	57759	 	 	 	 	 	110.98	27.35	 	19820531	19931122	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['38', '85', '106', '107']	 	 	 	 	 	 	 	 
7	uadb_windc_25902.txt	ORPHAN	0-20888-0-25902	 	8	25902	 	 	 	 	 	151.7	60.7	 	19620304	19630723	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['38', '85', '106', '107']	 	 	 	 	 	 	 	 
8	uadb_trhc_69038.txt	ORPHAN	0-20888-0-69038	 	9	69038	 	 	 	 	 	44.45	32.8	 	20131009	20131015	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['38', '85', '106', '107']	 	 	 	 	 	 	 	 
9	uadb_windc_30469.txt	ORPHAN	0-20888-0-30469	 	10	30469	 	 	 	 	 	116.7	55.1	 	19620817	19660131	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['38', '85', '106', '107']	 	 	 	 	 	 	 	 
