	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	distance_km	distance_km_minusLat	city_dist_km	elevation	file	inventory
0	0-20000-0-72712	0	1	woudc	3	CARIBOU/MUN., ME.			0	-68.01361111111112	46.86833333333333		1981-08-07	1981-08-07	1	0	63	NMS	231	Edmundston									['126', '137', '106', '107', '117']							L.Haimberger	0	1.3		60.1	191.0	woudc_46.867_-68.03.csv	OSCAR
1	0-20000-0-72469	0	2	woudc	3	DENVER/STAPLETON INT., CO.			0	-104.86944444444444	39.7675		1977-05-24	1977-05-24	1	0	63	NMS	231	Aurora									['126', '137', '106', '107', '117']							L.Haimberger	0	1.2		6.1	1612.0	woudc_39.767_-104.883.csv	OSCAR
2	0-20000-0-42540	0	3	woudc	3	MOUNT ABU			0	72.71666666666667	24.6		1965-03-23	1966-04-17	1	0	63	NMS	104	Mount Abu									['126', '137', '106', '107', '117']							L.Haimberger	0	1.7		0.0	1171.0	woudc_24.6_72.7.csv	OSCAR
3	0-20000-0-72247	0	4	woudc	3	LONGVIEW, TX			0	-94.65	32.35		1976-07-28	1976-10-02	1	0	63	NMS	231	Longview									['126', '137', '106', '107', '117']							L.Haimberger	0	19.1		0.9	124.0	woudc_32.5_-94.75.csv	OSCAR
4	0-20000-0-72293	0	5	woudc	3	SAN DIEGO/MIRAMAR,  NAS, CA.			0	-117.11666666666666	32.833333333333336		1977-05-25	1977-06-22	1	0	63	NMS	231	San Diego									['126', '137', '106', '107', '117']							L.Haimberger	0	11.0		4.4	9.0	woudc_32.75_-117.18.csv	OSCAR
5	0-20000-0-81406	0	6	woudc	3	CAYENNE			0	-52.69	5.17		1974-03-20	1974-03-22	1	0	63	NMS	74	Kourou									['126', '137', '106', '107', '117']							L.Haimberger	0	18.6		20.2	9.0	woudc_5.333_-52.65.csv	OSCAR
6	0-20000-0-78526	0	7	woudc	3	SAN JUAN/INT.,  PUERTO RICO			0	-65.99194444444444	18.43166666666667		1976-09-02	1976-09-10	1	0	63	NMS	181	San Juan									['126', '137', '106', '107', '117']							L.Haimberger	0	15.9		3.3	3.6	woudc_18.483_-66.133.csv	OSCAR
7	0-20000-0-78862	0	8	woudc	3	VC BIRD INT'L AIRPORT ANTIGUA			0	-61.78333333333333	17.116666666666667		1976-09-01	1976-09-10	1	0	63	NMS	3	Basseterre									['126', '137', '106', '107', '117']							L.Haimberger	0	18.4		99.3	10.0	woudc_17.283_-61.783.csv	OSCAR
8	0-20000-0-43003	0	9	woudc	3	BOMBAY / SANTACRUZ			0	72.85	19.116666666666667		1968-12-27	1969-12-15	1	0	63	NMS	104	Thana									['126', '137', '106', '107', '117']							L.Haimberger	0	0.0		15.3	14.6	woudc_19.117_72.85.csv	OSCAR
9	0-20000-0-89611	0	10	woudc	3	CASEY			0	110.52305555555556	-66.2825		1963-02-11	1963-11-15	1	0	63	NMS	13										['126', '137', '106', '107', '117']							L.Haimberger	0	3.6			42.3	woudc_-66.25_110.517.csv	OSCAR
10	0-20000-0-85799	0	11	woudc	3	PUERTO MONTT			0	-73.09777777777778	-41.435		1964-12-09	1965-02-24	1	0	63	NMS	45	Puerto Montt									['126', '137', '106', '107', '117']							L.Haimberger	0	22.2		9.6	84.0	woudc_-41.45_-72.833.csv	OSCAR
