STATION_ID	NAME	COUNTRY	LAT_(DEG_N)	LON_(DEG_E)	#_OF _SOUNDINGS	YEARS
1001	JAN MAYEN 	NORWAY	70.93	-8.67	15561	58-57
1005	ISFJORD RADIO 	NORWAY	78.07	13.63	983	58-62,64,66-68
1010	ANDOYA	NORWAY	69.3	16.12	22	66-68
1020	NA	NA	80.05	-18.29	1237	58-63
1028	BJORNOVA	NORWAY	74.52	19.02	16972	58-87
1030	NA	NA	69.69	-19.02	2424	58-63
1152	BODO	NORWAY	67.28	14.42	17005	58-87
2057	16LULEA/KALLAX	SWEDEN	65.6	22.1	5881	63-77
2185	NA	NA	66.55	22.13	10000	77-87
2836	SODANKYLA	FINLAN	67.37	26.65	25290	58-87
4202	THULE AFB 	GREENL	76.53	-68.75	42617	52-87
4210	UPERNAVIK	GREENL	72.78	-56.17	221	62-64, 71-72 
4220	EGEDESMINDE	GREENL	68.7	-52.75	16727	58-87
4230	HOLSTEINBORG	GREENL	66.92	-53.67	12	63,68-69, 71 
4231	SDR. STROMFJORD 	GREENL	67	-50.8	4	62,85 
4310	NORD	GREENL	81.6	-16.67	5512	58-73,75,77-79, 81, 84- 85,87 
4320	DANMARKSHAVN	GREENL	76.77	-18.77	15450	58-87
4330	DANEBORG	GREENL	74.3	-20.22	7	68-70
4339	SCORESBYSUND	GREENL	70.48	-21.97	4819	80-87
4340	KAP TOBIN 	GREENL	70.42	-21.97	11819	58-80
4360	ANGMAGSSALIK	GREENL	65.6	-37.63	16452	58-87
20046	GMO IM  ET KRENELYA	SOVIET	80.62	58.05	20826	58-87
20047	NA	NA	80.44	52.8	1649	58-63
20069	OSTROV VIZE 	SOVIET	79.5	76.98	18358	58-87
20107	BARENTSBURG	SOVIET	78.07	14.22	20289	58-87
20274	OSTROV UEDINENIA 	SOVIET	77.5	82.23	17337	58-87
20292	GMO IM EK FEDEROVA	SOVIET	77.72	104.28	19396	77.72
20353	MYS ZHELANIA 	SOVIET	76.95	68.58	18207	58-87
20406	NA	NA	80.62	58.05	2	79
20667	IM POPOVA 	SOVIET	73.33	70.03	8709	58-87
20674	OSTROV DIKSON 	SOVIET	73.5	80.23	17487	58-87
20744	MALYE KARMAKULY 	SOVIET	72.38	52.73	13088	58-63,67-74, 76-87
20891	KHATANGA	SOVIET	71.98	102.27	16753	58-80,83-87 
21432	OSTROV KOTELNY 	SOVIET	76	137.9	18983	58-87
21504	OSTROV PREOBRAZHENIA 	SOVIET	74.67	112.93	20447	58-87
21647	MYS SHALAUROVA 	SOVIET	73.18	143.93	18181	58-87
21824	BUKHTA TIKSI 	SOVIET	71.58	128.92	19476	58-87
21825	OSTROV MOSTAKH 	SOVIET	71.53	129.92	2	87
21908	DZHALINDA	SOVIET	70.13	113.97	4	81, 87
21946	COKURDAH	SOVIET	70.62	147.88	11238	58-87
21965	OSTROV CHETYREKHSTOLBO 	SOVIET	70.63	162.4	17650	58-87
21982	OSTROV VRANGELYA 	SOVIET	70.97	-178.55	16430	58-87
22113	MURMANSK	SOVIET	68.97	33.05	23186	58-87
22165	KANIN NOS 	SOVIET	68.65	43.3	1803	58-62
22205	ENA	SOVIET	67.6	31.17	4	86-87
22217	KANDALASKSA	SOVIET	67.13	32.43	21051	58-87
22271	SOJNA	SOVIET	67.88	44.13	20852	63-87
22408	KALEVALA	SOVIET	65.2	31.17	2	62
22522	KEM-PORT	SOVIET	64.98	34.78	5660	58-73
23022	AMDERMA	SOVIET	69.77	61.68	18284	58-87
23074	DUDINKA	SOVIET	69.4	86.17	2231	58-64,66-67 
23078	NORILSK	SOVIET	69.32	88.22	8777	80-87
23130	NA	NA	0	0	6	61,65
23146	MYS KAMENNY 	SOVIET	68.47	73.6	18944	58-87
23162	NA	NA	0	0	10	60,
23205	NARJAN MAR 	SOVIET	67.65	53.02	24628	58-87
23274	IGARKA	SOVIET	67.47	86.57	5356	58-74
23330	SALE-KHARD (OBDORSK) 	SOVIET	66.53	66.53	20461	58-87
23339	POLUY	SOVIET	66.27	67.87	96	76-87
23383	AGATA	SOVIET	66.93	93.47	2	62
23418	PECHORA	SOVIET	65.12	57.1	23793	58-87
23472	TURUKHANSK	SOVIET	65.78	87.95	21946	58-87
23552	TARKO-SALE	SOVIET	64.92	77.82	1478	58-65
24125	OLENEK	SOVIET	68.5	112.43	15175	58-87
24266	VERKHOYANSK	SOVIET	67.55	133.38	19425	58-87
24343	ZHIGANSK	SOVIET	66.77	123.4	21842	58-87
25042	AYON	SOVIET	69.93	167.97	6272	58-63, 66-86 
25123	CHERSKIY	SOVIET	68.8	161.28	18090	58-63,68-87 
25173	MYS SCHMIDT 	SOVIET	68.92	-179.48	18478	58-87
25248	ILIRNEYJ	SOVIET	67.33	168.23	3	71
25282	VANKAREM	SOVIET	67.85	-175.83	73	80-87
25399	MYS UELEN 	SOVIET	66.17	-169.83	7373	58-75
25400	ZYRIANKA	SOVIET	65.73	150.9	13294	63-87
25428	OMOLON	SOVIET	65.23	160.5	13838	58-87
70026	BARROW, AK 	ALASKA	71.3	-156.78	27713	48-87
70086	BARTER IS., AK	ALASKA	70.13	-143.63	24613	53-87
70133	KOTZEBUE,	ALASKA	66.87	-162.63	4869	62-75
70192	145UNIVERSITY EXP STA	USA	64.9	-147.9	2	73
71043	NORMAN WELLS, NT	CANADA	65.28	-126.8	23631	55-87
71051	SACHS HARBOUR, NT	CANADA	72	-125.27	22302	55-86
71072	MOULD BAY, NT	CANADA	76.23	-119.32	28243	48-87
71074	ISACHSEN, NT	CANADA	78.68	-103.53	21518	48-78
71081	HALL BEACH, NT	CANADA	68.78	-81.25	22020	64-87
71082	ALERT, NT 	CANADA	82.5	-62.33	26745	50-87
71090	CLYDE, NT 	CANADA	70.47	-68.62	13867	50-70, 72
71914	NANISIVIK, NT 	CANADA	72.97	-84.53	2	62
71917	EUREKA, NT 	CANADA	80	-85.93	28437	48-87
71918	ARCTIC BAY, NT	CANADA	73.03	-85.15	5697	48, 50-57, 62-64, 66
71924	RESOLUTE BAY, NT	CANADA	74.72	-94.95	29933	48-87
71925	CAMBRIDGE BAY, NT	CANADA	69.1	-105.13	13122	62-63, 68,70-87
71938	COPPERMINE, NT	CANADA	67.82	-115.13	14132	48-70
71957	INUVIK, NT	CANADA	68.3	-133.48	19942	60-87
71968	SHINGLE POINT, YT	CANADA	68.93	-137.23	7056	50-60
80000	"Ship ""M"" "	NA	66	2	15521	62, 68, 73-87
