date	counts
192604	12
192605	15
192607	11
192609	23
192610	12
192611	14
192703	14
192704	16
192705	13
192712	14
192803	38
192804	12
192805	15
192807	22
192912	19
193102	22
193204	14
193401	17
193411	67
193412	59
193501	57
193502	35
193511	60
193512	20
193611	24
193704	13
193712	11
193807	31
193904	20
193905	12
193912	19
194001	12
194002	16
194007	16
194104	26
194105	30
194106	27
194107	28
194108	28
194109	27
194110	17
194201	31
194202	27
194206	22
194209	14
194210	54
194211	16
194302	14
194303	31
194304	40
194305	13
194306	32
194307	36
194308	35
194309	42
194310	112
194311	67
194312	108
194401	105
194402	82
194403	135
194404	57
194405	61
194406	88
194407	180
194408	188
194409	220
194410	169
194411	176
194412	154
194501	173
194502	138
194503	171
194504	178
194505	296
194506	535
194507	569
194508	217
194509	221
194510	199
194511	460
194512	510
194601	1120
194602	1160
194603	1338
194604	1242
194605	1357
194606	1247
194607	1150
194608	1323
194609	1357
194610	1365
194611	1438
194612	1510
194701	1456
194702	1431
194703	1806
194704	1826
194705	1983
194706	1952
194707	1887
194708	2038
194709	2090
194710	1986
194711	2073
194712	1984
194801	3682
194802	3352
194803	3886
194804	4214
194805	4255
194806	4321
194807	4220
194808	4212
194809	4079
194810	4352
194811	4539
194812	4477
194901	5040
194902	4440
194903	4943
194904	4800
194905	5084
194906	5044
194907	5186
194908	5128
194909	5308
194910	5513
194911	5101
194912	5322
195001	5766
195002	5509
195003	6221
195004	5933
195005	6454
195006	6121
195007	6913
195008	6958
195009	7006
195010	7661
195011	7316
195012	7707
195101	7607
195102	6652
195103	7507
195104	7269
195105	7229
195106	6943
195107	7191
195108	7278
195109	7397
195110	7773
195111	7377
195112	7842
195201	7848
195202	7023
195203	7729
195204	7817
195205	7899
195206	7433
195207	8453
195208	8518
195209	8154
195210	8371
195211	8318
195212	8298
195301	8324
195302	8071
195303	9656
195304	9895
195305	10194
195306	9764
195307	10059
195308	10148
195309	9749
195310	10041
195311	9622
195312	9905
195401	9807
195402	9119
195403	10215
195404	10039
195405	10402
195406	10136
195407	10472
195408	10462
195409	10111
195410	10127
195411	9823
195412	9944
195501	10207
195502	9487
195503	10737
195504	10483
195505	11000
195506	10700
195507	11662
195508	11853
195509	11261
195510	11329
195511	10693
195512	11210
195601	11737
195602	11202
195603	12384
195604	12399
195605	13241
195606	12847
195607	12863
195608	12555
195609	12980
195610	13310
195611	13011
195612	13462
195701	13890
195702	12864
195703	14751
195704	13960
195705	14828
195706	14040
195707	15000
195708	15086
195709	14979
195710	15184
195711	14668
195712	15212
195801	15060
195802	13673
195803	15584
195804	15271
195805	15829
195806	15430
195807	15983
195808	15702
195809	15487
195810	15771
195811	15049
195812	15728
195901	15577
195902	14070
195903	15985
195904	15712
195905	15968
195906	15560
195907	15808
195908	15727
195909	15227
195910	15573
195911	15238
195912	15773
196001	15688
196002	14849
196003	16409
196004	15721
196005	16176
196006	15826
196007	16374
196008	16436
196009	15968
196010	16368
196011	15753
196012	16487
196101	16595
196102	15250
196103	16914
196104	16499
196105	17115
196106	16497
196107	16899
196108	16910
196109	16365
196110	16845
196111	16147
196112	16720
196201	16562
196202	15006
196203	19120
196204	17825
196205	17974
196206	17519
196207	17831
196208	18066
196209	17731
196210	18589
196211	17776
196212	18084
196301	16072
196302	15327
196303	16271
196304	16650
196305	17315
196306	16802
196307	17046
196308	17090
196309	16359
196310	17022
196311	16402
196312	16900
196401	15279
196402	12512
196403	15837
196404	15332
196405	15437
196406	16120
196407	17349
196408	17342
196409	17139
196410	17793
196411	17036
196412	17947
196501	16754
196502	14934
196503	17309
196504	17402
196505	17732
196506	17005
196507	17519
196508	17610
196509	16866
196510	17952
196511	17045
196512	17791
196601	18116
196602	16294
196603	18196
196604	17355
196605	18369
196606	18556
196607	19111
196608	16346
196609	16583
196610	18198
196611	19491
196612	20100
196701	20134
196702	18289
196703	20325
196704	19492
196705	20049
196706	19632
196707	20210
196708	20216
196709	18858
196710	19751
196711	19655
196712	20206
196801	19453
196802	18265
196803	19388
196804	18620
196805	19101
196806	18402
196807	19143
196808	18935
196809	18419
196810	19441
196811	19046
196812	19833
196901	19925
196902	18226
196903	19753
196904	18875
196905	19918
196906	19789
196907	20063
196908	19672
196909	19150
196910	20284
196911	19539
196912	19873
197001	20095
197002	18196
197003	19943
197004	19649
197005	20308
197006	19560
197007	20494
197008	20082
197009	19306
197010	20395
197011	19875
197012	20455
197101	20443
197102	18626
197103	20589
197104	20119
197105	20673
197106	20008
197107	20393
197108	20244
197109	19479
197110	20852
197111	20535
197112	20447
