date	counts
197801	6950
197802	6374
197803	7564
197804	6859
197805	7286
197806	7039
197807	7237
197808	7239
197905	7316
197906	7381
197907	7146
197908	7272
197909	7285
197910	6998
197911	6746
197912	7272
198001	6778
198002	6718
198003	7108
198004	7034
198005	7438
198006	6641
198007	7203
198008	7534
198009	6884
198010	7311
198011	6916
198012	7023
198101	7087
198102	6524
198103	7724
198104	6921
198105	7411
198106	7098
198107	7146
198108	7210
198109	7017
198110	7215
198111	7118
198112	6890
198201	7096
198202	6546
198203	7476
198204	7232
198205	7489
198206	7217
198207	7167
198208	7380
198209	7345
198210	7277
198211	6911
198212	7486
198301	7032
198302	6547
198303	7484
198304	7556
198305	7315
198306	7258
198307	7745
198308	7200
198309	7286
198310	7775
198311	6695
198312	7129
198401	7367
198402	6285
198403	7627
198404	6822
198405	7387
198406	7220
198407	7454
198408	7465
198409	7310
198410	7503
198411	7219
198412	6927
198501	7247
198502	6702
198503	7486
198504	7369
198505	7499
198506	7249
198507	7270
198508	7463
198509	7445
198510	7158
198511	6780
198512	7384
198601	6836
198602	6414
198603	7397
198604	7452
198605	7250
198606	7177
198607	7670
198608	6912
198609	7069
198610	7534
198611	6629
198612	7107
198701	7243
198702	6481
198703	7238
198704	7339
198705	7796
198706	7028
198707	7386
198708	7764
198709	7169
198710	7441
198711	7040
198712	7212
198801	7146
198802	6590
198803	7248
198804	7286
198805	7445
198806	7458
198807	7265
198808	7533
198809	7522
198810	7197
198811	6874
198812	7448
198901	6400
198902	6195
198903	6918
198904	7017
198905	6784
198906	6646
198907	7102
198908	6610
198909	6529
198910	6679
198911	6184
198912	6463
199001	6453
199002	6123
199003	6884
199004	7067
199005	7614
199006	6895
199007	7419
199008	7673
199009	6909
199010	7060
199011	6493
199012	6581
199101	6660
199102	6138
199103	7534
199104	6721
199105	7318
199106	7005
199107	7344
199108	7372
199109	7202
199110	7209
199111	6702
199112	6430
199201	6659
199202	6255
199203	7158
199204	7327
199205	7085
199206	7118
199207	7601
199208	7096
199209	7099
199210	7256
199211	6277
199212	6668
199301	6929
199302	6154
199303	6969
199304	7176
199305	7658
199306	6917
199307	7311
199308	7460
199309	6271
199310	6891
199311	6090
199312	6182
199401	6178
199402	5460
199403	6659
199404	6322
199405	6110
199406	6691
199407	7135
199408	7359
199409	7075
199410	7351
199411	7035
199412	6790
199501	6924
199502	6287
199503	7468
199504	7496
199505	7665
199506	7613
199507	7454
199508	7645
199509	7699
199510	7415
199511	6899
199512	7273
199601	6891
199602	6857
199603	7005
199604	7590
199605	8127
199606	7313
199607	7819
199608	7604
199609	7388
199610	7674
199611	7084
199612	7393
199701	7447
199702	6565
199703	7813
199704	7371
199705	8026
199706	7785
199707	7957
199708	7908
199709	7813
199710	7467
199711	7531
199712	6906
199801	7498
199802	6726
199803	7585
199804	7706
199805	7862
199806	7884
199807	7687
199808	7947
199809	8093
199810	7845
199811	7831
199812	8241
199901	7670
199902	7105
199903	7865
199904	7861
199905	7661
199906	7570
199907	8153
199908	7664
199909	7581
199910	8156
199911	7345
199912	7637
200001	8320
200002	7344
200003	8352
200004	7589
200005	8165
200006	7979
200007	8218
200008	8202
200009	7987
200010	8275
200011	8078
200012	7888
200101	7863
200102	7432
200103	8189
200104	7972
200105	8314
200106	8360
200107	8093
200108	8426
200109	8401
200110	7931
200111	7979
200112	8576
200201	8089
200202	7430
200203	8319
200204	8407
200205	8156
200206	8191
200207	8761
200208	8290
200209	8186
200210	8724
200211	7731
200212	8328
200301	8548
200302	7516
200303	8122
200304	8154
200305	8646
200306	7878
200307	8439
200308	8771
200309	7954
200310	8534
200311	8204
200312	8444
200401	8364
200402	7831
200403	8523
200404	8308
200405	8553
200406	8203
200407	8484
200408	8719
200409	8352
200410	8555
200411	8387
200412	8431
200501	7880
200502	7361
200503	8153
200504	8155
200505	7994
200506	8002
200507	8920
200508	8370
200509	7929
200510	8935
200511	7961
200512	8019
200601	8174
200602	7249
200603	7783
200604	7759
200605	8238
200606	7954
200607	8513
200608	8848
200609	7926
200610	8387
200611	8181
200612	8281
200701	8292
200702	7510
200703	8629
200704	7979
200705	8581
200706	8337
200707	8672
200708	8671
200709	8267
200710	8630
200711	8613
200712	8363
200801	8530
200802	7948
200803	8592
200804	8613
200805	8461
200806	8524
200807	9117
200808	8610
200809	8581
200810	9132
200811	8438
200812	8890
200901	8993
200902	7864
200903	8419
200904	8339
200905	9063
200906	8304
200907	8912
200908	9208
200909	8387
200910	8981
200911	8667
200912	9085
201001	9063
201002	8088
201003	9340
201004	8363
201005	8749
201006	8468
201007	9070
201008	9178
201009	8913
201010	9409
201011	9247
201012	8759
201101	9061
201102	8192
201103	9176
201104	8954
201105	9225
201106	9268
201107	9115
201108	9441
201109	9444
201110	9065
201111	8955
201112	9368
201201	8624
201202	8616
201203	8415
201204	8372
201205	9068
201206	8349
201207	8958
201208	9028
201209	8145
201210	8998
201211	8742
201212	8855
201301	8837
201302	7973
201303	9250
201304	8381
201305	8981
201306	8754
201307	9070
201308	8854
201309	8655
201310	9069
201311	8993
201312	8674
201401	8316
201402	7662
201403	8612
201404	8158
201405	8333
201406	8434
201407	8174
201408	8422
201409	8472
201410	8168
201411	8236
201412	8889
201501	8393
201502	7840
201503	8603
201504	8523
201505	8264
201506	8353
201507	8870
201508	8497
201509	8553
201510	9067
201511	8178
201512	8644
201601	8834
201602	7787
201603	8925
201604	8137
201605	8630
201606	8517
201607	8930
201608	8928
201609	8598
201610	8934
201611	8973
201612	8634
201701	8896
201702	8053
201703	8845
201704	8556
201705	8969
201706	8796
201707	8561
201708	8745
201709	8672
201710	8454
201711	8442
201712	9034
201801	8441
201802	7880
201803	8778
201804	8838
201805	8572
201806	8636
201807	9064
201808	8635
201809	8555
201810	9071
201811	8239
201812	8804
201901	9070
201902	8013
201903	8500
201904	8237
201905	8844
201906	8105
201907	8713
201908	8738
201909	7275
201910	8298
201911	8030
201912	8339
202001	8069
202002	7294
202003	8045
202004	3113
