date	counts
193611	17
194001	14
194002	30
194003	17
194004	12
194107	12
194108	27
194109	12
194112	21
194201	38
194202	15
194203	13
194204	14
194205	30
194206	13
194208	14
194210	16
194211	18
194212	23
194306	23
194308	21
194309	37
194310	34
194311	17
194401	19
194402	21
194403	13
194404	11
194405	11
194406	11
194409	12
194411	13
194502	11
194503	11
194506	31
194507	38
194508	18
194509	32
194510	31
194511	17
194512	15
194601	29
194602	26
194603	15
194604	39
194605	42
194606	52
194607	70
194608	33
194609	84
194610	73
194611	13
194612	14
194701	31
194702	36
194703	79
194704	133
194705	154
194706	96
194707	93
194708	65
194709	92
194710	124
194711	61
194712	39
194801	270
194802	360
194803	620
194804	1288
194805	1231
194806	1335
194807	1273
194808	1543
194809	1389
194810	1164
194811	1000
194812	460
194901	446
194902	636
194903	1030
194904	1206
194905	1415
194906	1454
194907	1509
194908	1489
194909	1316
194910	1105
194911	1072
194912	1032
195001	1124
195002	1317
195003	1883
195004	1973
195005	2467
195006	2282
195007	2707
195008	2779
195009	2610
195010	2706
195011	2237
195012	2006
195101	2236
195102	2080
195103	2631
195104	2980
195105	3206
195106	3299
195107	3519
195108	3612
195109	3342
195110	3211
195111	2901
195112	2704
195201	2630
195202	2729
195203	3046
195204	3658
195205	3636
195206	3658
195207	4279
195208	4375
195209	4049
195210	3974
195211	3803
195212	3626
195301	3562
195302	3558
195303	4578
195304	4831
195305	5038
195306	4953
195307	5137
195308	5179
195309	4863
195310	4685
195311	4270
195312	4029
195401	3785
195402	4249
195403	4705
195404	4689
195405	4810
195406	4716
195407	4965
195408	5086
195409	4786
195410	4664
195411	4465
195412	4323
195501	4573
195502	4440
195503	5242
195504	5380
195505	5485
195506	5291
195507	6001
195508	6026
195509	5658
195510	5515
195511	5204
195512	5045
195601	5415
195602	5325
195603	6284
195604	6411
195605	6871
195606	6818
195607	7604
195608	8492
195609	8084
195610	8144
195611	7759
195612	7903
195701	7937
195702	7769
195703	9430
195704	9778
195705	10485
195706	9914
195707	10879
195708	10764
195709	10277
195710	10001
195711	9292
195712	9644
195801	9371
195802	9058
195803	10992
195804	10880
195805	11573
195806	11256
195807	11863
195808	11600
195809	11126
195810	11227
195811	10418
195812	10779
195901	10338
195902	9431
195903	11406
195904	11456
195905	11790
195906	11282
195907	11417
195908	11337
195909	10930
195910	10896
195911	10646
195912	11086
196001	10876
196002	10427
196003	11968
196004	11652
196005	11927
196006	11219
196007	11333
196008	11755
196009	11244
196010	11442
196011	11314
196012	11744
196101	11820
196102	10738
196103	12439
196104	12130
196105	12726
196106	12086
196107	12268
196108	12608
196109	12182
196110	12404
196111	11931
196112	12262
196201	11989
196202	11163
196203	12615
196204	12289
196205	12830
196206	12157
196207	12385
196208	12497
196209	12045
196210	12527
196211	11872
196212	11931
196301	10689
196302	10055
196303	11232
196304	10826
196305	11273
196306	10897
196307	10996
196308	10928
196309	11493
196310	11712
196311	11114
196312	11309
196401	8001
196402	7068
196403	9452
196404	6742
196405	9204
196406	10608
196407	11010
196408	10923
196409	11010
196410	10684
196411	10598
196412	11303
196501	10564
196502	10359
196503	11725
196504	11364
196505	11496
196506	11267
196507	11768
196508	11331
196509	10602
196510	10894
196511	10245
196512	10344
196601	11938
196602	10217
196603	11216
196604	11517
196605	11966
196606	12518
196607	13020
196608	11161
196609	11563
196610	12490
196611	9612
196612	12290
196701	14679
196702	12789
196703	14822
196704	13963
196705	15065
196706	14826
196707	15112
196708	14755
196709	13368
196710	14094
196711	14701
196712	9781
196801	12406
196802	11948
196803	13463
196804	13288
196805	14114
196806	13246
196807	13286
196808	13005
196809	12778
196810	13415
196811	13065
196812	13402
196901	13520
196902	12574
196903	11332
196904	12477
196905	13046
196906	14114
196907	14574
196908	14349
196909	13653
196910	14259
196911	14198
196912	13154
197001	15361
197002	13846
197003	15362
197004	15207
197005	15601
197006	14028
197007	15531
197008	14921
197009	14563
197010	15760
197011	14880
197012	15430
197101	5091
197102	12272
197103	13667
197104	13734
197105	14186
197106	12690
197107	13169
197108	12899
197109	12564
197110	13499
197111	13416
197112	12682
197201	5295
197202	10116
197203	12323
197204	11647
197205	12336
197206	11548
197207	11405
197208	11587
197209	11144
197210	8437
197211	9722
197212	10913
197301	15716
197302	14422
197303	15783
197304	15372
197305	16293
197306	15756
197307	15237
197308	15527
197309	14758
197310	15591
197311	14981
197312	15316
197401	15156
197402	13481
197403	15991
197404	14318
197405	15845
197406	15539
197407	15781
197408	16162
197409	15948
197410	16804
197411	15785
197412	16259
197501	16629
197502	14821
197503	16191
197504	15795
197505	16591
197506	15920
197507	16161
197508	16567
197509	16123
197510	17266
197511	16666
197512	17233
197601	17319
197602	16199
197603	17407
197604	16742
197605	17343
197606	16687
197607	16859
197608	16518
197609	16135
197610	16431
197611	15844
197612	16345
197701	16236
197702	15143
197703	17003
197704	16253
197705	16699
197706	15786
197707	16185
197708	16059
197709	15937
197710	16989
197711	16660
197712	17112
197801	16881
197802	15670
197803	17531
197804	16811
197805	17408
197806	16607
197807	17037
197808	17290
197809	16445
197810	17193
197811	16711
197812	17323
197901	17932
197902	16242
197903	17678
197904	17107
197905	17924
197906	17429
197907	16973
197908	16999
197909	16346
197910	17220
197911	16347
197912	17264
198001	17334
198002	16008
198003	17204
198004	16769
198005	17061
198006	16051
198007	17086
198008	17216
198009	16179
198010	16239
198011	15479
198012	15992
198101	16428
198102	15515
198103	17263
198104	16741
198105	17553
198106	16664
198107	16676
198108	16985
198109	16385
198110	17236
198111	16893
198112	17177
198201	17095
198202	16048
198203	18164
198204	17347
198205	17969
198206	16951
198207	17620
198208	17358
198209	16906
198210	17509
198211	16918
198212	17254
198301	17472
198302	15804
198303	17899
198304	17259
198305	18057
198306	17345
198307	17669
198308	17846
198309	17334
198310	17716
198311	17357
198312	17550
198401	17925
198402	16539
198403	17622
198404	17120
198405	17617
198406	16901
198407	17441
198408	17714
198409	17175
198410	17909
198411	17168
198412	17377
198501	17885
198502	16125
198503	18154
198504	17352
198505	17622
198506	16585
198507	17781
198508	17298
198509	16686
198510	17387
198511	16977
198512	17645
198601	17607
198602	15984
198603	17702
198604	17136
198605	17705
198606	16827
198607	17288
198608	17030
198609	17075
198610	17742
198611	16864
198612	17699
198701	17211
198702	16151
198703	18177
198704	17605
198705	18274
198706	17404
198707	17571
198708	17717
198709	17458
198710	18004
198711	17471
198712	17889
198801	17861
198802	16492
198803	17781
198804	17481
198805	18193
198806	17252
198807	17316
198808	17791
198809	17607
198810	18122
198811	17572
198812	17756
198901	17632
198902	16477
198903	18280
198904	17701
198905	18163
198906	17273
198907	17811
198908	17562
198909	17188
198910	16587
198911	16716
198912	16819
199001	16001
199002	15577
199003	18127
199004	17842
199005	18017
199006	17851
199007	18314
199008	18257
199009	17140
199010	17695
199011	16746
199012	17452
199101	17510
199102	16368
199103	18013
199104	17111
199105	18292
199106	17042
199107	17772
199108	18201
199109	17167
199110	17806
199111	17297
199112	17363
199201	17073
199202	15805
199203	17385
199204	16766
199205	17539
199206	16904
199207	17576
199208	17691
199209	16855
199210	17583
199211	16631
199212	17711
199301	17413
199302	15839
199303	17671
199304	17554
199305	17569
199306	16605
199307	17088
199308	16369
199309	13993
199310	15077
199311	14356
199312	14704
199401	14159
199402	13124
199403	14280
199404	14364
199405	12464
199406	8254
199407	9087
199408	9141
199409	8975
199410	16303
199411	15782
199412	16115
199501	14917
199502	13704
199503	15844
199504	14979
199505	16459
199506	15706
199507	16195
199508	15730
199509	15088
199510	15437
199511	14519
199512	15512
199601	14847
199602	13592
199603	14514
199604	14251
199605	14830
199606	14309
199607	14862
199608	13876
199609	13971
199610	14274
199611	13928
199612	14228
199701	13922
199702	12977
199703	14750
199704	14743
199705	14829
199706	14173
199707	14982
199708	14721
199709	14154
199710	13511
199711	13354
199712	13238
199801	14662
199802	13289
199803	14868
199804	14493
199805	14972
199806	14189
199807	14595
199808	14457
199809	13688
199810	14119
199811	13678
199812	13801
199901	14073
199902	12817
199903	14530
199904	14021
199905	14377
199906	13750
199907	14069
199908	13737
199909	13190
199910	13617
199911	13506
199912	14113
200001	14574
200002	13853
200003	14560
200004	13879
200005	14728
200006	14407
200007	14729
200008	14838
200009	14282
200010	15033
200011	14580
200012	15114
200101	15307
200102	14172
200103	15841
200104	15011
200105	15603
200106	14752
200107	15091
200108	15291
200109	14592
200110	15162
200111	14970
200112	15150
200201	15225
200202	13863
200203	15455
200204	14768
200205	15510
200206	15059
200207	15464
200208	15654
200209	15054
200210	15602
200211	14915
200212	15262
200301	15418
200302	14141
200303	15624
200304	15412
200305	15862
200306	15377
200307	16011
200308	15973
200309	15383
200310	14913
200311	14634
200312	14902
200401	15636
200402	15056
200403	16069
200404	15597
200405	15993
200406	15654
200407	16097
200408	15934
200409	15415
200410	16413
200411	15846
200412	16163
200501	16036
200502	14874
200503	16371
200504	15460
200505	15974
200506	15520
200507	15769
200508	15890
200509	15378
200510	16361
200511	15965
200512	16181
200601	15825
200602	14492
200603	16425
200604	15980
200605	16386
200606	15746
200607	16506
200608	16588
200609	16337
200610	16925
200611	16094
200612	16606
200701	16688
200702	15375
200703	17143
200704	16554
200705	17384
200706	16605
200707	16857
200708	17111
200709	16283
200710	17090
200711	16600
200712	16981
200801	17103
200802	15953
200803	16924
200804	16308
200805	17230
200806	16848
200807	17268
200808	17422
200809	16872
200810	17614
200811	17412
200812	17708
200901	17434
200902	15912
200903	17610
200904	16928
200905	17522
200906	16897
200907	17099
200908	17556
200909	17026
200910	17802
200911	17367
200912	17826
201001	17650
201002	15642
201003	17566
201004	17359
201005	17950
201006	17437
201007	17356
201008	17421
201009	16661
201010	17832
201011	17042
201012	17400
201101	17558
201102	16156
201103	17833
201104	17144
201105	17828
201106	17144
201107	17875
201108	17884
201109	17307
201110	17958
201111	17348
201112	17876
201201	17827
201202	16427
201203	17583
201204	17061
201205	17789
201206	17313
201207	17913
201208	17859
201209	17046
201210	17300
201211	16803
201212	17354
201301	17537
201302	15858
201303	17562
201304	16805
201305	17466
201306	17223
201307	17994
201308	18001
201309	17358
201310	17929
201311	17064
201312	17520
201401	17351
201402	16047
201403	17788
201404	17097
201405	18019
201406	17431
201407	18120
201408	17854
201409	17027
201410	17755
201411	17369
201412	17856
201501	16087
201502	14281
201503	15941
201504	17258
201505	17800
201506	17336
201507	17896
201508	18320
201509	17798
201510	18261
201511	17693
201512	18242
201601	18079
201602	16885
201603	18540
201604	18295
201605	18924
201606	18394
201607	18885
201608	18729
201609	18177
201610	18715
201611	18026
201612	18322
201701	18265
201702	16596
201703	18506
201704	17545
201705	18147
201706	17518
201707	18016
201708	17783
201709	17121
201710	17786
201711	17031
201712	17398
201801	17473
201802	16053
201803	17698
201804	17649
201805	17939
201806	17581
201807	17797
201808	18452
201809	17834
201810	18407
201811	17532
201812	18103
201901	17925
201902	15662
201903	17587
201904	16792
201905	17518
201906	17062
201907	18169
201908	18037
201909	16292
201910	17783
201911	16884
201912	17059
202001	16095
202002	13613
202003	15063
202004	14376
202005	14589
202006	13992
202007	14800
202008	14698
202009	14048
202010	14613
202011	14422
202012	14559
