date	counts
194306	1
194307	2
194309	14
194310	106
194311	74
194312	107
194401	91
194402	116
194403	146
194404	64
194405	77
194406	105
194407	131
194408	148
194409	164
194410	123
194411	127
194412	125
194501	135
194502	99
194503	105
194504	81
194505	226
194506	245
194507	228
194508	192
194509	207
194510	193
194511	231
194512	215
194601	724
194602	741
194603	890
194604	901
194605	981
194606	899
194607	843
194608	873
194609	962
194610	1057
194611	1049
194612	1208
194701	978
194702	1048
194703	1264
194704	1301
194705	1441
194706	1416
194707	1436
194708	1561
194709	1496
194710	1499
194711	1481
194712	1460
194801	864
194802	771
194803	880
194804	965
194805	926
194806	948
194807	882
194808	886
194809	913
194810	972
194811	996
194812	992
194901	1307
194902	1149
194903	1258
194904	1169
194905	1221
194906	1277
194907	1355
194908	1293
194909	1419
194910	1544
194911	1536
194912	1643
195001	1938
195002	1964
195003	1953
195004	1964
195005	2123
195006	1957
195007	2170
195008	2331
195009	2346
195010	2439
195011	2286
195012	2802
195101	2558
195102	2179
195103	2390
195104	2295
195105	2210
195106	2095
195107	2118
195108	2270
195109	2464
195110	2644
195111	2528
195112	2621
195201	2816
195202	2632
195203	2832
195204	2582
195205	2680
195206	2429
195207	2509
195208	2475
195209	2475
195210	2548
195211	2669
195212	2626
195301	2599
195302	2742
195303	3681
195304	3909
195305	4082
195306	3898
195307	3951
195308	3973
195309	3842
195310	4217
195311	4144
195312	4361
195401	4565
195402	4080
195403	4691
195404	4498
195405	4707
195406	4629
195407	4754
195408	4689
195409	4551
195410	4567
195411	4520
195412	4696
195501	4712
195502	4287
195503	4823
195504	4821
195505	5153
195506	5023
195507	5433
195508	5545
195509	5397
195510	5658
195511	5376
195512	5592
195601	6067
195602	5721
195603	6116
195604	6165
195605	6346
195606	6144
195607	6155
195608	6098
195609	6216
195610	6563
195611	6327
195612	6649
195701	6859
195702	6341
195703	6868
195704	6158
195705	6602
195706	6742
195707	7493
195708	7829
195709	7685
195710	7842
195711	7418
195712	7847
195801	8003
195802	7241
195803	8343
195804	8073
195805	8409
195806	8165
195807	8141
195808	8193
195809	8024
195810	8316
195811	7988
195812	8429
195901	8295
195902	7467
195903	8702
195904	8476
195905	8633
195906	8323
195907	8444
195908	8370
195909	8112
195910	8420
195911	8320
195912	8751
196001	9106
196002	8543
196003	9548
196004	9103
196005	9434
196006	9363
196007	9619
196008	9739
196009	9487
196010	9882
196011	9485
196012	9836
196101	9747
196102	8873
196103	9752
196104	9561
196105	10138
196106	9749
196107	10030
196108	10128
196109	10101
196110	10285
196111	9805
196112	10241
196201	10031
196202	9167
196203	14096
196204	13517
196205	14953
196206	14540
196207	13700
196208	14484
196209	14223
196210	14979
196211	14422
196212	14778
196301	12898
196302	12566
196303	10357
196304	10839
196305	11129
196306	10789
196307	13220
196308	13421
196309	12804
196310	13463
196311	13058
196312	13448
196401	11214
196402	8930
196403	12898
196404	12521
196405	12982
196406	13509
196407	14166
196408	14173
196409	14264
196410	15634
196411	14878
196412	15519
196501	14745
196502	12958
196503	15102
196504	15291
196505	15604
196506	14949
196507	15352
196508	15400
196509	14485
196510	15343
196511	14620
196512	15501
196601	16247
196602	14706
196603	16505
196604	15870
196605	16715
196606	16916
196607	17045
196608	14239
196609	13996
196610	16148
196611	17646
196612	18462
196701	18414
196702	16753
196703	18707
196704	17674
196705	18072
196706	18078
196707	18509
196708	17056
196709	17125
196710	17756
196711	18057
196712	18472
196801	17257
196802	16848
196803	16890
196804	15670
196805	17688
196806	15971
196807	17821
196808	17890
196809	16938
196810	14392
196811	18015
196812	18510
196901	16654
196902	15824
196903	18489
196904	17360
196905	18472
196906	18531
196907	18450
196908	18205
196909	16899
196910	19005
196911	18120
196912	16100
197001	18716
197002	17426
197003	15171
197004	18779
197005	19396
197006	17591
197007	19551
197008	19125
197009	16453
197010	19652
197011	19127
197012	19463
197101	19591
197102	17767
197103	18754
197104	19203
197105	19757
197106	18069
197107	18393
197108	18123
197109	17842
197110	19906
197111	19692
197112	19121
197201	19334
197202	17873
197203	19579
197204	19369
197205	19702
197206	18730
197207	19380
197208	19657
197209	19101
197210	17456
197211	18954
197212	19850
197301	20400
197302	18640
197303	19584
197304	19655
197305	20974
197306	19545
197307	20546
197308	18455
197309	19927
197310	20617
197311	20000
197312	20686
197401	20296
197402	18289
197403	19762
197404	17792
197405	18588
197406	17389
197407	18643
197408	18270
197409	18298
197410	18927
197411	18485
197412	18382
197501	19894
197502	17062
197503	19819
197504	14084
197505	19908
197506	19284
197507	19345
197508	19384
197509	17692
197510	19700
197511	19006
197512	19794
197601	20031
197602	19352
197603	20617
197604	19718
197605	20519
197606	19635
197607	19781
197608	19613
197609	18934
197610	19909
197611	19329
197612	19712
197701	19640
197702	17980
197703	20059
197704	19202
197705	20030
197706	18826
197707	19257
197708	19422
197709	18882
197710	19911
197711	19422
197712	20016
197801	19913
197802	18125
197803	20022
197804	19197
197805	20314
197806	19796
197807	20064
197808	20177
197809	19412
197810	20327
197811	19751
197812	20560
197901	21041
197902	19224
197903	20781
197904	19987
197905	21583
197906	20756
197907	20201
197908	20165
197909	19326
197910	20306
197911	19742
197912	20658
198001	20475
198002	18791
198003	20495
198004	19800
198005	20304
198006	19184
198007	20312
198008	20598
198009	18883
198010	19430
198011	18800
198012	19509
198101	20039
198102	18812
198103	20621
198104	19918
198105	19980
198106	19670
198107	19887
198108	19892
198109	18317
198110	20263
198111	20000
198112	19215
198201	21021
198202	19198
198203	20598
198204	20730
198205	21228
198206	20554
198207	20345
198208	20871
198209	20359
198210	21361
198211	20763
198212	21203
198301	21156
198302	18991
198303	21153
198304	20608
198305	20355
198306	20437
198307	20872
198308	21404
198309	20755
198310	21408
198311	21097
198312	21465
198401	19311
198402	19619
198403	20857
198404	20092
198405	20692
198406	19833
198407	20693
198408	20862
