	date	counts
0	1900-01-01	0
1	1900-02-01	0
2	1900-03-01	0
3	1900-04-01	3
4	1900-05-01	1
5	1900-06-01	9
6	1900-07-01	6
7	1900-08-01	0
8	1900-09-01	3
9	1900-10-01	1
10	1900-11-01	2
11	1900-12-01	2
12	1901-01-01	0
13	1901-02-01	3
14	1901-03-01	1
15	1901-04-01	6
16	1901-05-01	2
17	1901-06-01	4
18	1901-07-01	2
19	1901-08-01	11
20	1901-09-01	4
21	1901-10-01	10
22	1901-11-01	9
23	1901-12-01	12
24	1902-01-01	3
25	1902-02-01	6
26	1902-03-01	2
27	1902-04-01	2
28	1902-05-01	5
29	1902-06-01	15
30	1902-07-01	4
31	1902-08-01	18
32	1902-09-01	23
33	1902-10-01	27
34	1902-11-01	24
35	1902-12-01	24
36	1903-01-01	29
37	1903-02-01	17
38	1903-03-01	25
39	1903-04-01	26
40	1903-05-01	28
41	1903-06-01	24
42	1903-07-01	26
43	1903-08-01	24
44	1903-09-01	25
45	1903-10-01	25
46	1903-11-01	24
47	1903-12-01	22
48	1904-01-01	28
49	1904-02-01	24
50	1904-03-01	22
51	1904-04-01	35
52	1904-05-01	28
53	1904-06-01	28
54	1904-07-01	21
55	1904-08-01	35
56	1904-09-01	38
57	1904-10-01	35
58	1904-11-01	18
59	1904-12-01	38
60	1905-01-01	16
61	1905-02-01	5
62	1905-03-01	9
63	1905-04-01	18
64	1905-05-01	35
65	1905-06-01	27
66	1905-07-01	16
67	1905-08-01	28
68	1905-09-01	18
69	1905-10-01	21
70	1905-11-01	23
71	1905-12-01	24
72	1906-01-01	34
73	1906-02-01	26
74	1906-03-01	18
75	1906-04-01	28
76	1906-05-01	28
77	1906-06-01	23
78	1906-07-01	32
79	1906-08-01	29
80	1906-09-01	33
81	1906-10-01	32
82	1906-11-01	28
83	1906-12-01	26
84	1907-01-01	32
85	1907-02-01	33
86	1907-03-01	38
87	1907-04-01	35
88	1907-05-01	40
89	1907-06-01	47
90	1907-07-01	63
91	1907-08-01	64
92	1907-09-01	58
93	1907-10-01	60
94	1907-11-01	57
95	1907-12-01	39
96	1908-01-01	53
97	1908-02-01	45
98	1908-03-01	53
99	1908-04-01	48
100	1908-05-01	43
101	1908-06-01	51
102	1908-07-01	51
103	1908-08-01	56
104	1908-09-01	51
105	1908-10-01	72
106	1908-11-01	75
107	1908-12-01	63
108	1909-01-01	54
109	1909-02-01	54
110	1909-03-01	54
111	1909-04-01	49
112	1909-05-01	42
113	1909-06-01	43
114	1909-07-01	49
115	1909-08-01	49
116	1909-09-01	47
117	1909-10-01	60
118	1909-11-01	53
119	1909-12-01	57
120	1910-01-01	55
121	1910-02-01	63
122	1910-03-01	64
123	1910-04-01	61
124	1910-05-01	66
125	1910-06-01	45
126	1910-07-01	53
127	1910-08-01	61
128	1910-09-01	60
129	1910-10-01	64
130	1910-11-01	63
131	1910-12-01	71
132	1911-01-01	71
133	1911-02-01	48
134	1911-03-01	63
135	1911-04-01	62
136	1911-05-01	60
137	1911-06-01	63
138	1911-07-01	55
139	1911-08-01	66
140	1911-09-01	72
141	1911-10-01	69
142	1911-11-01	80
143	1911-12-01	71
144	1912-01-01	60
145	1912-02-01	78
146	1912-03-01	70
147	1912-04-01	70
148	1912-05-01	69
149	1912-06-01	65
150	1912-07-01	59
151	1912-08-01	65
152	1912-09-01	59
153	1912-10-01	67
154	1912-11-01	51
155	1912-12-01	60
156	1913-01-01	53
157	1913-02-01	51
158	1913-03-01	51
159	1913-04-01	51
160	1913-05-01	59
161	1913-06-01	55
162	1913-07-01	58
163	1913-08-01	52
164	1913-09-01	54
165	1913-10-01	51
166	1913-11-01	62
167	1913-12-01	46
168	1914-01-01	38
169	1914-02-01	60
170	1914-03-01	52
171	1914-04-01	48
172	1914-05-01	59
173	1914-06-01	53
174	1914-07-01	58
175	1914-08-01	40
176	1914-09-01	41
177	1914-10-01	52
178	1914-11-01	45
179	1914-12-01	44
180	1915-01-01	47
181	1915-02-01	52
182	1915-03-01	39
183	1915-04-01	50
184	1915-05-01	37
185	1915-06-01	43
186	1915-07-01	46
187	1915-08-01	41
188	1915-09-01	57
189	1915-10-01	50
190	1915-11-01	77
191	1915-12-01	69
192	1916-01-01	75
193	1916-02-01	79
194	1916-03-01	83
195	1916-04-01	91
196	1916-05-01	95
197	1916-06-01	88
198	1916-07-01	99
199	1916-08-01	91
200	1916-09-01	97
201	1916-10-01	89
202	1916-11-01	87
203	1916-12-01	79
204	1917-01-01	91
205	1917-02-01	57
206	1917-03-01	79
207	1917-04-01	64
208	1917-05-01	63
209	1917-06-01	62
210	1917-07-01	66
211	1917-08-01	54
212	1917-09-01	74
213	1917-10-01	81
214	1917-11-01	80
215	1917-12-01	72
216	1918-01-01	52
217	1918-02-01	56
218	1918-03-01	75
219	1918-04-01	69
220	1918-05-01	51
221	1918-06-01	63
222	1918-07-01	60
223	1918-08-01	83
224	1918-09-01	85
225	1918-10-01	53
226	1918-11-01	40
227	1918-12-01	44
228	1919-01-01	4
229	1919-02-01	3
230	1919-03-01	7
231	1919-04-01	14
232	1919-05-01	20
233	1919-06-01	26
234	1919-07-01	24
235	1919-08-01	23
236	1919-09-01	3
237	1919-10-01	19
238	1919-11-01	40
239	1919-12-01	32
240	1920-01-01	35
241	1920-02-01	23
242	1920-03-01	48
243	1920-04-01	19
244	1920-05-01	19
245	1920-06-01	9
246	1920-07-01	15
247	1920-08-01	15
248	1920-09-01	17
249	1920-10-01	18
250	1920-11-01	26
251	1920-12-01	19
252	1921-01-01	16
253	1921-02-01	25
254	1921-03-01	20
255	1921-04-01	15
256	1921-05-01	17
257	1921-06-01	15
258	1921-07-01	13
259	1921-08-01	17
260	1921-09-01	35
261	1921-10-01	29
262	1921-11-01	21
263	1921-12-01	20
264	1922-01-01	0
265	1922-02-01	13
266	1922-03-01	17
267	1922-04-01	3
268	1922-05-01	4
269	1922-06-01	4
270	1922-07-01	0
271	1922-08-01	1
272	1922-09-01	4
273	1922-10-01	7
274	1922-11-01	17
275	1922-12-01	7
276	1923-01-01	52
277	1923-02-01	51
278	1923-03-01	38
279	1923-04-01	43
280	1923-05-01	31
281	1923-06-01	38
282	1923-07-01	35
283	1923-08-01	25
284	1923-09-01	53
285	1923-10-01	45
286	1923-11-01	40
287	1923-12-01	37
288	1924-01-01	38
289	1924-02-01	45
290	1924-03-01	45
291	1924-04-01	25
292	1924-05-01	30
293	1924-06-01	23
294	1924-07-01	32
295	1924-08-01	34
296	1924-09-01	37
297	1924-10-01	31
298	1924-11-01	33
299	1924-12-01	26
300	1925-01-01	11
301	1925-02-01	11
302	1925-03-01	10
303	1925-04-01	19
304	1925-05-01	8
305	1925-06-01	7
306	1925-07-01	16
307	1925-08-01	44
308	1925-09-01	15
309	1925-10-01	25
310	1925-11-01	37
311	1925-12-01	107
312	1926-01-01	57
313	1926-02-01	31
314	1926-03-01	35
315	1926-04-01	32
316	1926-05-01	71
317	1926-06-01	55
318	1926-07-01	48
319	1926-08-01	50
320	1926-09-01	57
321	1926-10-01	52
322	1926-11-01	57
323	1926-12-01	53
324	1927-01-01	71
325	1927-02-01	65
326	1927-03-01	85
327	1927-04-01	53
328	1927-05-01	52
329	1927-06-01	75
330	1927-07-01	48
331	1927-08-01	59
332	1927-09-01	43
333	1927-10-01	148
334	1927-11-01	56
335	1927-12-01	57
336	1928-01-01	87
337	1928-02-01	96
338	1928-03-01	160
339	1928-04-01	86
340	1928-05-01	63
341	1928-06-01	54
342	1928-07-01	66
343	1928-08-01	56
344	1928-09-01	55
345	1928-10-01	62
346	1928-11-01	90
347	1928-12-01	67
348	1929-01-01	74
349	1929-02-01	79
350	1929-03-01	71
351	1929-04-01	59
352	1929-05-01	34
