	Unnamed: 0	press	hum	temp	datetime	sensor
474510	0	424	96.79	296.39	2005-02-15 18:11:25+00:00	Vaisala
474511	0	424	96.79	296.39	2005-02-15 18:11:25+00:00	Vaisala
474512	1	427	97.74	296.55	2005-02-15 18:11:25+00:00	Vaisala
474513	1	427	97.74	296.55	2005-02-15 18:11:25+00:00	Vaisala
474514	2	429	96.66	296.37	2005-02-15 18:11:25+00:00	Vaisala
474515	2	429	96.66	296.37	2005-02-15 18:11:25+00:00	Vaisala
474516	3	431	97.89	296.56	2005-02-15 18:11:25+00:00	Vaisala
474517	3	431	97.89	296.56	2005-02-15 18:11:25+00:00	Vaisala
474518	4	434	97.89	296.71	2005-02-15 18:11:25+00:00	Vaisala
474519	4	434	97.89	296.71	2005-02-15 18:11:25+00:00	Vaisala
474520	5	436	97.58	296.78	2005-02-15 18:11:25+00:00	Vaisala
474521	5	436	97.58	296.78	2005-02-15 18:11:25+00:00	Vaisala
474522	6	438	97.34	296.86	2005-02-15 18:11:25+00:00	Vaisala
474523	6	438	97.34	296.86	2005-02-15 18:11:25+00:00	Vaisala
474524	7	441	97.16	296.9	2005-02-15 18:11:25+00:00	Vaisala
474525	7	441	97.16	296.9	2005-02-15 18:11:25+00:00	Vaisala
474526	8	443	96.34	296.85	2005-02-15 18:11:25+00:00	Vaisala
474527	8	443	96.34	296.85	2005-02-15 18:11:25+00:00	Vaisala
474528	9	446	95.7	296.91	2005-02-15 18:11:25+00:00	Vaisala
474529	9	446	95.7	296.91	2005-02-15 18:11:25+00:00	Vaisala
474530	10	448	95.24	296.87	2005-02-15 18:11:25+00:00	Vaisala
474531	10	448	95.24	296.87	2005-02-15 18:11:25+00:00	Vaisala
474532	11	450	94.97	296.84	2005-02-15 18:11:25+00:00	Vaisala
474533	11	450	94.97	296.84	2005-02-15 18:11:25+00:00	Vaisala
474534	12	453	94.97	296.84	2005-02-15 18:11:25+00:00	Vaisala
474535	12	453	94.97	296.84	2005-02-15 18:11:25+00:00	Vaisala
474536	13	455	94.97	296.83	2005-02-15 18:11:25+00:00	Vaisala
474537	13	455	94.97	296.83	2005-02-15 18:11:25+00:00	Vaisala
474538	14	458	94.97	296.81	2005-02-15 18:11:25+00:00	Vaisala
474539	14	458	94.97	296.81	2005-02-15 18:11:25+00:00	Vaisala
474540	15	460	94.97	296.81	2005-02-15 18:11:25+00:00	Vaisala
474541	15	460	94.97	296.81	2005-02-15 18:11:25+00:00	Vaisala
474542	16	462	94.99	296.79	2005-02-15 18:11:25+00:00	Vaisala
474543	16	462	94.99	296.79	2005-02-15 18:11:25+00:00	Vaisala
474544	17	465	95.08	296.78	2005-02-15 18:11:25+00:00	Vaisala
474545	17	465	95.08	296.78	2005-02-15 18:11:25+00:00	Vaisala
474546	18	467	95.19	296.76	2005-02-15 18:11:25+00:00	Vaisala
474547	18	467	95.19	296.76	2005-02-15 18:11:25+00:00	Vaisala
474548	19	469	95.17	296.73	2005-02-15 18:11:25+00:00	Vaisala
474549	19	469	95.17	296.73	2005-02-15 18:11:25+00:00	Vaisala
474550	20	472	95.46	296.71	2005-02-15 18:11:25+00:00	Vaisala
474551	20	472	95.46	296.71	2005-02-15 18:11:25+00:00	Vaisala
474552	21	474	95.46	296.71	2005-02-15 18:11:25+00:00	Vaisala
474553	21	474	95.46	296.71	2005-02-15 18:11:25+00:00	Vaisala
474554	22	477	95.83	296.69	2005-02-15 18:11:25+00:00	Vaisala
474555	22	477	95.83	296.69	2005-02-15 18:11:25+00:00	Vaisala
474556	23	479	96.01	296.68	2005-02-15 18:11:25+00:00	Vaisala
474557	23	479	96.01	296.68	2005-02-15 18:11:25+00:00	Vaisala
474558	24	481	96.01	296.66	2005-02-15 18:11:25+00:00	Vaisala
474559	24	481	96.01	296.66	2005-02-15 18:11:25+00:00	Vaisala
474560	25	484	96.01	296.64	2005-02-15 18:11:25+00:00	Vaisala
474561	25	484	96.01	296.64	2005-02-15 18:11:25+00:00	Vaisala
474562	26	486	96.34	296.61	2005-02-15 18:11:25+00:00	Vaisala
474563	26	486	96.34	296.61	2005-02-15 18:11:25+00:00	Vaisala
474564	27	488	96.66	296.58	2005-02-15 18:11:25+00:00	Vaisala
474565	27	488	96.66	296.58	2005-02-15 18:11:25+00:00	Vaisala
474566	28	491	96.26	296.61	2005-02-15 18:11:25+00:00	Vaisala
474567	28	491	96.26	296.61	2005-02-15 18:11:25+00:00	Vaisala
474568	29	493	96.76	296.56	2005-02-15 18:11:25+00:00	Vaisala
474569	29	493	96.76	296.56	2005-02-15 18:11:25+00:00	Vaisala
474570	30	496	96.99	296.55	2005-02-15 18:11:25+00:00	Vaisala
474571	30	496	96.99	296.55	2005-02-15 18:11:25+00:00	Vaisala
474572	31	498	96.99	296.5	2005-02-15 18:11:25+00:00	Vaisala
474573	31	498	96.99	296.5	2005-02-15 18:11:25+00:00	Vaisala
474574	32	500	96.99	296.5	2005-02-15 18:11:25+00:00	Vaisala
474575	32	500	96.99	296.5	2005-02-15 18:11:25+00:00	Vaisala
474576	33	503	96.99	296.47	2005-02-15 18:11:25+00:00	Vaisala
474577	33	503	96.99	296.47	2005-02-15 18:11:25+00:00	Vaisala
474578	34	505	97.18	296.42	2005-02-15 18:11:25+00:00	Vaisala
474579	34	505	97.18	296.42	2005-02-15 18:11:25+00:00	Vaisala
474580	35	507	97.38	296.38	2005-02-15 18:11:25+00:00	Vaisala
474581	35	507	97.38	296.38	2005-02-15 18:11:25+00:00	Vaisala
474582	36	510	97.25	296.41	2005-02-15 18:11:25+00:00	Vaisala
474583	36	510	97.25	296.41	2005-02-15 18:11:25+00:00	Vaisala
474584	37	512	97.43	296.37	2005-02-15 18:11:25+00:00	Vaisala
474585	37	512	97.43	296.37	2005-02-15 18:11:25+00:00	Vaisala
474586	38	515	97.65	296.34	2005-02-15 18:11:25+00:00	Vaisala
474587	38	515	97.65	296.34	2005-02-15 18:11:25+00:00	Vaisala
474588	39	517	97.89	296.34	2005-02-15 18:11:25+00:00	Vaisala
474589	39	517	97.89	296.34	2005-02-15 18:11:25+00:00	Vaisala
474590	40	519	98.02	296.34	2005-02-15 18:11:25+00:00	Vaisala
474591	40	519	98.02	296.34	2005-02-15 18:11:25+00:00	Vaisala
474592	41	522	98.02	296.32	2005-02-15 18:11:25+00:00	Vaisala
474593	41	522	98.02	296.32	2005-02-15 18:11:25+00:00	Vaisala
474594	42	524	98.02	296.32	2005-02-15 18:11:25+00:00	Vaisala
474595	42	524	98.02	296.32	2005-02-15 18:11:25+00:00	Vaisala
474596	43	526	98.02	296.29	2005-02-15 18:11:25+00:00	Vaisala
474597	43	526	98.02	296.29	2005-02-15 18:11:25+00:00	Vaisala
474598	44	529	98.02	296.28	2005-02-15 18:11:25+00:00	Vaisala
474599	44	529	98.02	296.28	2005-02-15 18:11:25+00:00	Vaisala
474600	45	531	98.02	296.26	2005-02-15 18:11:25+00:00	Vaisala
474601	45	531	98.02	296.26	2005-02-15 18:11:25+00:00	Vaisala
474602	46	534	98.02	296.23	2005-02-15 18:11:25+00:00	Vaisala
474603	46	534	98.02	296.23	2005-02-15 18:11:25+00:00	Vaisala
474604	47	536	98.27	296.2	2005-02-15 18:11:25+00:00	Vaisala
474605	47	536	98.27	296.2	2005-02-15 18:11:25+00:00	Vaisala
474606	48	538	98.45	296.19	2005-02-15 18:11:25+00:00	Vaisala
474607	48	538	98.45	296.19	2005-02-15 18:11:25+00:00	Vaisala
474608	49	541	98.27	296.19	2005-02-15 18:11:25+00:00	Vaisala
474609	49	541	98.27	296.19	2005-02-15 18:11:25+00:00	Vaisala
474610	50	543	98.62	296.17	2005-02-15 18:11:25+00:00	Vaisala
474611	50	543	98.62	296.17	2005-02-15 18:11:25+00:00	Vaisala
474612	51	545	98.84	296.13	2005-02-15 18:11:25+00:00	Vaisala
474613	51	545	98.84	296.13	2005-02-15 18:11:25+00:00	Vaisala
474614	52	548	98.93	296.12	2005-02-15 18:11:25+00:00	Vaisala
474615	52	548	98.93	296.12	2005-02-15 18:11:25+00:00	Vaisala
474616	53	550	98.96	296.1	2005-02-15 18:11:25+00:00	Vaisala
474617	53	550	98.96	296.1	2005-02-15 18:11:25+00:00	Vaisala
474618	54	553	98.96	296.08	2005-02-15 18:11:25+00:00	Vaisala
474619	54	553	98.96	296.08	2005-02-15 18:11:25+00:00	Vaisala
474620	55	555	98.96	296.06	2005-02-15 18:11:25+00:00	Vaisala
474621	55	555	98.96	296.06	2005-02-15 18:11:25+00:00	Vaisala
