	Unnamed: 0	press	hum	temp	datetime	sensor
653922	0	427	97.02	296.56	2005-02-19 15:00:10+00:00	Vaisala
653927	2	436	96.09	296.79	2005-02-19 15:00:10+00:00	Vaisala
653932	5	450	94.95	296.61	2005-02-19 15:00:10+00:00	Vaisala
653937	7	459	93.17	296.75	2005-02-19 15:00:10+00:00	Vaisala
653942	10	472	91.21	296.9	2005-02-19 15:00:10+00:00	Vaisala
653947	12	481	91.0	296.94	2005-02-19 15:00:10+00:00	Vaisala
653952	15	495	91.0	296.9	2005-02-19 15:00:10+00:00	Vaisala
653957	17	504	90.17	296.9	2005-02-19 15:00:10+00:00	Vaisala
653962	20	518	89.57	296.97	2005-02-19 15:00:10+00:00	Vaisala
653967	22	527	88.41	297.04	2005-02-19 15:00:10+00:00	Vaisala
653972	25	540	88.04	296.94	2005-02-19 15:00:10+00:00	Vaisala
653977	27	549	88.04	296.9	2005-02-19 15:00:10+00:00	Vaisala
653982	30	563	88.04	296.8	2005-02-19 15:00:10+00:00	Vaisala
653987	32	572	88.04	296.79	2005-02-19 15:00:10+00:00	Vaisala
653992	35	585	88.35	296.67	2005-02-19 15:00:10+00:00	Vaisala
653997	37	594	88.99	296.58	2005-02-19 15:00:10+00:00	Vaisala
654002	40	608	89.57	296.43	2005-02-19 15:00:10+00:00	Vaisala
654007	42	617	89.84	296.39	2005-02-19 15:00:10+00:00	Vaisala
654012	45	630	89.76	296.28	2005-02-19 15:00:10+00:00	Vaisala
654017	47	639	89.72	296.2	2005-02-19 15:00:10+00:00	Vaisala
654022	50	653	90.03	296.1	2005-02-19 15:00:10+00:00	Vaisala
654027	52	662	90.4	296.09	2005-02-19 15:00:10+00:00	Vaisala
654032	55	675	90.77	295.98	2005-02-19 15:00:10+00:00	Vaisala
654037	57	684	91.41	295.88	2005-02-19 15:00:10+00:00	Vaisala
654042	60	698	91.68	295.76	2005-02-19 15:00:10+00:00	Vaisala
654047	62	707	92.03	295.68	2005-02-19 15:00:10+00:00	Vaisala
654052	65	720	92.14	295.54	2005-02-19 15:00:10+00:00	Vaisala
654057	67	729	92.18	295.47	2005-02-19 15:00:10+00:00	Vaisala
654062	70	743	93.26	295.35	2005-02-19 15:00:10+00:00	Vaisala
654067	72	752	93.9	295.29	2005-02-19 15:00:10+00:00	Vaisala
654072	75	765	95.01	295.21	2005-02-19 15:00:10+00:00	Vaisala
654077	77	774	95.01	295.13	2005-02-19 15:00:10+00:00	Vaisala
654082	80	788	95.65	295.0	2005-02-19 15:00:10+00:00	Vaisala
654087	82	797	95.45	294.99	2005-02-19 15:00:10+00:00	Vaisala
654092	85	810	96.03	294.81	2005-02-19 15:00:10+00:00	Vaisala
654097	87	819	96.03	294.75	2005-02-19 15:00:10+00:00	Vaisala
654102	90	833	96.03	294.7	2005-02-19 15:00:10+00:00	Vaisala
654107	92	842	96.03	294.71	2005-02-19 15:00:10+00:00	Vaisala
654112	95	855	95.61	294.74	2005-02-19 15:00:10+00:00	Vaisala
654117	97	864	95.18	294.71	2005-02-19 15:00:10+00:00	Vaisala
654122	100	878	95.01	294.66	2005-02-19 15:00:10+00:00	Vaisala
654127	102	887	95.01	294.59	2005-02-19 15:00:10+00:00	Vaisala
654132	105	900	95.03	294.48	2005-02-19 15:00:10+00:00	Vaisala
654137	107	909	95.76	294.41	2005-02-19 15:00:10+00:00	Vaisala
654142	110	923	96.03	294.31	2005-02-19 15:00:10+00:00	Vaisala
654147	112	932	96.03	294.25	2005-02-19 15:00:10+00:00	Vaisala
654152	115	945	96.52	294.09	2005-02-19 15:00:10+00:00	Vaisala
654157	117	954	96.52	294.09	2005-02-19 15:00:10+00:00	Vaisala
654162	120	968	97.0	294.0	2005-02-19 15:00:10+00:00	Vaisala
654167	122	977	97.02	293.9	2005-02-19 15:00:10+00:00	Vaisala
654172	125	990	97.43	293.78	2005-02-19 15:00:10+00:00	Vaisala
654177	127	1000	98.05	293.72	2005-02-19 15:00:10+00:00	Vaisala
654182	130	1013	98.07	293.63	2005-02-19 15:00:10+00:00	Vaisala
654187	132	1022	97.52	293.59	2005-02-19 15:00:10+00:00	Vaisala
654192	135	1036	97.25	293.49	2005-02-19 15:00:10+00:00	Vaisala
654197	137	1045	98.63	293.39	2005-02-19 15:00:10+00:00	Vaisala
654202	140	1058	99.13	293.32	2005-02-19 15:00:10+00:00	Vaisala
654207	142	1067	100.0	293.24	2005-02-19 15:00:10+00:00	Vaisala
654212	145	1081	100.0	293.21	2005-02-19 15:00:10+00:00	Vaisala
654217	147	1090	100.0	293.1	2005-02-19 15:00:10+00:00	Vaisala
654222	150	1103	100.0	293.02	2005-02-19 15:00:10+00:00	Vaisala
654227	152	1112	100.0	292.98	2005-02-19 15:00:10+00:00	Vaisala
654232	155	1126	100.0	292.94	2005-02-19 15:00:10+00:00	Vaisala
654237	157	1135	100.0	292.9	2005-02-19 15:00:10+00:00	Vaisala
654242	160	1148	100.0	292.84	2005-02-19 15:00:10+00:00	Vaisala
654247	162	1157	100.0	292.84	2005-02-19 15:00:10+00:00	Vaisala
654252	165	1171	100.0	292.81	2005-02-19 15:00:10+00:00	Vaisala
654257	167	1180	100.0	292.73	2005-02-19 15:00:10+00:00	Vaisala
654262	170	1193	99.91	292.69	2005-02-19 15:00:10+00:00	Vaisala
654267	172	1202	99.73	292.64	2005-02-19 15:00:10+00:00	Vaisala
654272	175	1216	98.65	292.64	2005-02-19 15:00:10+00:00	Vaisala
654277	177	1225	97.74	292.64	2005-02-19 15:00:10+00:00	Vaisala
654282	180	1238	96.3	292.59	2005-02-19 15:00:10+00:00	Vaisala
654287	182	1247	96.05	292.58	2005-02-19 15:00:10+00:00	Vaisala
654292	185	1261	95.82	292.54	2005-02-19 15:00:10+00:00	Vaisala
654297	187	1270	94.46	292.54	2005-02-19 15:00:10+00:00	Vaisala
654302	190	1283	94.62	292.5	2005-02-19 15:00:10+00:00	Vaisala
654307	192	1292	94.45	292.44	2005-02-19 15:00:10+00:00	Vaisala
654312	195	1306	95.01	292.4	2005-02-19 15:00:10+00:00	Vaisala
654317	197	1315	95.03	292.29	2005-02-19 15:00:10+00:00	Vaisala
654322	200	1328	95.2	292.2	2005-02-19 15:00:10+00:00	Vaisala
654327	202	1337	96.03	292.1	2005-02-19 15:00:10+00:00	Vaisala
654332	205	1351	96.05	292.04	2005-02-19 15:00:10+00:00	Vaisala
654337	207	1360	95.61	292.03	2005-02-19 15:00:10+00:00	Vaisala
654342	210	1373	95.01	291.98	2005-02-19 15:00:10+00:00	Vaisala
654347	212	1382	95.01	291.92	2005-02-19 15:00:10+00:00	Vaisala
654352	215	1396	95.01	291.87	2005-02-19 15:00:10+00:00	Vaisala
654357	217	1405	95.01	291.82	2005-02-19 15:00:10+00:00	Vaisala
654362	220	1418	94.83	291.77	2005-02-19 15:00:10+00:00	Vaisala
