	stat	lat	lon	raw	adj
0	68328	-26.05	22.45		
1	70316	55.2011	-162.71	-0.6718500797448166	-0.027611570989012412
2	70350	57.7431	-152.48	-0.9885233918128656	0.009808780686209348
3	70308	57.15	-170.21	-1.7327380952380957	-0.05501542845510949
4	91408	7.3687	134.54	-0.7192982456140345	-0.04304467166154071
5	11035	48.2486	16.35	0.07604456824512569	0.01978460216407471
6	10393	52.2167	14.11	-0.01965811965811862	0.0334486194579171
7	10739	48.8333	9.2	0.030242510699001614	0.003957227368407886
8	27707	54.1	35.35	0.459029649595687	0.090563945109169
9	27612	55.93	37.51	0.6648111332007949	-0.010756842826090076
10	34122	51.65	39.25	0.6224907063197028	0.02332748620370686
11	27459	56.2667	44.0	0.740909090909091	0.177743259455999
12	57494	30.6	114.05	-0.5141630901287557	-0.1026841769339196
13	57972	25.7353	112.97	-0.4093352192362098	0.00826114708068831
14	57447	30.2833	109.46	-0.3095305832147939	0.09992475233367372
15	41217	24.4333	54.65	0.24677700348432097	0.20994328045550223
16	40911	36.7	67.2		
17	40913	36.6667	68.91	0.3392857142857158	0.1546611999999996
18	40938	34.217	62.21		
19	40948	34.55	69.21	-0.077937649880096	-0.14756962745981864
20	40990	31.5	65.85	0.21294964028776964	-0.06331420783239687
21	60390	36.6833	3.21	-0.17875569044006054	-0.02100545408464752
22	60525	34.8	5.73		
23	60550	33.683	1.0		
24	60571	31.5	-2.25	0.06779242174629292	0.07483087087480719
25	60580	31.9333	5.4		
26	60611	28.05	9.63		
27	60625	26.9667	1.08		
28	60630	27.2333	2.5		
29	60656	27.7	-8.16		
30	60680	22.8	5.43	-0.38228279386712144	-0.4305321781007102
31	37860	40.5333	50.0		
32	37985	38.733	48.83		
33	37789	40.2169	44.5		
34	66160	-8.85	13.23		
35	66285	-11.783	19.91		
36	66390	-14.933	13.56		
37	66422	-15.2167	12.16		
38	91765	-14.3383	-170.71	-0.42356495468277927	-0.16702967407590796
39	87047	-24.85	-65.48		
40	87155	-27.45	-59.05		
41	87344	-31.3167	-64.21		
42	87418	-32.8333	-68.78		
43	87576	-34.8167	-58.53		
44	87623	-36.5667	-64.26		
45	87715	-38.95	-68.13		
46	87860	-45.7833	-67.5		
47	87934	-53.8	-67.75		
48	87938	-54.8	-68.31		
49	94120	-12.4239	130.89	0.01472440944881853	0.15222361228823084
