	stat	lat	lon	raw	adj
0	68328	-26.05	22.45		
1	70316	55.2011	-162.71	0.298498498498499	0.24806063049848176
2	70350	57.7431	-152.48	-0.572777777777777	0.5189726027222353
3	70308	57.15	-170.21	-2.0831521739130445	-0.0013240739130201068
4	91408	7.3687	134.54	-0.22330623306233094	0.5664545549051432
5	11035	48.2486	16.35	-0.02724935732647755	-0.06151761732648215
6	10393	52.2167	14.11	-0.03612565445026092	-0.0879080244502731
7	10739	48.8333	9.2	0.0036458333333338664	0.022409303333315773
8	27707	54.1	35.35	0.6414027149321269	0.20605149303166898
9	27612	55.93	37.51	0.6188679245283004	0.0034343965282892202
10	34122	51.65	39.25	0.6974999999999998	-0.14798910999998857
11	27459	56.2667	44.0	0.691397849462366	0.26874229646233916
12	57494	30.6	114.05	-0.6986945169712794	-0.13814241697128402
13	57972	25.7353	112.97	-0.28146214099216815	0.21680169900782462
14	57447	30.2833	109.46	-0.3303664921465969	0.14013167387433806
15	41217	24.4333	54.65	0.29753521126760624	0.3288064112676266
16	40911	36.7	67.2		
17	40913	36.6667	68.91		
18	40938	34.217	62.21		
19	40948	34.55	69.21	-0.07970085470085521	-0.15918335470083847
20	40990	31.5	65.85	0.19430693069306876	0.007208190693058378
21	60390	36.6833	3.21	-0.054293628808863466	-0.005626108808854173
22	60525	34.8	5.73		
23	60550	33.683	1.0		
24	60571	31.5	-2.25	0.08195718654434185	0.08878541654436671
25	60580	31.9333	5.4		
26	60611	28.05	9.63		
27	60625	26.9667	1.08		
28	60630	27.2333	2.5		
29	60656	27.7	-8.16		
30	60680	22.8	5.43	-0.44294478527607345	-0.4887104869760652
31	37860	40.5333	50.0		
32	37985	38.733	48.83		
33	37789	40.2169	44.5		
34	66160	-8.85	13.23		
35	66285	-11.783	19.91		
36	66390	-14.933	13.56		
37	66422	-15.2167	12.16		
38	91765	-14.3383	-170.71	0.021529745042493064	0.01475897014164504
39	87047	-24.85	-65.48		
40	87155	-27.45	-59.05		
41	87344	-31.3167	-64.21		
42	87418	-32.8333	-68.78		
43	87576	-34.8167	-58.53		
44	87623	-36.5667	-64.26		
45	87715	-38.95	-68.13		
46	87860	-45.7833	-67.5		
47	87934	-53.8	-67.75		
48	87938	-54.8	-68.31		
49	94120	-12.4239	130.89	-0.03398791540785542	0.00029256335347009604
50	94150	-12.2742	136.82	-0.29999999999999716	-0.09176569000000256
51	94170	-12.6778	141.92	-0.307142857142861	-0.551494342142871
52	94203	-17.9475	122.23	-0.3919999999999982	-0.11150757999999655
53	94294	-19.2483	146.76	-0.20487804878048654	0.046128441219493874
54	94299	-16.2833	149.96		
55	94300	-24.8878	113.67		
56	94302	-22.2406	114.09	0.18338278931750704	0.4846151733175092
57	94312	-20.3725	118.63	-0.23809523809523675	-0.056678268095250166
58	94326	-23.795	133.88	-1.750000000000007	-1.485223050000009
59	94332	-20.6778	139.48	-0.29047619047618883	-0.6683753032857079
60	94335	-20.6667	140.5		
61	94374	-23.3753	150.47	0.11111111111111033	0.1447573511111347
62	94380	-23.85	151.25		
63	94403	-28.8044	114.69		
64	94430	-26.6136	118.53	-1.8800000000000012	-1.6208850799999994
65	94461	-25.0342	128.3	0.5600000000000023	0.6077058300000147
66	94510	-26.4139	146.25	0.06249999999999911	0.05334812000000877
67	94568	-27.65	152.71		
68	94578	-27.3917	153.12	-0.07957746478873319	-0.09872268478871761
69	94610	-31.9275	115.97	0.17181571815718127	-0.0017579568428188147
70	94637	-30.7847	121.45	-4.200000000000017	-3.8708772500000066
71	94638	-33.83	121.89		
72	94647	-31.6667	128.86	-0.016216216216215294	-0.6463894962162234
73	94653	-32.1297	133.69		
74	94659	-31.1558	136.8	-0.05333333333333125	-0.03351151333332704
75	94672	-34.9525	138.52	-0.11197771587743721	0.0051518641225737315
76	94711	-31.4839	145.82	0.2240000000000032	0.18595761000001632
77	94750	-34.9469	150.53		
78	94767	-33.9464	151.17	-5.0	-4.770771499999995
79	94776	-32.7933	151.83	-0.0799999999999983	0.1537139200000155
80	94802	-34.9414	117.8		
81	94821	-37.7472	140.77	0.7000000000000028	0.9814149300000139
82	94866	-37.6656	144.83	0.029654255319150162	-0.0782252646808614
83	94910	-35.1583	147.45	0.8000000000000019	0.9047035000000013
84	94975	-42.8339	147.5	0.033730158730159554	0.07464326873015065
85	94995	-31.5422	159.07		
86	94998	-54.4994	158.93	-0.03170028818443845	-0.2517084381844508
87	95527	-29.4897	149.84	-0.3655172413793082	-0.2549487963792956
88	46505	-30.01	131.58		
89	11010	48.2353	14.18	3.3999999999999773	3.6133675399999845
90	11120	47.2603	11.34	-1.1500000000000057	-1.0084624099999928
91	11240	46.9931	15.43		
92	88967	-77.9667	-38.8		
93	89001	-70.317	-2.36		
94	89002	-70.6667	-8.25	-0.2600000000000023	-0.6630736000000013
95	89009	-90.0	0.0	0.11452702702702752	0.04130603567566353
96	89022	-75.445	-26.21		
97	89050	-62.183	-58.88		
98	89051	-63.4667	-56.28		
99	89055	-64.2333	-56.71		
100	89062	-67.5661	-68.12		
101	89063	-65.25	-64.26		
102	89512	-70.7678	11.83	1.4184615384615373	-0.09177196153846082
103	89522	-70.4333	24.31		
104	89532	-69.0053	39.58	0.2351063829787234	0.368867072978726
105	89542	-67.667	45.85		
106	89564	-67.6017	62.87		
107	89571	-68.5744	77.96	-0.06899224806201665	-0.2650809180620113
108	89592	-66.5519	93.01	0.46785714285714264	0.09578534285712793
109	89601	-66.27	100.73		
110	89606	-78.45	106.86		
111	89611	-66.2825	110.52	0.03337912087912043	-0.10089297912088357
112	89625	-75.1017	123.41	1.0500000000000043	0.9702859400000179
113	89642	-66.6631	140.0		
114	89657	-69.5	159.4		
115	89662	-74.6958	164.09	-0.17368421052631638	-0.04292365052631758
116	89664	-77.85	166.66	0.003311258278145319	0.5877200182781476
117	89671	-72.3	170.21		
118	57401	-77.7333	-41.11		
119	91755	-78.2	-162.25		
120	78954	13.0667	-59.48	0.9530864197530866	0.18750055975309923
121	68032	-19.9833	23.41		
122	68040	-21.417	25.6		
123	68240	-24.55	25.91	-0.20000000000001705	-0.20000000000001705
124	78016	32.3669	-64.67	-0.028313253012047096	-0.14963502301205575
125	06400	51.083	2.65		
126	06458	50.7456	4.76	-0.3416666666666674	-0.5413019766666581
127	06476	50.033	5.4		
128	06496	50.4822	6.18		
129	78063	26.6167	-78.36		
130	78073	25.05	-77.46		
131	78076	25.2667	-76.3		
132	41883	24.85	89.36		
133	41891	24.9	91.88		
134	41923	23.7667	90.38		
135	41977	22.35	91.81		
136	78583	17.5333	-88.3	1.2730158730158714	-0.04971142698412535
137	85201	-16.517	-68.18		
138	48042	21.983	96.1		
139	48053	20.883	95.9		
140	48097	16.7667	96.16		
141	65330	9.35	2.61		
142	65344	6.35	2.38		
143	26850	53.933	27.63		
144	33008	52.1167	23.68		
145	33036	52.05	29.25		
146	33041	52.4019	30.96	0.3999999999999915	-0.4456889000000075
147	91517	-9.4167	159.96		
148	81729	-3.2944	-60.62		
149	82022	2.8333	-60.7		
150	82026	2.2239	-55.94		
151	82099	0.05	-51.06		
152	82107	-0.1167	-66.96		
153	82193	-1.3833	-48.48	0.2905660377358503	0.32805897773584314
154	82244	-2.4333	-54.71		
155	82281	-2.6	-44.23		
156	82332	-3.15	-59.98	0.1423423423423421	0.13170112834233894
157	82397	-3.7667	-38.6	1.0	0.6812034200000028
158	82400	-3.85	-32.41	-0.23165467625899294	-0.14608672625898078
159	82411	-4.25	-69.93		
160	82532	-5.8167	-61.28		
161	82599	-5.9167	-35.25	-0.15934959349593678	-0.11022629349591746
162	82678	-6.7667	-43.01		
163	82705	-7.5833	-72.76		
164	82765	-7.3333	-47.46	-0.5999999999999943	-1.073866339999995
165	82824	-8.7667	-63.91		
166	82900	-8.05	-34.91		
167	82917	-10.0	-67.8		
168	82930	-9.333	-54.96		
169	82965	-9.8667	-56.1	0.25591397849462316	0.1821594584946289
170	82983	-9.3833	-40.48		
171	83208	-12.7	-60.1	0.40075757575757626	0.30729272575757255
172	83229	-13.0167	-38.51		
173	83288	-13.2667	-43.41		
