index	alternative_name	bbox_max_latitude	bbox_max_longitude	bbox_min_latitude	bbox_min_longitude	city	comment	contact	end_date	latitude	local_gravity	longitude	measuring_system_id	measuring_system_model	metadata_contact	metadata_contact_role	observed_variables	observing_frequency	operating_institute	operating_territory	optional_data	platform_sub_type	platform_type	primary_id	primary_id_scheme	record_number	reporting_time	role	secondary_id	start_date	station_abbreviation	station_automation	station_crs	station_name	station_type	telecommunication_method	file	secondary_id_scheme
b''	b'-1'	32.480000000000004	45.569460664110395	31.48	44.390539335889606	b'Baghdad'	b'NA'	b'NA'	b'1956-05-31'	31.98	b'NA'	44.98	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112, 1, 2, 59, 29]'	0	b'NMS'	b'-1'	b'-1'	63	0	b'0-20000-0-40672'	b'5'	675	63	b'NA'	b'40672'	b'1949-02-02'	b'-1'	1	0	b'DIWANIYA'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-40672_CEUAS_merged_v0.nc	
b''	b'[]'	22.120001000000002	86.1178400218718	21.120001000000002	85.04216397812819	b'Noamundi'	b'NA'	b'NA'	b'1995-11-20'	21.62	b'NA'	85.58	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112, 1]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20000-0-42891'	b'5'	1802	63	b'NA'	42891	b'1985-05-22'	b'[]'	1	0	b'KEONGJHARGARH'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-42891_CEUAS_merged_v0.nc	
b''	b'[]'	14.020000457763672	106.48425194575846	13.020000457763672	105.45575049564779	b'Lumphat'	b'NA'	b'NA'	b'1970-01-27'	13.52	b'NA'	105.97	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20000-0-48972'	b'5'	1481	63	b'NA'	b'1:48972'	b'1969-10-21'	b'[]'	1	0	b'STUNG TRENG'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-48972_CEUAS_merged_v0.nc	
b''	b'[]'	-64.269997	-62.90698985695615	-65.269997	-65.25301414304384	b'Ushuaia'	b'NA'	b'NA'	b'1987-09-27'	-64.77	b'NA'	-64.08	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112, 1, 2, 59, 29]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20000-0-89061'	b'5'	4181	63	b'NA'	89061	b'1987-08-17'	b'[]'	1	0	b'PALMER STATION'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-89061_CEUAS_merged_v0.nc	
b''	b'-1'	36.22	141.46585472430854	35.22	140.23414527569145	b'Choshi'	b'NA'	b'NA'	b'1944-10-28'	35.72	b'NA'	140.85	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112, 1, 2, 59, 29]'	0	b'NMS'	b'-1'	b'-1'	63	0	b'0-20000-0-47648'	b'5'	946	63	b'NA'	b'47648'	b'1935-01-07'	b'-1'	1	0	b'CHOSHI'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-47648_CEUAS_merged_v0.nc	
b''	b'[]'	51.950001	4.372314078785029	50.950001	2.7676859212149694	b'Vlissingen'	b'NA'	b'NA'	b'1929-05-26'	51.45	b'NA'	3.57	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20000-0-06310'	b'5'	1299	63	b'NA'	b'C:5759'	b'1928-06-11'	b'[]'	1	0	b'VLISSINGEN AWS'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-06310_CEUAS_merged_v0.nc	
b''	b'-1'	44.27	143.06240326417998	43.27	141.67759673582003	b'Asahikawa'	b'NA'	b'NA'	b'1941-07-21'	43.77	b'NA'	142.37	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112, 1, 2, 59, 29]'	0	b'NMS'	b'-1'	b'-1'	63	0	b'0-20000-0-47407'	b'5'	920	63	b'NA'	b'47407'	b'1922-07-10'	b'-1'	1	0	b'ASAHIKAWA'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20000-0-47407_CEUAS_merged_v0.nc	
b''	b'[]'	30.02	-90.0954067170475	29.02	-91.24458928295252	b'Houma'	b'NA'	b'NA'	b'1945-07-31'	29.52	b'NA'	-90.67	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20500-0-12927'	b'2'	318	63	b'NA'	b'2:12927'	b'1943-06-01'	b'[]'	1	0	b'HOUMA NAS'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20500-0-12927_CEUAS_merged_v0.nc	
b''	b'[]'	28.98	-81.88115818523423	27.98	-83.01883581476577	b'Spring Hill'	b'NA'	b'NA'	b'1944-03-13'	28.48	b'NA'	-82.45	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20500-0-12818'	b'2'	908	63	b'NA'	b'2:12818'	b'1943-12-19'	b'[]'	1	0	b'BROOKSVILLE HERNANDO'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20500-0-12818_CEUAS_merged_v0.nc	
b''	b'[]'	25.92	101.2835991259187	24.92	100.17640687408131	b'Dali'	b'NA'	b'NA'	b'1945-10-17'	25.42	b'NA'	100.73	b'NA'	b'NA'	b'S. Schroeder'	0	b'[111, 112]'	0	b'NMS'	b'[]'	b'[]'	63	0	b'0-20500-0-42005'	b'2'	1777	63	b'NA'	b'2:42005'	b'1943-08-02'	b'[]'	1	0	b'YUNNANYI'	1	29	/raid60/scratch/federico/DATABASE_JANUARY2021_FIXED_sensor/0-20500-0-42005_CEUAS_merged_v0.nc	
