#station_id	wban_id	file_lat	wban_lat	file_lon	wban_lon	file	
2:82606	82606	21.27	-21.27	164.92	164.92	era5.1759.conv.2:82606	
2:82607	82607	22.02	-22.02	166.2	166.2	era5.1759.conv.2:82607	
2:80430	80430	1.68	-1.68	149.97	149.97	era5.1759.conv.2:80430	
2:82608	82608	22.27	-22.27	166.43	166.43	era5.1759.conv.2:82608	
2:80431	80431	2.02	-2.02	147.43	147.43	era5.1759.conv.2:80431	
2:80433	80433	7.75	-7.75	147.62	147.62	era5.1759.conv.2:80433	
2:80505	80505	6.25	-6.25	155.12	155.12	era5.1759.conv.2:80505	
2:80506	80506	4.3	-4.3	154.12	154.12	era5.1759.conv.2:80506	
2:80509	80509	6.23	-6.23	155.12	155.12	era5.1759.conv.2:80509	
2:80510	80510	9.07	-9.07	159.23	159.23	era5.1759.conv.2:80510	
2:80704	80704	8.07	-8.07	178.38	178.38	era5.1759.conv.2:80704	
2:81302	81302	12.43	-12.43	130.87	130.87	era5.1759.conv.2:81302	
2:81404	81404	10.6	-10.6	142.3	142.3	era5.1759.conv.2:81404	
2:81408	81408	19.27	-19.27	146.75	146.75	era5.1759.conv.2:81408	
2:81410	81410	10.93	-10.93	142.48	142.48	era5.1759.conv.2:81410	
2:81502	81502	10.62	-10.62	150.67	150.67	era5.1759.conv.2:81502	
2:81605	81605	17.53	-17.53	167.3	167.3	era5.1759.conv.2:81605	
2:50302	50302	3.77	-3.77	-38.55	-38.55	era5.1759.conv.2:50302	
2:51301	51301	12.9	-12.9	-38.35	-38.35	era5.1759.conv.2:51301	
2:51302	51302	12.9	-12.9	-38.35	-38.35	era5.1759.conv.2:51302	
2:51304	51304	12.78	-12.78	-38.5	-38.5	era5.1759.conv.2:51304	
2:50801	50801	2.2	-2.2	-81.0	-81.0	era5.1759.conv.2:50801	
2:52401	52401	22.92	-22.92	-43.78	-43.78	era5.1759.conv.2:52401	
2:50802	50802	4.53	-4.53	-81.23	-81.23	era5.1759.conv.2:50802	
2:60501	60501	9.07	-9.07	-158.02	-158.03	era5.1759.conv.2:60501	
2:60701	60701	2.77	-2.77	-171.72	-171.72	era5.1759.conv.2:60701	
2:61503	61503	16.47	-16.47	-151.75	-151.75	era5.1759.conv.2:61503	
2:60702	60702	2.73	-2.73	-171.72	-171.72	era5.1759.conv.2:60702	
2:61703	61703	13.33	-13.33	-176.15	-176.15	era5.1759.conv.2:61703	
2:61502	61502	16.45	-16.45	-151.77	-151.77	era5.1759.conv.2:61502	
2:62702	62702	21.13	-21.13	-175.18	-175.18	era5.1759.conv.2:62702	
2:50304	50304	5.9	-5.9	-35.25	-35.25	era5.1759.conv.2:50304	
2:61701	61701	13.23	-13.23	-176.15	-176.15	era5.1759.conv.2:61701	
2:50305	50305	3.85	-3.85	-32.42	-32.42	era5.1759.conv.2:50305	
2:80402	80402	8.77	-8.77	148.37	148.37	era5.1759.conv.2:80402	
2:62701	62701	21.25	-21.25	-175.13	-175.13	era5.1759.conv.2:62701	
2:50306	50306	3.73	-3.73	-38.57	-38.57	era5.1759.conv.2:50306	
2:80604	80604	9.42	-9.42	160.05	160.05	era5.1759.conv.2:80604	
2:80405	80405	6.57	-6.57	146.73	146.73	era5.1759.conv.2:80405	
2:81306	81306	14.45	-14.45	132.27	132.27	era5.1759.conv.2:81306	
2:50307	50307	9.52	-9.52	-35.82	-35.82	era5.1759.conv.2:50307	
2:80406	80406	8.53	-8.53	140.42	140.42	era5.1759.conv.2:80406	
2:81403	81403	15.45	-15.45	145.18	145.18	era5.1759.conv.2:81403	
2:50309	50309	8.12	-8.12	-34.92	-34.92	era5.1759.conv.2:50309	
2:80408	80408	6.07	-6.07	145.92	145.92	era5.1759.conv.2:80408	
2:50310	50310	3.85	-3.85	-32.42	-32.42	era5.1759.conv.2:50310	
2:81405	81405	12.7	-12.7	143.3	143.3	era5.1759.conv.2:81405	
2:80409	80409	9.45	-9.45	147.18	147.18	era5.1759.conv.2:80409	
2:50402	50402	2.9	-2.9	-40.87	-40.87	era5.1759.conv.2:50402	
2:81406	81406	17.05	-17.05	145.4	145.4	era5.1759.conv.2:81406	
2:80412	80412	6.62	-6.62	147.85	147.85	era5.1759.conv.2:80412	
2:81407	81407	19.77	-19.77	146.85	146.85	era5.1759.conv.2:81407	
2:50403	50403	2.58	-2.58	-44.23	-44.23	era5.1759.conv.2:50403	
2:81501	81501	10.32	-10.32	150.33	150.33	era5.1759.conv.2:81501	
2:50405	50405	1.07	-1.07	-47.62	-47.62	era5.1759.conv.2:50405	
2:80419	80419	6.87	-6.87	146.35	146.35	era5.1759.conv.2:80419	
2:81608	81608	17.73	-17.73	168.32	168.32	era5.1759.conv.2:81608	
2:50406	50406	2.6	-2.6	-44.52	-44.52	era5.1759.conv.2:50406	
2:80502	80502	9.2	-9.2	152.95	152.95	era5.1759.conv.2:80502	
2:81702	81702	17.75	-17.75	177.42	177.42	era5.1759.conv.2:81702	
2:51303	51303	17.67	-17.67	-39.27	-39.27	era5.1759.conv.2:51303	
2:80504	80504	8.33	-8.33	157.27	157.27	era5.1759.conv.2:80504	
2:61501	61501	18.83	-18.83	-159.82	-159.82	era5.1759.conv.2:61501	
2:80511	80511	6.5	-6.5	155.17	155.17	era5.1759.conv.2:80511	
2:82401	82401	20.03	-20.03	146.13	146.13	era5.1759.conv.2:82401	
2:80301	80301	0.95	-0.95	134.82	134.82	era5.1759.conv.2:80301	
2:80512	80512	8.33	-8.33	157.17	157.17	era5.1759.conv.2:80512	
2:82404	82404	23.45	-23.45	144.13	144.13	era5.1759.conv.2:82404	
2:80302	80302	1.93	-1.93	139.0	139.02	era5.1759.conv.2:80302	
2:80513	80513	8.6	-8.6	157.92	157.92	era5.1759.conv.2:80513	
2:82408	82408	21.42	-21.42	145.23	145.23	era5.1759.conv.2:82408	
2:83405	83405	35.8	-35.8	145.6	145.6	era5.1759.conv.2:83405	
2:80303	80303	1.23	-1.23	136.2	136.2	era5.1759.conv.2:80303	
2:83504	83504	30.32	-30.32	153.13	153.13	era5.1759.conv.2:83504	
2:80304	80304	1.17	-1.17	136.23	136.23	era5.1759.conv.2:80304	
2:80602	80602	9.43	-9.43	160.18	160.18	era5.1759.conv.2:80602	
2:83508	83508	32.8	-32.8	151.8	151.8	era5.1759.conv.2:83508	
2:80306	80306	1.18	-1.18	136.05	136.05	era5.1759.conv.2:80306	
2:80310	80310	1.25	-1.25	136.37	136.37	era5.1759.conv.2:80310	
2:80702	80702	8.52	-8.52	179.22	179.22	era5.1759.conv.2:80702	
2:80311	80311	1.25	-1.25	136.38	136.38	era5.1759.conv.2:80311	
2:81301	81301	13.3	-13.3	131.13	131.13	era5.1759.conv.2:81301	
2:80413	80413	5.63	-5.63	146.5	146.5	era5.1759.conv.2:80413	
2:81304	81304	13.05	-13.05	131.07	131.07	era5.1759.conv.2:81304	
2:80415	80415	5.47	-5.47	148.42	148.42	era5.1759.conv.2:80415	
2:81409	81409	19.6	-19.6	146.83	146.83	era5.1759.conv.2:81409	
2:80421	80421	2.55	-2.55	140.52	140.52	era5.1759.conv.2:80421	
2:81601	81601	15.5	-15.5	167.25	167.25	era5.1759.conv.2:81601	
2:80422	80422	3.2	-3.2	142.45	142.45	era5.1759.conv.2:80422	
2:81603	81603	17.68	-17.68	168.3	168.3	era5.1759.conv.2:81603	
2:80424	80424	2.0	-2.0	147.45	147.45	era5.1759.conv.2:80424	
2:81606	81606	15.33	-15.33	167.17	167.17	era5.1759.conv.2:81606	
2:80425	80425	9.45	-9.45	147.22	147.22	era5.1759.conv.2:80425	
2:81609	81609	15.52	-15.52	167.25	167.25	era5.1759.conv.2:81609	
2:80426	80426	6.13	-6.13	149.02	149.03	era5.1759.conv.2:80426	
2:80427	80427	5.2	-5.2	145.82	145.82	era5.1759.conv.2:80427	
2:82403	82403	20.68	-20.68	140.5	140.5	era5.1759.conv.2:82403	
2:80429	80429	1.65	-1.65	149.97	149.97	era5.1759.conv.2:80429	
2:82405	82405	21.17	-21.17	149.17	149.17	era5.1759.conv.2:82405	
2:82501	82501	27.58	-27.58	153.0	153.02	era5.1759.conv.2:82501	
2:82503	82503	23.4	-23.4	150.5	150.5	era5.1759.conv.2:82503	
2:82507	82507	27.45	-27.45	153.08	153.08	era5.1759.conv.2:82507	
2:80432	80432	2.05	-2.05	147.43	147.43	era5.1759.conv.2:80432	
2:50404	50404	1.07	-1.07	-47.62	-47.62	era5.1759.conv.2:50404	
2:80305	80305	0.5	-0.5	132.08	132.08	era5.1759.conv.2:80305	
2:80309	80309	1.27	-1.27	136.38	136.38	era5.1759.conv.2:80309	
2:80705	80705	8.53	-8.53	179.22	179.22	era5.1759.conv.2:80705	
2:81604	81604	17.68	-17.68	168.3	168.3	era5.1759.conv.2:81604	
