	file	kind	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
0	era5.conv._787W	MOBILE	0-20999-0-787W	 	1	787W	 	 	 	 	 	nan	nan	 	199212	199212	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
1	era5.conv._OVQA	MOBILE	0-20999-0-OVQA	 	2	OVQA	 	 	 	 	 	nan	nan	 	199202	199202	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
2	era5.conv._DB§C	MOBILE	0-20999-0-DB§C	 	3	DB§C	 	 	 	 	 	nan	nan	 	200102	200102	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
3	era5.conv._FNOV	MOBILE	0-20999-0-FNOV	 	4	FNOV	 	 	 	 	 	nan	nan	 	200203	200203	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
4	era5.conv._DB§K	MOBILE	0-20999-0-DB§K	 	5	DB§K	 	 	 	 	 	nan	nan	 	200002	200312	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
5	era5.conv._41903	MOBILE	0-20999-0-41903	 	6	41903	 	 	 	 	 	nan	nan	 	198811	198811	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
6	era5.conv._FN§§	MOBILE	0-20999-0-FN§§	 	7	FN§§	 	 	 	 	 	nan	nan	 	200202	200202	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
7	era5.conv._T2GH	MOBILE	0-20999-0-T2GH	 	8	T2GH	 	 	 	 	 	nan	nan	 	199508	199508	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
8	era5.conv._ULMA	MOBILE	0-20999-0-ULMA	 	9	ULMA	 	 	 	 	 	nan	nan	 	198709	198709	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
9	era5.conv._DB§H	MOBILE	0-20999-0-DB§H	 	10	DB§H	 	 	 	 	 	nan	nan	 	199410	200108	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
10	era5.conv._FJOR	MOBILE	0-20999-0-FJOR	 	11	FJOR	 	 	 	 	 	nan	nan	 	200202	200206	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
11	era5.conv._FNWU	MOBILE	0-20999-0-FNWU	 	12	FNWU	 	 	 	 	 	nan	nan	 	200209	200209	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
12	era5.conv._AABAS	MOBILE	0-20999-0-AABAS	 	13	AABAS	 	 	 	 	 	nan	nan	 	199512	199512	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
13	era5.conv._UEVE	MOBILE	0-20999-0-UEVE	 	14	UEVE	 	 	 	 	 	nan	nan	 	198404	198712	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
14	era5.conv._ITGH	MOBILE	0-20999-0-ITGH	 	15	ITGH	 	 	 	 	 	nan	nan	 	198104	198104	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
15	era5.conv._D§BH	MOBILE	0-20999-0-D§BH	 	16	D§BH	 	 	 	 	 	nan	nan	 	198802	200007	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
16	era5.conv._VQFV3	MOBILE	0-20999-0-VQFV3	 	17	VQFV3	 	 	 	 	 	nan	nan	 	199206	199206	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
17	era5.conv._GICA	MOBILE	0-20999-0-GICA	 	18	GICA	 	 	 	 	 	nan	nan	 	199201	199201	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
18	era5.conv._NNRS	MOBILE	0-20999-0-NNRS	 	19	NNRS	 	 	 	 	 	nan	nan	 	200203	200203	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
19	era5.conv._B1501	MOBILE	0-20999-0-B1501	 	20	B1501	 	 	 	 	 	nan	nan	 	198312	198312	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
20	era5.conv._UGQS	MOBILE	0-20999-0-UGQS	 	21	UGQS	 	 	 	 	 	nan	nan	 	198809	198809	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
21	era5.conv._77999	MOBILE	0-20999-0-77999	 	22	77999	 	 	 	 	 	nan	nan	 	198811	198811	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
22	era5.conv._29098	MOBILE	0-20999-0-29098	 	23	29098	 	 	 	 	 	nan	nan	 	198811	198811	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
23	era5.conv._60210	MOBILE	0-20999-0-60210	 	24	60210	 	 	 	 	 	nan	nan	 	197909	197909	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
24	era5.conv._FNZS	MOBILE	0-20999-0-FNZS	 	25	FNZS	 	 	 	 	 	nan	nan	 	199106	199106	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
25	era5.conv._YNSR	MOBILE	0-20999-0-YNSR	 	26	YNSR	 	 	 	 	 	nan	nan	 	200211	200211	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
26	era5.conv._§-BH	MOBILE	0-20999-0-§-BH	 	27	§-BH	 	 	 	 	 	nan	nan	 	199301	199301	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
27	era5.conv._CJUM	MOBILE	0-20999-0-CJUM	 	28	CJUM	 	 	 	 	 	nan	nan	 	198707	198707	 	 	 	 	 	 	 	 	 	 	 	 	 	 	nan	 	 	 	 	 	 	 	 
