	file	kind	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
0	era5.conv._30217	ORPHAN	0-20888-0-30217	 	1	30217	 	 	 	 	 	103.25	57.18	 	19860912	19860912	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
1	era5.conv._94611	ORPHAN	0-20888-0-94611	 	2	94611	 	 	 	 	 	116.0	-30.63	 	20010415	20010415	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
2	era5.conv._68902	ORPHAN	0-20888-0-68902	 	3	68902	 	 	 	 	 	-12.32	-37.05	 	19800701	19800701	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
3	era5.conv._87898	ORPHAN	0-20888-0-87898	 	4	87898	 	 	 	 	 	-65.73	-47.2	 	19940905	19940905	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
4	era5.conv._94402	MATCHING_ID_NONMATCHING_COORD	0-20777-0-94402	 	5	94402	 	 	 	 	 	[113.8, 113.8]	[-26.25, -26.25]	 	19810317	19810317	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
5	era5.conv._97438	ORPHAN	0-20888-0-97438	 	6	97438	 	 	 	 	 	127.92	0.35	 	19870809	19870809	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
6	era5.conv._03039	MATCHING_ID_NONMATCHING_COORD	0-20777-0-03039	 	7	3039	 	 	 	 	 	[-6.12, -6.12]	[56.7, 56.7]	 	19891124	19891124	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
7	era5.conv._97890	ORPHAN	0-20888-0-97890	 	8	97890	 	 	 	 	 	129.67	-7.83	 	19880214	19880214	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
8	era5.conv._63030	ORPHAN	0-20888-0-63030	 	9	63030	 	 	 	 	 	39.33	14.83	 	19790713	19790713	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
9	era5.conv._31306	ORPHAN	0-20888-0-31306	 	10	31306	 	 	 	 	 	128.75	53.53	 	19790925	19790925	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[39, 106, 107, 117]	 	 	 	 	 	 	 	 
10	era5.conv._26498	ORPHAN	0-20888-0-26498	 	11	26498	 	 	 	 	 	34.32	56.27	 	19921214	19921214	 	 	 	 	 	 	 	 	 	 	 	 	 	 	[36, 38, 39, 85, 104, 105, 106, 107, 117]	 	 	 	 	 	 	 	 
