	file	kind	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
0	72948_stationfile.csv	ORPHAN	0-20888-0-72948	 	1	72948	 	 	 	 	 	235.3	70.2	 	1969-02-25	1969-11-30	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
1	23130_stationfile.csv	MATCHING_ID_NONMATCHING_COORD	0-20777-0-23130	 	2	23130	 	 	 	 	 	[65.0, 65.0]	[68.4, 68.4]	 	1963-07-22	1967-08-31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
2	70192_stationfile.csv	MATCHING_ID_NONMATCHING_COORD	0-20777-0-70192	 	3	70192	 	 	 	 	 	[212.52, 212.52]	[65.12, 65.12]	 	1973-04-05	1973-04-28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
3	20406_stationfile.csv	COORDINATE_ISSUES	0-20666-0-20406	 	4	20406	 	 	 	 	 			 	1979-03-28	1979-10-02	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
4	72914_stationfile.csv	ORPHAN	0-20888-0-72914	 	5	72914	 	 	 	 	 	266.6,266.5	69.5,69.5	 	1962-10-23	1968-07-07	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
5	23162_stationfile.csv	MATCHING_ID_NONMATCHING_COORD	0-20777-0-23162	 	6	23162	 	 	 	 	 	[65.0, 65.0]	[68.0, 68.0]	 	1962-03-08	1967-12-19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
6	23338_stationfile.csv	COORDINATE_ISSUES	0-20666-0-23338	 	7	23338	 	 	 	 	 			 	1976-04-19	1996-03-30	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
7	23274_stationfile.csv	MATCHING_ID_NONMATCHING_COORD	0-20777-0-23274	 	8	23274	 	 	 	 	 	[273.43, 86.5]	[67.5, 67.4]	 	1958-05-01	1992-02-15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
8	20667_stationfile.csv	MATCHING_ID_NONMATCHING_COORD	0-20777-0-20667	 	9	20667	 	 	 	 	 	[289.97, 70.0]	[73.33, 73.3]	 	1958-05-03	1995-02-24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
9	02057_stationfile.csv	MATCHING_ID_NONMATCHING_COORD	0-20777-0-02057	 	10	2057	 	 	 	 	 	[337.87, 22.1]	[65.6, 65.5]	 	1963-08-23	1977-06-30	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
10	25400_stationfile.csv	MATCHING_ID_NONMATCHING_COORD	0-20777-0-25400	 	11	25400	 	 	 	 	 	[150.9, 150.8]	[67.53, 65.7]	 	1963-04-11	1996-07-06	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
11	25428_stationfile.csv	COORDINATE_ISSUES	0-20666-0-25428	 	12	25428	 	 	 	 	 			 	1958-05-01	1996-06-18	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
12	20107_stationfile.csv	MATCHING_ID_NONMATCHING_COORD	0-20777-0-20107	 	13	20107	 	 	 	 	 	[345.78, 14.2]	[78.1, 78.0]	 	1958-05-01	1995-01-27	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
13	23146_stationfile.csv	MATCHING_ID_NONMATCHING_COORD	0-20777-0-23146	 	14	23146	 	 	 	 	 	[286.4, 72.8]	[69.1, 68.47]	 	1958-05-01	1995-04-04	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
14	20274_stationfile.csv	MATCHING_ID_NONMATCHING_COORD	0-20777-0-20274	 	15	20274	 	 	 	 	 	[277.77, 82.2]	[77.6, 75.5]	 	1958-05-01	1996-01-03	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
15	20069_stationfile.csv	MATCHING_ID_NONMATCHING_COORD	0-20777-0-20069	 	16	20069	 	 	 	 	 	[283.02, 76.9]	[79.5, 79.5]	 	1958-05-01	1996-04-22	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
16	20744_stationfile.csv	MATCHING_ID_NONMATCHING_COORD	0-20777-0-20744	 	17	20744	 	 	 	 	 	[307.27, 52.7]	[72.4, 72.37]	 	1958-05-02	1996-07-06	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
17	20353_stationfile.csv	COORDINATE_ISSUES	0-20666-0-20353	 	18	20353	 	 	 	 	 			 	1958-05-01	1995-11-27	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
18	22217_stationfile.csv	MATCHING_ID_NONMATCHING_COORD	0-20777-0-22217	 	19	22217	 	 	 	 	 	[327.57, 32.4]	[67.13, 67.0]	 	1958-05-01	1996-06-25	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
19	20046_stationfile.csv	MATCHING_ID_NONMATCHING_COORD	0-20777-0-20046	 	20	20046	 	 	 	 	 	[301.95, 58.0]	[80.62, 80.6]	 	1958-05-01	1996-07-06	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
20	80000_stationfile.csv	COORDINATE_ISSUES	0-20666-0-80000	 	21	80000	 	 	 	 	 			 	1962-05-10	1990-03-31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
21	23022_stationfile.csv	MATCHING_ID_NONMATCHING_COORD	0-20777-0-23022	 	22	23022	 	 	 	 	 	[298.32, 61.6]	[69.8, 69.7]	 	1958-05-01	1996-07-06	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
22	23330_stationfile.csv	MATCHING_ID_NONMATCHING_COORD	0-20777-0-23330	 	23	23330	 	 	 	 	 	[293.45, 66.5]	[66.53, 66.5]	 	1958-05-01	1996-07-06	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
23	23205_stationfile.csv	MATCHING_ID_NONMATCHING_COORD	0-20777-0-23205	 	24	23205	 	 	 	 	 	[306.98, 53.0]	[67.7, 67.6]	 	1958-05-01	1996-07-06	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
24	23472_stationfile.csv	MATCHING_ID_NONMATCHING_COORD	0-20777-0-23472	 	25	23472	 	 	 	 	 	[272.05, 87.9]	[65.8, 65.7]	 	1958-05-01	1996-07-06	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
25	23418_stationfile.csv	MATCHING_ID_NONMATCHING_COORD	0-20777-0-23418	 	26	23418	 	 	 	 	 	[302.78, 57.1]	[65.12, 65.0]	 	1958-05-01	1996-07-06	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
26	01152_stationfile.csv	MATCHING_ID_NONMATCHING_COORD	0-20777-0-01152	 	27	1152	 	 	 	 	 	[345.6, 14.3]	[67.3, 67.2]	 	1958-05-02	1996-07-06	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
27	01001_stationfile.csv	COORDINATE_ISSUES	0-20666-0-01001	 	28	1001	 	 	 	 	 			 	1958-05-01	1996-07-06	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
28	22113_stationfile.csv	MATCHING_ID_NONMATCHING_COORD	0-20777-0-22113	 	29	22113	 	 	 	 	 	[326.95, 33.0]	[69.0, 68.9]	 	1958-05-01	1996-07-06	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
29	02836_stationfile.csv	MATCHING_ID_NONMATCHING_COORD	0-20777-0-02836	 	30	2836	 	 	 	 	 	[333.35, 26.6]	[67.4, 67.3]	 	1958-05-01	1996-07-06	 	 	 	 	 	 	 	 	 	 	 	 	 	 	['126', '137', '106', '107', '117']	 	 	 	 	 	 	 	 
