	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	distance_km	distance_km_minusLat	city_dist_km	file
0	0-20000-0-60607	0	1	60607	3	TIMIMOUN			0	0.2833333333333333	29.25		19840319	19890820	1	0	63	NMS	61	Adrar									['38', '85', '106', '107']							L.Haimberger	0	0.3		159.4	uadb_trhc_60607.txt
1	0-20000-0-66450	0	2	66450	3	BAIA DOS TIGRES			0	11.716666666666667	-16.6		20141023	20141023	1	0	63	NMS	8	Namibe									['38', '85', '106', '107']							L.Haimberger	0	0.4		162.1	uadb_windc_66450.txt
2	0-20000-0-91690	0	3	91690	3	LAUTHALA BAY			0	178.45	-18.15		19690309	19790726	1	0	63	NMS	70	None									['38', '85', '106', '107']							L.Haimberger	0	0.0		None	uadb_windc_91690.txt
3	0-20000-0-89601	0	4	89601	3	OAZIC BANGERA			0	100.74611111111109	-66.27444444444444		19570630	19581117	1	0	63	NMS	214	None									['38', '85', '106', '107']							L.Haimberger	0	0.9		None	uadb_windc_89601.txt
4	0-20000-0-94995	0	5	93995	3	LORD HOWE ISLAND AERO			0	159.07861111111112	-31.54222222222223		19490101	19551231	1	0	63	NMS	13	None									['38', '85', '106', '107']							L.Haimberger	0	2.5		None	uadb_windc_93995.txt
5	0-20500-0-15606	0	6	71098	3	INDIAN HOUSE LAKE			0	-64.73	56.23		19620306	19620906	1	0	63	NMS	37	None									['38', '85', '106', '107']							L.Haimberger	0	25.7		None	uadb_windc_71098.txt
6	0-20500-0-26460	0	7	70268	3	BLAIR LKS BMB RNG AF			0	-147.65	64.33		19780425	19900502	1	0	63	NMS	231	Fairbanks									['38', '85', '106', '107']							L.Haimberger	0	0.0		56.7	uadb_windc_70268.txt
7	0-20000-0-70296	0	8	70296	3	CORDOVA/MILE 13			0	-145.5	60.5		19620304	19640729	1	0	63	NMS	231	Anchorage									['38', '85', '106', '107']							L.Haimberger	0	0.0		252.1	uadb_windc_70296.txt
8	0-20000-0-41466	0	9	41390	3	TAIZ			0	44.13333333333333	13.683333333333335		19830729	19840718	1	0	63	NMS	243	Ibb									['38', '85', '106', '107']							L.Haimberger	0	0.5		32.2	uadb_windc_41390.txt
9	0-20000-0-50603	0	10	50603	3	XIN BARAG YOUQI			0	116.81	48.67888888888889		19730409	19911029	1	0	63	NMS	47	Manzhouli									['38', '85', '106', '107']							L.Haimberger	0	1.2		112.7	uadb_trhc_50603.txt
10	0-20000-0-48887	0	11	48887	3	PHAN THIET			0	108.1	10.933333333333335		20090326	20110104	1	0	63	NMS	239	Phan Thiet									['38', '85', '106', '107']							L.Haimberger	0	0.4		0.4	uadb_trhc_48887.txt
11	0-20000-0-97096	0	12	97096	3	POSO/KASIGUNCU			0	120.65694444444445	-1.4202777777777778		20180101	20211230	1	0	63	NMS	100	Poso									['38', '85', '106', '107']							L.Haimberger	0	9.3		3.1	uadb_windc_97096.txt
12	0-20000-0-55279	0	13	55279	3	BAINGOIN			0	90.01666666666668	31.36666666666667		19730429	19970702	1	0	63	NMS	47	Lasa									['38', '85', '106', '107']							L.Haimberger	0	0.5		217.0	uadb_trhc_55279.txt
13	0-20000-0-67975	0	14	67975	3	MASVINGO			0	30.86666666666667	-20.066666666666666		19811107	20100810	1	0	63	NMS	248	Masvingo									['38', '85', '106', '107']							L.Haimberger	0	0.5		4.1	uadb_trhc_67975.txt
14	0-20000-0-96091	0	15	96091	3	TANJUNG PINANG/KIJANG			0	104.53	0.9186111111111109		19820813	20110105	1	0	63	NMS	100	Kijang									['38', '85', '106', '107']							L.Haimberger	0	0.2		11.7	uadb_trhc_96091.txt
15	0-20000-0-74638	0	16	74638	3	MELROSE GUNNERY RANGE, NM.			0	-103.8	34.3		19700211	19730823	1	0	63	NMS	231	Portales									['38', '85', '106', '107']							L.Haimberger	0	0.0		44.8	uadb_windc_74638.txt
16	0-20000-0-41431	0	17	41360	3	HODEIDAH			0	42.98333333333333	14.75		19830801	19870119	1	0	63	NMS	243	Bajil									['38', '85', '106', '107']							L.Haimberger	0	0.4		47.9	uadb_windc_41360.txt
17	0-20000-0-68024	0	18	68024	3	GHANZI			0	21.65	-21.7		19730813	20050107	1	0	63	NMS	34	Ghanzi									['38', '85', '106', '107']							L.Haimberger	0	0.0		17.2	uadb_windc_68024.txt
18	0-20000-0-47131	0	19	47131	3	CHEONGJU			0	127.44055555555555	36.63916666666667		19800205	20000314	1	0	63	NMS	121	Seoul									['38', '85', '106', '107']							L.Haimberger	0	1.4		114.7	uadb_windc_47131.txt
19	0-20000-0-32540	0	20	32583	3	PETROPAVLOVSK-KAMCHATSKIJ (32540-0)			0	158.58333333333334	53.08333333333334		19490125	19561128	1	0	63	NMS	190	Petropavlovsk-Kamchatskiy									['38', '85', '106', '107']							L.Haimberger	0	12.3		7.3	uadb_trhc_32583.txt
20	0-20000-0-47101	0	21	47101	3	CHUNCHEON			0	127.73583333333332	37.9025		20120906	20200117	1	0	63	NMS	121	Seoul									['38', '85', '106', '107']							L.Haimberger	0	0.5		75.0	uadb_trhc_47101.txt
21	0-20000-0-74531	0	22	74531	3	AIR FORCE ACADEMY,  CO.			0	-104.81666666666666	38.96666666666667		19690222	19911027	1	0	63	NMS	231	Black Forest									['38', '85', '106', '107']							L.Haimberger	0	0.5		11.4	uadb_trhc_74531.txt
22	0-20000-0-64705	0	23	64705	3	BOUSSO			0	16.716666666666665	10.483333333333333		20121220	20121220	1	0	63	NMS	213	Bousso									['38', '85', '106', '107']							L.Haimberger	0	0.5		0.5	uadb_windc_64705.txt
23	0-20000-0-60360	0	24	60360	3	ANNABA			0	7.816666666666666	36.833333333333336		19620312	19911028	1	0	63	NMS	61	Tabarqah									['38', '85', '106', '107']							L.Haimberger	0	0.5		84.7	uadb_trhc_60360.txt
24	0-20700-0-76648	0	25	76648	3	COZUMEL                  			0	-86.95	20.516666666666666		19620305	19661219	1	0	63	NMS	156	Cozumel									['38', '85', '106', '107']							L.Haimberger	0	0.4		1.4	uadb_windc_76648.txt
25	0-20000-0-40255	0	26	40230	3	IRBED			0	35.85	32.55		19760207	19930526	1	0	63	NMS	112	Irbid									['38', '85', '106', '107']							L.Haimberger	0	0.0		0.6	uadb_windc_40230.txt
26	0-20000-0-03023	0	27	3023	3	SOUTH UIST RANGE			0	-7.385000000000002	57.3575		20180118	20211201	1	0	63	NMS	76	Inverness									['38', '85', '106', '107']							L.Haimberger	0	1.2		189.0	uadb_windc_3023.txt
27	0-20000-0-63887	0	28	63887	3	IRINGA			0	35.75	-7.666666666666668		19691016	19900625	1	0	63	NMS	227	Iringa									['38', '85', '106', '107']							L.Haimberger	0	6.6		12.0	uadb_windc_63887.txt
28	0-20000-0-71842	0	29	71842	3	SIOUX LOOKOUT A, ONT			0	-91.9	50.11666666666667		19620304	19621012	1	0	63	NMS	37	Kenora									['38', '85', '106', '107']							L.Haimberger	0	1.9		188.0	uadb_windc_71842.txt
29	0-20000-0-78547	0	30	78547	3	CHRISTIANSTED/ALEX. HAMILTON FIELD,  ST. CROIX			0	-64.8	17.7		19620304	19680217	1	0	63	NMS	238	Fajardo									['38', '85', '106', '107']							L.Haimberger	0	0.0		113.9	uadb_windc_78547.txt
30	0-20000-0-42734	0	31	42734	3	JAMNAGAR			0	70.08333333333333	22.45		19691020	20030925	1	0	63	NMS	104	Jamnagar									['38', '85', '106', '107']							L.Haimberger	0	5.8		2.3	uadb_windc_42734.txt
31	0-20000-0-56287	0	32	56287	3	YA'AN			0	103.0	29.98333333333333		19560820	19580531	1	0	63	NMS	47	Yaan									['38', '85', '106', '107']							L.Haimberger	0	5.2		4.6	uadb_windc_56287.txt
32	0-20000-0-60611	0	33	60611	3	IN-AMENAS			0	9.633333333333333	28.05		19730123	19960210	1	0	63	NMS	61	Gat									['38', '85', '106', '107']							L.Haimberger	0	0.3		346.1	uadb_trhc_60611.txt
33	0-20000-0-54843	0	34	54843	3	WEIFANG			0	119.18333333333334	36.766666666666666		19600618	19610314	1	0	63	NMS	47	Weifang									['38', '85', '106', '107']							L.Haimberger	0	9.3		2.0	uadb_trhc_54843.txt
34	0-20300-0-72497	0	35	72497	3	CHICO MUNI			0	-121.85	39.7833		19691009	19720523	1	0	63	NMS	231	Chico									['38', '85', '106', '107']							L.Haimberger	0	1.9		8.0	uadb_windc_72497.txt
35	0-20000-0-41624	0	36	41624	3	DERA ISMAIL KHAN			0	70.91666666666667	31.816666666666666		19870408	20110105	1	0	63	NMS	177	Dera Ismail Khan									['38', '85', '106', '107']							L.Haimberger	0	0.5		2.2	uadb_trhc_41624.txt
36	0-20000-0-47762	0	37	47762	3	SHIMONOSEKI			0	130.92638888888888	33.948611111111106		19380103	19410127	1	0	63	NMS	113	Shimonoseki									['38', '85', '106', '107']							L.Haimberger	0	0.4		1.8	uadb_windc_47762.txt
37	0-20000-0-30603	0	38	30603	3	ZIMA			0	102.05	53.93333333333333		19620810	19640917	1	0	63	NMS	190	Zima									['38', '85', '106', '107']							L.Haimberger	0	5.0		3.4	uadb_windc_30603.txt
38	0-20000-0-76750	0	39	76750	3	CHETUMAL, Q.R.			0	-88.32777777777777	18.500555555555557		19620309	19671229	1	0	63	NMS	156	Chetumal									['38', '85', '106', '107']							L.Haimberger	0	2.9		0.0	uadb_windc_76750.txt
39	0-20000-0-91190	0	40	91190	3	KAHULUI AIRPORT, MAUI, HAWAII			0	-156.43333333333334	20.9		19680616	19911029	1	0	63	NMS	231	Kahului									['38', '85', '106', '107']							L.Haimberger	0	0.3		4.2	uadb_trhc_91190.txt
40	0-20000-0-12150	0	41	12150	3	GDANSK-REBIECHOWO			0	18.47	54.38083333333334		19670513	19890123	1	0	63	NMS	178	Gdansk									['38', '85', '106', '107']							L.Haimberger	0	0.1		4.3	uadb_windc_12150.txt
41	0-20000-0-91176	0	42	91176	3	KANEOHE BAY (MCAS),  OAHU, HAWAII			0	-157.76666666666668	21.45		19810724	20080709	1	0	63	NMS	231	Kaneohe									['38', '85', '106', '107']							L.Haimberger	0	0.3		5.0	uadb_windc_91176.txt
42	0-20000-0-71579	0	43	71843	3	WINNIPEG THE FORKS, MAN			0	-97.12944444444445	49.88833333333334		20180604	20210817	1	0	63	NMS	37	Winnipeg									['38', '85', '106', '107']							L.Haimberger	0	0.9		2.7	uadb_trhc_71843.txt
43	0-20000-0-41950	0	44	41932	3	BARISAL			0	90.36666666666666	22.75		19671114	19820121	1	0	63	NMS	19	Barisal									['38', '85', '106', '107']							L.Haimberger	0	3.3		0.3	uadb_windc_41932.txt
44	0-20000-0-72344	0	45	72344	3	FORT SMITH/MUN., AR.			0	-94.36666666666666	35.333333333333336		19630415	19640216	1	0	63	NMS	231	Fort Smith									['38', '85', '106', '107']							L.Haimberger	0	9.8		14.5	uadb_trhc_72344.txt
45	0-20000-0-67561	0	46	67561	3	NDOLA			0	28.65	-13.0		19700308	19851114	1	0	63	NMS	247	Ndola									['38', '85', '106', '107']							L.Haimberger	0	0.0		4.1	uadb_windc_67561.txt
46	0-20000-0-87374	0	47	87374	3	PARANA AERO			0	-60.48416666666667	-31.79027777777777		19460101	19571012	1	0	63	NMS	10	Parana									['38', '85', '106', '107']							L.Haimberger	0	1.2		6.8	uadb_windc_87374.txt
47	0-20500-0-94109	0	48	71885	3	CARMI			0	-119.08	49.5		19620312	19620910	1	0	63	NMS	37	Penticton									['38', '85', '106', '107']							L.Haimberger	0	5.8		42.3	uadb_windc_71885.txt
48	0-20600-0-87127	0	49	87127	3	Termas de Rio Hondo, Argentina			0	-64.88	-27.45		19850123	19971228	1	0	63	NMS	10	Santiago Del Estero									['38', '85', '106', '107']							L.Haimberger	0	0.0		72.0	uadb_windc_87127.txt
49	0-20000-0-94653	0	50	94653	3	CEDUNA AMO			0	133.6975	-32.12972222222222		20180101	20211227	1	0	63	NMS	13	Flinders									['38', '85', '106', '107']							L.Haimberger	0	0.2		88.4	uadb_windc_94653.txt
50	0-20000-0-47101	0	51	47101	3	CHUNCHEON			0	127.73583333333332	37.9025		20120906	20200117	1	0	63	NMS	121	Seoul									['38', '85', '106', '107']							L.Haimberger	0	0.5		75.0	uadb_windc_47101.txt
51	0-20000-0-63971	0	52	63971	3	MTWARA			0	40.18333333333333	-10.266666666666667		19570701	19941208	1	0	63	NMS	227	Mtwara									['38', '85', '106', '107']							L.Haimberger	0	7.2		0.5	uadb_windc_63971.txt
52	0-20000-0-95805	0	53	94805	3	CAPE BORDA			0	136.59583333333333	-35.755		19710616	19781102	1	0	63	NMS	13	Port Lincoln									['38', '85', '106', '107']							L.Haimberger	0	2.2		136.2	uadb_windc_94805.txt
53	0-20000-0-59358	0	54	46742	3	TAINAN			0	120.21666666666668	23.0		19610504	19640930	1	0	63	NMS	226	Tainan									['38', '85', '106', '107']							L.Haimberger	0	2.2		3.4	uadb_windc_46742.txt
54	0-20300-0-62056	0	55	62056	3	SHAHAT			0	21.883000000000003	32.8		19630808	19850604	1	0	63	NMS	135	Darnah									['38', '85', '106', '107']							L.Haimberger	0	3.8		74.2	uadb_windc_62056.txt
55	0-20300-0-56533	0	56	56533	3	LA WANG/TZUKEI			0	98.3833	27.6667		19590320	19611027	1	0	63	NMS	47	Tezu									['38', '85', '106', '107']							L.Haimberger	0	0.5		219.8	uadb_trhc_56533.txt
56	0-20000-0-38599	0	57	38599	3	KHUDJANT			0	69.73333333333333	40.21666666666667		19730205	19780207	1	0	63	NMS	217	Gafurov									['38', '85', '106', '107']							L.Haimberger	0	0.5		2.1	uadb_windc_38599.txt
57	0-20000-0-12560	0	58	12560	3	KATOWICE-MUCHOWEC			0	19.032777777777774	50.24055555555557		19670801	19710924	1	0	63	NMS	178	Katowice									['38', '85', '106', '107']							L.Haimberger	0	1.2		3.2	uadb_windc_12560.txt
58	0-20000-0-08190	0	59	8181	3	BARCELONA SERVEI			0	2.118055555555556	41.38444444444443		19680705	19720126	1	0	63	NMS	67	El Prat De Llobregat									['38', '85', '106', '107']							L.Haimberger	0	12.0		5.5	uadb_windc_8181.txt
