primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
0-20000-0-76679	5	0	-1	-1	AEROP. INTERNACIONAL MEXICO, D.F.	-1	-1	0	-99.2	19.4	NA	1958-01-01	1978-12-31	1	0	63	NMS	-1	Mexico	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-99.73009752870863	-98.66990247129138	18.9	19.9	S. Schroeder	0
0-20000-0-76692	5	1	-1	-1	HACIENDA YLANG YLANG VERACRUZ, VER.	-1	-1	0	-96.12	19.18	NA	1958-01-01	1978-12-31	1	0	63	NMS	-1	Veracruz	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-96.64938560811515	-95.59061439188486	18.68	19.68	S. Schroeder	0
0-20000-0-11934	5	2	-1	-1	POPRAD/TATRY	-1	-1	0	20.25	49.07	NA	1958-01-01	1977-12-08	1	0	63	NMS	-1	Poprad	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	19.486800255771314	21.013199744228686	48.57	49.57	S. Schroeder	0
0-20000-0-10184	5	3	-1	-1	GREIFSWALD	-1	-1	0	13.38	54.1	NA	1958-01-01	1975-06-30	1	0	63	NMS	-1	Greifswald	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	12.527299503026722	14.23270049697328	53.6	54.6	S. Schroeder	0
0-20000-0-10200	5	4	-1	-1	EMDEN-FLUGPLATZ	-1	-1	0	7.22	53.37	NA	1958-01-01	1974-01-10	1	0	63	NMS	-1	Emden	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	6.381980949438671	8.05801905056133	52.87	53.87	S. Schroeder	0
0-20000-0-10339	5	5	-1	-1	HANNOVER (RADAR)	-1	-1	0	9.7	52.47	NA	1958-01-01	1978-12-31	1	0	63	NMS	-1	Langenhagen	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	8.87922014487079	10.52077985512921	51.97	52.97	S. Schroeder	0
0-20000-0-10035	5	6	-1	-1	SCHLESWIG (10035-0)	-1	-1	0	9.55	54.53	NA	1958-01-01	1978-12-31	1	0	63	NMS	-1	Schleswig	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	8.688341965498884	10.411658034501118	54.03	55.03	S. Schroeder	0
0-20000-0-10384	5	7	-1	-1	BERLIN-TEMPELHOF	-1	-1	0	13.4	52.48	NA	1958-01-01	1978-12-31	1	0	63	NMS	-1	Berlin	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	12.5790336011578	14.2209663988422	51.98	52.98	S. Schroeder	0
0-20001-0-10393	5	8	-1	-1	LINDENBERG (10393-1)	-1	-1	0	14.12	52.22	NA	1958-01-01	1975-06-30	1	0	63	NMS	-1	Fürstenwalde	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	13.303848292663611	14.936151707336387	51.72	52.72	S. Schroeder	0
0-20000-0-10454	5	9	-1	-1	WERNIGERODE	-1	-1	0	10.77	51.85	NA	1958-01-01	1968-01-28	1	0	63	NMS	-1	Wernigerode	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	9.960574886210845	11.579425113789155	51.35	52.35	S. Schroeder	0
0-20000-0-10488	5	10	-1	-1	DRESDEN-KLOTZSCHE	-1	-1	0	13.68	51.12	NA	1958-01-01	1975-06-30	1	0	63	NMS	-1	Radebeul	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	12.883430171522726	14.476569828477274	50.62	51.62	S. Schroeder	0
-1	-1	11	-1	-1		-1	-1	0	131.6	-30.2	NA	1958-01-01	1973-10-21	1	0	63	NMS	-1	Flinders	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	131.02148029900937	132.17851970099062	-30.7	-29.7	S. Schroeder	0
0-20000-0-89564	5	12	-1	-1	MAWSON	-1	-1	0	62.9	-67.6	NA	1958-01-01	1973-11-29	1	0	63	NMS	-1	Port Alfred	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	61.58790640514022	64.21209359485978	-68.1	-67.1	S. Schroeder	0
0-20000-0-78807	5	13	-1	-1	COROZAL OESTE	-1	-1	0	-79.56	8.97	NA	1958-01-18	1971-03-31	1	0	63	NMS	-1	Panamá	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-80.06619065394362	-79.05380934605638	8.47	9.47	S. Schroeder	0
