primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	station_configuration_code
[]	-1	0	6:104068	[]		[]	[]	0	-19.1	58.700001	NA	1971-03-10	1971-03-10	1	0	63	NMS	[]	Kópavogur	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	-20.06242852845956	-18.137571471540443	58.200001	59.200001	S. Schroeder	0	13
[]	-1	1	1:21146	[]		[]	[]	0	148.580002	76.650002	NA	1957-02-09	1957-05-28	1	0	63	NMS	[]	Udachnyy	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	146.41455185858615	150.74545214141386	76.150002	77.150002	S. Schroeder	0	13
[]	-1	2	6:100028	[]		[]	[]	0	113.099998	18.299999	NA	1972-08-15	1973-12-08	1	0	63	NMS	[]	Wanning	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	112.57336372602224	113.62663227397776	17.799999	18.799999	S. Schroeder	0	13
[]	-1	3	6:100777	[]		[]	[]	0	77.699997	-52.599998	NA	1971-02-20	1971-02-20	1	0	63	NMS	[]	Busselton	NA	NA	0	63	29	1	NA	NA	[1, 2, 29]	NA	[]	76.87678352249348	78.52321047750651	-53.099998	-52.099998	S. Schroeder	0	13
0-20500-0-62702	2	4	2:62702	[]	TONGATABU	[]	[]	0	-175.179993	-21.129999	NA	1942-06-12	1942-12-31	1	0	63	NMS	[]	Apia	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	-175.71603374255722	-174.64395225744278	-21.629999	-20.629999	S. Schroeder	0	8
[]	-1	5	6:104114	[]		[]	[]	0	151.0	47.099998	NA	1971-11-23	1971-11-23	1	0	63	NMS	[]	Nemuro	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	150.26548457081577	151.73451542918423	46.599998	47.599998	S. Schroeder	0	13
[]	-1	6	6:100797	[]		[]	[]	0	79.699997	-38.5	NA	1971-07-31	1971-07-31	1	0	63	NMS	[]	Mahébourg	NA	NA	0	63	29	1	NA	NA	[1, 2, 29]	NA	[]	79.0611076712573	80.33888632874269	-39.0	-38.0	S. Schroeder	0	13
[]	-1	7	6:100029	[]		[]	[]	0	-163.399994	20.1	NA	1972-12-05	1973-06-18	1	0	63	NMS	[]	Kapaa	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	-163.9324219207169	-162.86756607928308	19.6	20.6	S. Schroeder	0	13
[]	-1	8	1:25621	[]		[]	[]	0	158.899994	64.0	NA	1962-06-09	1962-09-13	1	0	63	NMS	[]	Magadan	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	157.75940798364758	160.0405800163524	63.5	64.5	S. Schroeder	0	8
0-20500-0-80301	2	9	2:80301	[]	NOEMFOOR IS AAF	[]	[]	0	134.820007	-0.95	NA	1944-07-15	1945-01-31	1	0	63	NMS	[]	Manokwari	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	134.31993826282093	135.32007573717908	-1.45	-0.44999999999999996	S. Schroeder	0	8
[]	-1	10	6:100042	[]		[]	[]	0	-4.2	64.800003	NA	1971-08-16	1971-08-16	1	0	63	NMS	[]	Tórshavn	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	-5.374317458693955	-3.025682541306045	64.300003	65.300003	S. Schroeder	0	13
[]	-1	11	1:25902	[]		[]	[]	0	151.699997	60.700001	NA	1962-05-10	1963-06-17	1	0	63	NMS	[]	Magadan	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	150.67830115912153	152.72169284087846	60.200001	61.200001	S. Schroeder	0	13
0-20500-0-80302	2	12	2:80302	[]	WAKDE	[]	[]	0	139.0	-1.93	NA	1944-05-26	1945-09-21	1	0	63	NMS	[]	Vanimo	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	138.4997161984694	139.5002838015306	-2.4299999999999997	-1.43	S. Schroeder	0	8
[]	-1	13	6:100050	[]		[]	[]	0	131.600006	-30.200001	NA	1955-05-10	1973-09-25	1	0	63	NMS	[]	Flinders	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	131.02148629313274	132.17852570686728	-30.700001	-29.700001	S. Schroeder	0	13
[]	-1	14	6:100815	[]		[]	[]	0	-81.5	-60.400002	NA	1971-02-23	1971-02-23	1	0	63	NMS	[]	Ushuaia	NA	NA	0	63	29	1	NA	NA	[1, 2, 29]	NA	[]	-82.51226493348501	-80.48773506651499	-60.900002	-59.900002	S. Schroeder	0	13
[]	-1	15	1:29854	[]		[]	[]	0	89.0	53.0	NA	1965-09-02	1967-03-21	1	0	63	NMS	[]	Sheregesh	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	88.16917992943876	89.83082007056124	52.5	53.5	S. Schroeder	0	8
[]	-1	16	6:104141	[]		[]	[]	0	-33.900002	37.599998	NA	1971-07-06	1971-07-06	1	0	63	NMS	[]	Angra	NA	NA	0	63	29	1	NA	NA	[2, 29]	NA	[]	-34.531084320402115	-33.268919679597886	37.099998	38.099998	S. Schroeder	0	13
0-20500-0-80303	2	17	2:80303	[]	OWI ISLAND	[]	[]	0	136.199997	-1.23	NA	1944-06-22	1944-11-05	1	0	63	NMS	[]	Biak	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	135.6998817639485	136.7001122360515	-1.73	-0.73	S. Schroeder	0	8
[]	-1	18	6:100839	[]		[]	[]	0	83.900002	-31.6	NA	1971-08-05	1971-08-05	1	0	63	NMS	[]	Mahébourg	NA	NA	0	63	29	1	NA	NA	[1, 2, 29]	NA	[]	83.31295939284908	84.48704460715092	-32.1	-31.1	S. Schroeder	0	13
[]	-1	19	6:104155	[]		[]	[]	0	-45.0	15.0	NA	1972-07-28	1972-07-28	1	0	63	NMS	[]	Cayenne	NA	NA	0	63	29	1	NA	NA	[2, 29]	NA	[]	-45.51763809020504	-44.48236190979496	14.5	15.5	S. Schroeder	0	13
[]	-1	20	6:100800	[]		[]	[]	0	154.399994	-20.9	NA	1972-05-08	1972-05-08	1	0	63	NMS	[]	Yeppoon	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	153.86477926517077	154.93520873482922	-21.4	-20.4	S. Schroeder	0	13
[]	-1	21	6:104119	[]		[]	[]	0	127.0	31.0	NA	1972-07-13	1972-07-13	1	0	63	NMS	[]	Fukue	NA	NA	0	63	29	1	NA	NA	[1, 2, 29]	NA	[]	126.41668330139234	127.58331669860766	30.5	31.5	S. Schroeder	0	13
[]	-1	22	6:100058	[]		[]	[]	0	107.199997	18.700001	NA	1972-10-15	1973-05-08	1	0	63	NMS	[]	Ha Tinh	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	106.67213110295377	107.72786289704622	18.200001	19.200001	S. Schroeder	0	13
0-20500-0-80304	2	23	2:80304	[]	BIAK ISLAND	[]	[]	0	136.229996	-1.17	NA	1944-06-05	1944-06-19	1	0	63	NMS	[]	Biak	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	135.72989173418782	136.73010026581218	-1.67	-0.6699999999999999	S. Schroeder	0	8
[]	-1	24	6:100844	[]		[]	[]	0	84.400002	-62.299999	NA	1971-03-07	1971-03-07	1	0	63	NMS	[]	Albany	NA	NA	0	63	29	1	NA	NA	[1, 2, 29]	NA	[]	83.32436784001612	85.47563615998388	-62.799999	-61.799999	S. Schroeder	0	13
[]	-1	25	6:104258	[]		[]	[]	0	-58.5	15.6	NA	1973-09-03	1973-09-03	1	0	63	NMS	[]	Le François	NA	NA	0	63	29	1	NA	NA	[2, 29]	NA	[]	-59.01912316491121	-57.98087683508879	15.1	16.1	S. Schroeder	0	13
