primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	station_configuration_code
0-20000-0-43194	5	0	4208	4	GOA/DABOLIM AIRPORT	[]	[]	0	73.81999969482422	15.380000114440918	NA	1956-06-21	1961-11-30	1	0	63	NMS	[]	Mormugao	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	73.30142865011159	74.33857073953685	14.880000114440918	15.880000114440918	S. Schroeder	0	8
0-20000-0-07005	5	1	[]	[]	ABBEVILLE	[]	[]	0	1.8339999914169312	50.1349983215332	NA	1920-07-01	1921-03-31	1	0	63	NMS	[]	Abbeville	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	1.053945546590887	2.6140544362429754	49.6349983215332	50.6349983215332	S. Schroeder	0	8
0-20000-0-07110	5	2	[]	[]	BREST-GUIPAVAS	[]	[]	0	-4.4120001792907715	48.444000244140625	NA	1948-01-29	1958-12-31	1	0	63	NMS	[]	Guipavas	NA	NA	0	63	29	1	NA	NA	[2, 29]	NA	[]	-5.165748101090279	-3.6582522574912635	47.944000244140625	48.944000244140625	S. Schroeder	0	13
0-20000-0-07145	5	3	[]	[]	TRAPPES	[]	[]	0	2.009000062942505	48.77399826049805	NA	1948-01-02	1958-12-31	1	0	63	NMS	[]	Trappes	NA	NA	0	63	29	1	NA	NA	[2, 29]	NA	[]	1.2503102385350402	2.7676898873499693	48.27399826049805	49.27399826049805	S. Schroeder	0	13
0-20000-0-07149	5	4	[]	[]	ORLY	[]	[]	0	2.384000062942505	48.715999603271484	NA	1921-03-01	1921-03-31	1	0	63	NMS	[]	Athis-Mons	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	1.626185312306712	3.1418148135782977	48.215999603271484	49.215999603271484	S. Schroeder	0	8
0-20000-0-07150	5	5	[]	[]	LE BOURGET	[]	[]	0	2.427000045776367	48.96699905395508	NA	1920-07-01	1948-11-20	1	0	63	NMS	[]	Bonneuil	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	1.6653780143549617	3.1886220771977727	48.46699905395508	49.46699905395508	S. Schroeder	0	8
0-20000-0-07169	5	6	[]	[]	SAINT-DIZIER	[]	[]	0	4.9029998779296875	48.63100051879883	NA	1921-01-02	1921-03-31	1	0	63	NMS	[]	Saint-Dizier	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	4.14646253961552	5.659537216243855	48.13100051879883	49.13100051879883	S. Schroeder	0	8
0-20000-0-07180	5	7	[]	[]	NANCY-ESSEY	[]	[]	0	6.2210001945495605	48.6870002746582	NA	1954-06-16	1958-12-31	1	0	63	NMS	[]	Saint-Max	NA	NA	0	63	29	1	NA	NA	[2, 29]	NA	[]	5.463621933448222	6.978378455650899	48.1870002746582	49.1870002746582	S. Schroeder	0	13
0-20000-0-07190	5	8	[]	[]	STRASBOURG-ENTZHEIM	[]	[]	0	7.639999866485596	48.54899978637695	NA	1923-05-02	1939-09-02	1	0	63	NMS	[]	Lingolsheim	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	6.884689232117892	8.3953105008533	48.04899978637695	49.04899978637695	S. Schroeder	0	8
0-20000-0-07280	5	9	[]	[]	DIJON-LONGVIC	[]	[]	0	5.0879998207092285	47.266998291015625	NA	1920-12-04	1933-12-31	1	0	63	NMS	[]	Chenôve	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	4.351170127976902	5.824829513441555	46.766998291015625	47.766998291015625	S. Schroeder	0	8
0-20000-0-07335	5	10	[]	[]	POITIERS-BIARD	[]	[]	0	0.3140000104904175	46.59299850463867	NA	1921-03-15	1921-03-31	1	0	63	NMS	[]	Poitiers	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	-0.41361531249502426	1.041615333475859	46.09299850463867	47.09299850463867	S. Schroeder	0	8
