primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
0-20000-0-78862	5	0	ACM00078861	3	VC BIRD INT'L AIRPORT ANTIGUA	-1	-1	0	-61.783	17.117	NA	1947-01-01	1993-12-31	1	0	63	NMS	-1	Sainte-Rose	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-62.30617359279054	-61.25982640720946	16.617	17.617	S. Schroeder	0
0-20000-0-41217	5	1	AEM00041217	3	ABU DHABI INTERNATIONAL AIRPORT	-1	-1	0	54.65	24.433	NA	1983-01-01	2021-12-31	1	0	63	NMS	-1	Abu Dhabi	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	54.10081835565092	55.199181644349075	23.933	24.933	S. Schroeder	0
0-20000-0-41194	5	2	AEXUAE05467	3	DUBAI WORLD CENTRAL-DWC	-1	-1	0	55.37	25.25	NA	1935-01-01	1942-12-31	1	0	63	NMS	-1	Dubai	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	54.81718098789872	55.92281901210127	24.75	25.75	S. Schroeder	0
0-20000-0-40911	5	3	AFM00040911	3	MAZAR-I-SHARIF	-1	-1	0	67.2	36.7	NA	2010-01-01	2014-12-31	1	0	63	NMS	-1	Kholm	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	66.57638414986825	67.82361585013176	36.2	37.2	S. Schroeder	0
0-20000-0-40913	5	4	AFM00040913	3	KUNDUZ	-1	-1	0	68.917	36.667	NA	2010-01-01	2013-12-31	1	0	63	NMS	-1	Qunduz	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	68.29365165386508	69.54034834613492	36.167	37.167	S. Schroeder	0
0-20000-0-40938	5	5	AFM00040938	3	HERAT	-1	-1	0	62.217	34.217	NA	1978-01-01	1988-12-31	1	0	63	NMS	-1	Herat	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	61.612342027741626	62.82165797225837	33.717	34.717	S. Schroeder	0
0-20000-0-40948	5	6	AFM00040948	3	KABUL AIRPORT	-1	-1	0	69.217	34.55	NA	1961-01-01	2021-12-31	1	0	63	NMS	-1	Kabul	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	68.60993246551146	69.82406753448853	34.05	35.05	S. Schroeder	0
0-20000-0-40990	5	7	AFM00040990	3	KANDAHAR AIRPORT	-1	-1	0	65.85	31.5	NA	1976-01-01	2014-12-31	1	0	63	NMS	-1	Qandahar	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	65.26358615169299	66.436413848307	31.0	32.0	S. Schroeder	0
0-20000-0-60355	5	8	AGM00060355	3	SKIKDA	-1	-1	0	6.9	36.883	NA	1974-01-01	1976-12-31	1	0	63	NMS	-1	Constantine	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	6.274892771881293	7.525107228118708	36.383	37.383	S. Schroeder	0
0-20000-0-60360	5	9	AGM00060360	3	GUELMA	-1	-1	0	7.817	36.833	NA	1973-01-01	2008-12-31	1	0	63	NMS	-1	Tabarqah	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	7.192301592935637	8.441698407064363	36.333	37.333	S. Schroeder	0
0-20000-0-60390	5	10	AGM00060390	3	DAR-EL-BEIDA	-1	-1	0	3.217	36.683	NA	1948-01-01	2021-12-31	1	0	63	NMS	-1	Algiers	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	2.5935220094533484	3.8404779905466517	36.183	37.183	S. Schroeder	0
