primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
0-20000-0-01005	5	0	1005	0	ISFJORD RADIO	-1	-1	0	13.63	78.07	NA	1957-09-19	1961-06-18	1	0	63	NMS	-1	Alta	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	11.21122843494943	16.048771565050572	77.57	78.57	S. Schroeder	0
0-20000-0-03066	5	1	3066	0	KINLOSS	-1	-1	0	356.43	57.65	NA	2002-04-03	2006-03-31	1	0	63	NMS	-1	Elgin	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	355.4955773619864	-2.6355773619864067	57.15	58.15	S. Schroeder	0
0-20000-0-03091	5	2	3091	0	DYCE	-1	-1	0	357.8	57.2	NA	1989-11-09	2000-01-26	1	0	63	NMS	-1	Aberdeen	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	356.8769938677152	-1.2769938677151913	56.7	57.7	S. Schroeder	0
0-20000-0-03807	5	3	3807	0	CULDROSE	-1	-1	0	354.5	50.0	NA	1948-01-01	1948-11-30	1	0	63	NMS	-1	Penzance	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	353.72213808656977	-4.722138086569771	49.5	50.5	S. Schroeder	0
0-20000-0-10185	5	4	10185	0	GREIFSWALD	-1	-1	0	13.45	54.1	NA	1950-01-04	1957-06-30	1	0	63	NMS	-1	Greifswald	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	12.59729950302672	14.302700496973278	53.6	54.6	S. Schroeder	0
0-20000-0-10672	5	5	10672	0	NUERNBERG	-1	-1	0	10.98	49.58	NA	1949-02-02	1956-12-31	1	0	63	NMS	-1	Erlangen	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	10.208854046596661	11.75114595340334	49.08	50.08	S. Schroeder	0
0-20000-0-10934	5	6	10934	0	GUETTINGEN	-1	-1	0	9.48	47.65	NA	1951-04-04	1954-03-19	1	0	63	NMS	-1	Friedrichshafen	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	8.73778330038758	10.22221669961242	47.15	48.15	S. Schroeder	0
0-20000-0-12577	5	7	12577	0	TARNOW	-1	-1	0	21.43	50.28	NA	1957-04-01	1966-07-31	1	0	63	NMS	-1	Mielec	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	20.647571895195835	22.212428104804165	49.78	50.78	S. Schroeder	0
0-20000-0-16037	5	8	16037	0	AVIANO (16037-0)	-1	-1	0	12.6	46.03	NA	2010-07-27	2011-11-10	1	0	63	NMS	-1	Porcia	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	11.87983115420603	13.320168845793969	45.53	46.53	S. Schroeder	0
0-20000-0-30700	5	9	30700	0	ORLIK	-1	-1	0	100.35	52.17	NA	1976-06-20	2002-08-24	1	0	63	NMS	-1	Cheremkhovo	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	99.53476580842268	101.16523419157731	51.67	52.67	S. Schroeder	0
-1	-1	10	31883	-1		-1	-1	0	134.97	45.88	NA	1976-05-28	1998-03-11	1	0	63	NMS	-1	Luchegorsk	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	134.2517778409376	135.6882221590624	45.38	46.38	S. Schroeder	0
0-20000-0-33506	5	11	33506	0	Poltava	-1	-1	0	34.55	49.6	NA	1946-11-05	1949-09-03	1	0	63	NMS	-1	Poltava	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	33.778537807310286	35.32146219268971	49.1	50.1	S. Schroeder	0
0-20000-0-33587	5	12	33587	0	Uman	-1	-1	0	30.23	48.77	NA	1950-01-04	1950-10-31	1	0	63	NMS	-1	Zhashkiv	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	29.471370590467316	30.988629409532685	48.27	49.27	S. Schroeder	0
0-20000-0-37004	5	13	37004	0	GELENDZHIK	-1	-1	0	38.08	44.57	NA	1977-04-22	2002-12-31	1	0	63	NMS	-1	Gelendzhik	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	37.37814079798787	38.78185920201213	44.07	45.07	S. Schroeder	0
0-20000-0-40597	5	14	40597	0	ADEN	-1	-1	0	45.02	12.83	NA	1948-06-01	1982-08-09	1	0	63	NMS	-1	Aden	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	44.507196958309386	45.53280304169062	12.33	13.33	S. Schroeder	0
0-20000-0-41920	5	15	41920	0	DHAKA	-1	-1	0	90.38	23.77	NA	1962-07-01	1963-01-31	1	0	63	NMS	-1	Dhaka	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	89.83365392000451	90.92634607999548	23.27	24.27	S. Schroeder	0
0-20000-0-42411	5	16	42411	0	GUWAHATI	-1	-1	0	91.75	26.18	NA	1956-09-01	1963-09-30	1	0	63	NMS	-1	Guwahati	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	91.19284257327479	92.30715742672521	25.68	26.68	S. Schroeder	0
0-20000-0-42516	5	17	42516	0	SHILLONG	-1	-1	0	91.88	25.57	NA	1953-04-27	1955-07-21	1	0	63	NMS	-1	Shillong	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	91.32571231122895	92.43428768877104	25.07	26.07	S. Schroeder	0
0-20000-0-48858	5	18	48858	0	PLEIKU AB	-1	-1	0	108.01	14.0	NA	1966-09-20	1971-11-04	1	0	63	NMS	-1	Plây Cu	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	107.49469318532506	108.52530681467495	13.5	14.5	S. Schroeder	0
0-20000-0-57046	5	19	57046	0	HUA SHAN	-1	-1	0	110.12	34.48	NA	1973-01-18	1985-04-29	1	0	63	NMS	-1	Weinan	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	109.51344227502359	110.72655772497642	33.98	34.98	S. Schroeder	0
0-20000-0-58825	5	20	58825	0	YONG'AN	-1	-1	0	117.6	26.3	NA	1971-04-17	1975-02-17	1	0	63	NMS	-1	Sanming	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	117.04226707392978	118.15773292607021	25.8	26.8	S. Schroeder	0
0-20000-0-58912	5	21	58912	0	CHANGTING	-1	-1	0	116.35	25.87	NA	1960-06-01	1961-03-14	1	0	63	NMS	-1	Yongan	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	115.79431253937875	116.90568746062124	25.37	26.37	S. Schroeder	0
0-20000-0-61900	5	22	61900	0	WIDE AWAKE FIELD (ASCENSION IS.)	-1	-1	0	345.27	-7.97	NA	1943-10-05	1946-02-28	1	0	63	NMS	-1	Harper	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	344.765123296898	-14.225123296898062	-8.469999999999999	-7.47	S. Schroeder	0
0-20000-0-72537	5	23	72537	0	DETROIT/METROPOLITAN, MI.	-1	-1	0	276.65	42.22	NA	1972-09-08	1973-02-27	1	0	63	NMS	-1	Romulus	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	275.9748444463172	-82.67484444631725	41.72	42.72	S. Schroeder	0
0-20000-0-76491	5	24	76491	0	CIUDAD VICTORIA, TAMPS.	-1	-1	0	260.89	23.73	NA	1950-04-01	1952-01-15	1	0	63	NMS	-1	González	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	260.34382172372256	-98.56382172372258	23.23	24.23	S. Schroeder	0
0-20000-0-88946	5	25	88946	0	SOUTH THULE IS.	-1	-1	0	332.74	-59.45	NA	1980-06-05	1981-12-30	1	0	63	NMS	-1	Ushuaia	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	331.7563097474788	-26.276309747478763	-59.95	-58.95	S. Schroeder	0
0-20000-0-89051	5	26	89051	0	BASE ESPERANZA	-1	-1	0	303.72	-63.46	NA	1966-11-15	1973-12-10	1	0	63	NMS	-1	Ushuaia	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	302.60098738257216	-55.1609873825721	-63.96	-62.96	S. Schroeder	0
0-20000-0-89593	5	27	89593	0	PIONERSKAVA	-1	-1	0	95.05	-69.73	NA	1958-03-13	1958-12-31	1	0	63	NMS	-1	Albany	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	93.60676750043483	96.49323249956517	-70.23	-69.23	S. Schroeder	0
0-20000-0-91233	5	28	91232,91233	0	SAIPAN (CG), MARIANA IS.	-1	-1	0	145.7	15.13	NA	1967-02-12	1992-03-29	1	0	63	NMS	-1	Koror	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	145.18204568266538	146.2179543173346	14.63	15.63	S. Schroeder	0
0-20000-0-91930	5	29	91930	0	BORA-BORA-MOTU-AERO	-1	-1	0	208.25	-16.48	NA	1968-04-17	1991-10-29	1	0	63	NMS	-1	Faaa	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	207.72857942571187	-151.22857942571187	-16.98	-15.98	S. Schroeder	0
-1	-1	30	94650	3	MARALINGA	-1	-1	0	131.6	-30.1	NA	1955-09-04	1964-02-18	1	0	63	NMS	-1	Flinders	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	131.02206648673044	132.17793351326955	-30.6	-29.6	S. Schroeder	0
0-20000-0-01001	5	31	1001	0	JAN MAYEN (1001-0)	-1	-1	0	351.33	70.95	NA	1956-01-01	2019-03-31	1	0	63	NMS	-1	Akureyri	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	349.7981051104504	-7.138105110450454	70.45	71.45	S. Schroeder	0
0-20000-0-01004	5	32	1004	0	NY-ALESUND	-1	-1	0	11.93	78.92	NA	1993-04-13	2019-03-31	1	0	63	NMS	-1	Alta	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	9.328264587939046	14.531735412060954	78.42	79.42	S. Schroeder	0
0-20000-0-01010	5	33	1010	0	ANDOYA (1010-0)	-1	-1	0	16.13	69.32	NA	2017-12-13	2019-03-31	1	0	63	NMS	-1	Harstad	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	14.7141641792167	17.545835820783296	68.82	69.82	S. Schroeder	0
0-20000-0-01020	5	34	1020	0	KINNVIKA STATION	-1	-1	0	18.3	80.05	NA	1957-09-18	1958-08-15	1	0	63	NMS	-1	Alta	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	15.406292331570697	21.193707668429305	79.55	80.55	S. Schroeder	0
0-20000-0-01028	5	35	1028	0	BJORNOYA (1028-0)	-1	-1	0	19.02	74.52	NA	1957-01-01	2019-03-31	1	0	63	NMS	-1	Alta	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	17.146653153567076	20.893346846432923	74.02	75.02	S. Schroeder	0
0-20000-0-01030	5	36	1030	0	KISTEFJELL	-1	-1	0	19.02	69.7	NA	1949-02-19	1961-06-23	1	0	63	NMS	-1	Tromsø	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	17.57881055252569	20.461189447474307	69.2	70.2	S. Schroeder	0
0-20000-0-01152	5	37	1152	0	BODO VI	-1	-1	0	14.37	67.27	NA	1957-07-01	2014-11-25	1	0	63	NMS	-1	Bodø	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	13.075967400231276	15.664032599768722	66.77	67.77	S. Schroeder	0
0-20000-0-01241	5	38	1241	0	ORLAND III (1241-0)	-1	-1	0	9.4	63.7	NA	1959-01-01	2019-03-31	1	0	63	NMS	-1	Trondheim	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	8.271513178119472	10.528486821880529	63.2	64.2	S. Schroeder	0
0-20000-0-01384	5	39	1384	0	OSLO/GARDERMOEN	-1	-1	0	11.08	60.2	NA	1949-01-12	2001-04-01	1	0	63	NMS	-1	Jessheim	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	10.07391107138453	12.086088928615471	59.7	60.7	S. Schroeder	0
0-20000-0-01400	5	40	1400	0	EKOFISK (1400-0)	-1	-1	0	3.22	56.53	NA	1994-02-01	2019-03-31	1	0	63	NMS	-1	Mandal	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	2.3133821598855633	4.126617840114437	56.03	57.03	S. Schroeder	0
0-20000-0-01415	5	41	1415	0	STAVANGER/SOLA (1415-0)	-1	-1	0	5.63	58.88	NA	1949-06-16	2019-03-31	1	0	63	NMS	-1	Stavanger	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	4.662568000374332	6.597431999625668	58.38	59.38	S. Schroeder	0
0-20000-0-01492	5	42	1492	0	OSLO-BLINDERN (1492-0)	-1	-1	0	10.72	59.95	NA	2001-05-04	2018-01-03	1	0	63	NMS	-1	Oslo	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	9.72150883847286	11.718491161527142	59.45	60.45	S. Schroeder	0
0-20000-0-02185	5	43	2185,2057	0	LULEA-KALLAX (2185-0)	-1	-1	0	22.13	65.55	NA	1963-08-14	2019-03-28	1	0	63	NMS	-1	Luleå	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	20.921975802213353	23.338024197786645	65.05	66.05	S. Schroeder	0
0-20000-0-02225	5	44	2062,2225	0	OSTERSUND FROSON	-1	-1	0	14.5	63.18	NA	1950-06-17	2005-06-18	1	0	63	NMS	-1	Östersund	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	13.391817162158217	15.608182837841783	62.68	63.68	S. Schroeder	0
0-20000-0-02313	5	45	2313	0	VISINGSO	-1	-1	0	14.4	58.1	NA	2013-07-23	2014-06-27	1	0	63	NMS	-1	Tranås	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	13.453815805655525	15.346184194344476	57.6	58.6	S. Schroeder	0
