ri_name	vapor_name	wmo_C2011_code	ri_long_name
comp001swe	BYG		Jaumotte Geofysikk Institute Bergen 
comp001nor	BYG		Jaumotte Geofysikk Institute Bergen 
comp002smi	S03		Switzerland model III radiosonde 
comp002fin	VU_,V_		Vaisala
comp002us1	UB7,UB9,UBN,UB_		USWB Bendix Model
comp002us2	UB7,UB9,UBN,UB_		USWB Bendix Model
comp002fra	FM2,FH_ ,FME 		Metox
comp002ukw	GW_		Whiteley unspecified model 
comp002usz	DG8		Graw GL80 
comp003ukk	GK2		Kew Mark II 
comp003ger	DG2		Graw H50, time lag correction 
comp003net	BHP		Philips KNMI radiosonde 
comp003us1	Z41,Z4_		VIZ AN/AMT-4 
comp003us2	UBD		Bendix 403 MHz Model 288-1 double duct radiosonde 
comp004ukk	GKB		Kew Mark IIB radiosonde 
comp004dbr	DG2		Graw H50, time lag correction 
comp004bel	BBI		Institut Royal Meteorologique (I.R.M.) radiosonde
comp004net	BHP		Philips KNMI radiosonde 
comp004ddr	DL2,DL3,DLR		"Lang + ""Muecke/Biene"" or RfW radiosonde"
comp004fra	FM_,FM5 		Metox
comp004jap	JM_		Japan Meisei radiosonde CMO S-56
comp004inc	IC1,IC2		India clock drive radiosonde
comp004smi	S03		Switzerland model III radiosonde 
comp004rus	RSS,RSN		RZ-049
comp004inf	IF1,IF2,IFA		India fan drive radiosonde
comp004pol	BPL		Poland modified Lang radiosonde
comp004usa	U4_,U4b,U4B 		USA AN/AMT-4 
comp004fin	VU_, V1R	35	Vaisala
comp005fin	V16		VAISALA RS16 temperature reference radiosonde
comp005frg	DA1		Federal Republic of Germany (FRG)
comp005jp1	J6R		TR-67 temperature reference radiosonde
comp005usr	RKT		USSR Type OR temperature reference radiosonde
comp005ukk	GKC		Britain Kew Mark 3b
comp005fra	FMS		France Metox Sonde
comp005rk2	RK2		Russian RKZ-2
comp005rk3	RK3		Russian RKZ-3
comp007vai	V18	35	Vaisala RS18 standard pressures
comp007viz	ZH1,ZH1c	10	VIZ 1292-410 standard pressures
comp007smi	S09	26	Swiss Sonde BASORA standard pressures
comp007mil	9999		Swiss Military Sonde, not used for comparison
comp007sm2	9999		Swiss Sonde/27 MHz, not used for comparison
