primary_id	secondary_id	station_name	latitude	longitude	start	end	file
0-20000-0-11030	[11030]	TULLN/LANGENLEBARN	48.32	16.120001	1949-02-10 00:00:00	1951-11-30 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:11030
0-20000-0-16641	[16641]	KERKYRA (AIRPORT)	39.619999	19.92	1952-07-02 00:00:00	1963-07-24 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:16641
0-20000-0-91212	[41407]	WEATHER FORECAST OFFICE, GUAM, MARIANA IS.	13.47	144.78	1924-12-31 00:00:00	1925-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1925
0-20000-0-20551	[20551]	VISHAKHAPATNAM	17.700001	83.300003	1945-06-07 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:20551
0-20000-0-23552	[23552]	TARKO-SALE	64.919998	77.82	1955-07-01 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:23552
0-20000-0-28722	[28722]	UFA-DIOMA	54.75	56.0	1946-10-01 00:00:00	1972-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:28722
0-20000-0-16642	[16642]	IOANNINA (AIRPORT)	39.669998	20.85	1949-12-08 00:00:00	1956-03-21 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:16642
0-20000-0-11035	[11035]	WIEN/HOHE WARTE (11035-0)	48.25	16.370001	1951-12-01 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:11035
0-20000-0-25703	[25703]	SEJMCHAN	62.93	152.429993	1955-04-26 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:25703
0-20000-0-31873	[31873]	DAL'NERECHENSK	45.869999	133.729996	1957-01-03 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:31873
0-20000-0-34731	[34731]	ROSTOV-NA-DONU (34731-1)	47.25	39.82	1946-10-01 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:34731
0-20000-0-41768	[41768]	CHHOR	25.52	69.779999	1954-01-01 00:00:00	1963-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:41768
0-20000-0-20667	[20667]	IM. M.V. POPOVA	73.330002	70.029999	1953-02-16 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:20667
