primary_id	station_name	files
0-20000-0-01013	ISFJORD RADIO	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.9:3710']
0-20000-0-01452	KRISTIANSAND/KJEVIK	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.9:1392']
0-20000-0-02019	KATTERJAKK A	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.9:1389']
0-20000-0-02020	KATTERJAKK	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.9:3354']
0-20000-0-02464	STOCKHOLM/BROMMA	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.9:974']
0-20000-0-02611	HELSINGBORG	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.9:4183']
0-20000-0-02864	KEMI-TORNIO AIRPORT	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.9:4168']
0-20000-0-02919	LAPPEENRANTA HIEKKAPAKKA	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.9:4170']
0-20000-0-04018	KEFLAVIKURFLUGVOLLUR	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:16204']
0-20000-0-04063	AKUREYRI	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:16101']
0-20000-0-04231	MITTARFIK KANGERLUSSUAQ (SDR. STROEMFJORD LUFTHAVN)	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:16504']
0-20000-0-04270	MITTARFIK NARSARSUAQ (4270-0)	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:16405']
0-20000-0-04330	DANEBORG	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:17203']
0-20000-0-04339	ITTOQQORTOORMIIT (SCORESBYSUND)	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:17202']
0-20000-0-07761	AJACCIO	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:34003']
0-20000-0-07765	SOLENZARA	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:34013']
0-20000-0-07790	BASTIA	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:34009']
0-20000-0-08548	COIMBRA/CERNACHE	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.9:1319']
0-20000-0-10001	TEMA	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:10001']
0-20000-0-10002	TABOU	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:10002']
0-20000-0-1001	JAN MAYEN (1001-0)	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:1001']
0-20000-0-10015	HELGOLAND	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.9:1393']
0-20000-0-10035	SCHLESWIG (10035-0)	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:10035']
0-20000-0-10102	ROBERTS FIELD	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:10102']
0-20000-0-10113	NORDERNEY	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:10113']
0-20000-0-10147	HAMBURG-FUHLSBUETTEL	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:10147']
0-20000-0-10169	ROSTOCK (RADAR)	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:10169']
0-20000-0-10184	GREIFSWALD	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:10184']
0-20000-0-10224	BREMEN	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:35001']
0-20000-0-1028	BJORNOYA (1028-0)	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:1028']
0-20000-0-1030	KISTEFJELL	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:1030']
0-20000-0-10338	HANNOVER	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:10338']
0-20000-0-1038	DAEGU AB	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.9:1038']
0-20000-0-10384	BERLIN-TEMPELHOF	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:10384']
0-20000-0-10385	BERLIN-SCHOENEFELD	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:10385']
0-20000-0-10393	LINDENBERG (10393-0)	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1916', '/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1915', '/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1905', '/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1911', '/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1909', '/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1906', '/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1908', '/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:10393', '/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1912', '/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1917', '/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1914', '/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1910', '/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1913', '/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1907']
0-20000-0-1040	JEONJU	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.9:1040']
0-20000-0-1041	CHUPUNGNYEONG	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.9:1041']
0-20000-0-10454	WERNIGERODE	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:10454']
0-20000-0-10501	CAYENNE MATOURY	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:10501']
0-20000-0-10503	ZANDERIJ	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:10503']
0-20000-0-10504	AMAPA	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:10504']
0-20000-0-10507	AMAPA	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:10507']
0-20000-0-10508	TIMEHRI/CHEDDI JAGAN INTERNATIONAL	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:10508']
0-20000-0-10509	ZANDERIJ	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:10509']
0-20000-0-10513	KOELN/BONN	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:10513']
0-20000-0-10544	WASSERKUPPE	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:10544']
